place,run.id,run.weblink,run.game,run.level,run.category,run.videos.links,run.comment,run.status.status,run.status.examiner,run.status.verify-date,run.players,run.date,run.submitted,run.times.primary,run.times.primary_t,run.times.realtime,run.times.realtime_t,run.times.realtime_noloads,run.times.realtime_noloads_t,run.times.ingame,run.times.ingame_t,run.system.platform,run.system.emulated,run.system.region,run.splits,run.values.e8m7em86,run.values.kn04ewol,run.splits.rel,run.splits.uri
23,yjwgxvdm,https://www.speedrun.com/sm64/run/yjwgxvdm,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/A1wjPdkRVmI'}],forgot to collect 120,verified,zx7gkrx7,2025-03-16T01:47:40Z,"[{'rel': 'user', 'id': 'jmolpwo8', 'uri': 'https://www.speedrun.com/api/v1/users/jmolpwo8'}]",2023-10-25,2023-10-25T01:17:03Z,PT7M14S,434,PT7M14S,434,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
24,yl1vl72m,https://www.speedrun.com/sm64/run/yl1vl72m,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/1565297316'}],:),verified,qxkm6mj0,2022-08-18T12:26:10Z,"[{'rel': 'user', 'id': 'j0324nmj', 'uri': 'https://www.speedrun.com/api/v1/users/j0324nmj'}]",2022-08-18,2022-08-18T07:02:17Z,PT7M15S,435,PT7M15S,435,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
25,me30vp9z,https://www.speedrun.com/sm64/run/me30vp9z,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=9mJ2g6kxB3U'}],,verified,qxkm6mj0,2022-06-17T20:39:23Z,"[{'rel': 'user', 'id': 'x7m9r50x', 'uri': 'https://www.speedrun.com/api/v1/users/x7m9r50x'}]",2022-06-17,2022-06-17T17:48:25Z,PT7M17S,437,PT7M17S,437,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,
26,yl7lj42m,https://www.speedrun.com/sm64/run/yl7lj42m,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/29mQbc5ilwM'}],Mod Note: Retimed to 7:19,verified,98rv2rdj,2022-06-20T22:45:48Z,"[{'rel': 'user', 'id': 'zxzqlnrx', 'uri': 'https://www.speedrun.com/api/v1/users/zxzqlnrx'}]",2022-06-20,2022-06-20T22:25:08Z,PT7M19S,439,PT7M19S,439,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,splits.io,https://splits.io/api/v3/runs/9ipl
27,yo313d7y,https://www.speedrun.com/sm64/run/yo313d7y,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/866748466'}],"Its getting better
Still grinding for sub 7",verified,zx7gkrx7,2021-01-11T03:58:03Z,"[{'rel': 'user', 'id': '18q652oj', 'uri': 'https://www.speedrun.com/api/v1/users/18q652oj'}]",2021-01-08,2021-01-09T04:14:11Z,PT7M20S,440,PT7M20S,440,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
28,zpxw338m,https://www.speedrun.com/sm64/run/zpxw338m,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/izdWvXkfwBA'}],very good until the final browser stage ..,verified,zx7gkrx7,2024-09-16T00:50:32Z,"[{'rel': 'user', 'id': 'e8e23628', 'uri': 'https://www.speedrun.com/api/v1/users/e8e23628'}]",2024-09-15,2024-09-15T20:01:34Z,PT7M21S,441,PT7M21S,441,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
29,z5g38onm,https://www.speedrun.com/sm64/run/z5g38onm,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/ApSYdgOx2RY'}],,verified,8lpgwllj,2024-08-04T23:36:31Z,"[{'rel': 'user', 'id': 'zx71oy0x', 'uri': 'https://www.speedrun.com/api/v1/users/zx71oy0x'}]",2024-08-04,2024-08-04T01:53:20Z,PT7M23S,443,PT7M23S,443,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
29,zgj6lodz,https://www.speedrun.com/sm64/run/zgj6lodz,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/2408489867'}],work in progress,verified,zx7gkrx7,2025-03-21T12:03:42Z,"[{'rel': 'user', 'id': 'x7wzv1v8', 'uri': 'https://www.speedrun.com/api/v1/users/x7wzv1v8'}]",2025-03-17,2025-03-17T23:19:29Z,PT7M23S,443,PT7M23S,443,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
31,y9668wey,https://www.speedrun.com/sm64/run/y9668wey,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=KHgN_KZ3O8A'}],,verified,j03z503j,2023-02-14T05:22:42Z,"[{'rel': 'user', 'id': 'qj2z19nj', 'uri': 'https://www.speedrun.com/api/v1/users/qj2z19nj'}]",2023-02-11,2023-02-12T17:37:16Z,PT7M26S,446,PT7M26S,446,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
32,yj4pq2gy,https://www.speedrun.com/sm64/run/yj4pq2gy,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=qEzsXVh58NA'}],0 star EMU WR is a little less of a meme now.,verified,68wg36qx,2018-10-30T13:44:32Z,"[{'rel': 'user', 'id': '7j4drzdj', 'uri': 'https://www.speedrun.com/api/v1/users/7j4drzdj'}]",2018-10-30,2018-10-30T10:18:58Z,PT7M29S,449,PT7M29S,449,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,
