place,run.id,run.weblink,run.game,run.level,run.category,run.videos.links,run.comment,run.status.status,run.status.examiner,run.status.verify-date,run.players,run.date,run.submitted,run.times.primary,run.times.primary_t,run.times.realtime,run.times.realtime_t,run.times.realtime_noloads,run.times.realtime_noloads_t,run.times.ingame,run.times.ingame_t,run.system.platform,run.system.emulated,run.system.region,run.splits,run.values.e8m7em86,run.values.kn04ewol,run.splits.rel,run.splits.uri,run.videos
1,zqq6lg8z,https://www.speedrun.com/sm64/run/zqq6lg8z,o1y9wo6q,,wkpoo02r,[{'uri': 'https://youtu.be/3IwSG22nJ_U'}],,verified,qxk4wo6j,2024-07-17T17:54:22Z,"[{'rel': 'user', 'id': 'jm3lqln8', 'uri': 'https://www.speedrun.com/api/v1/users/jm3lqln8'}]",2024-07-16,2024-07-16T04:54:08Z,PT1H38M21S,5901,PT1H38M21S,5901,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
2,yjwx5p3m,https://www.speedrun.com/sm64/run/yjwx5p3m,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.youtube.com/watch?v=PFN6msodqt0'}],"my first 1:38 :DDDDDDD 
LETS GOOO
i appreciate all the people watching and supporting, shoutouts to everyone 
",verified,zx7gkrx7,2025-03-16T02:13:12Z,"[{'rel': 'user', 'id': 'jmolpwo8', 'uri': 'https://www.speedrun.com/api/v1/users/jmolpwo8'}]",2023-11-09,2023-11-09T05:36:53Z,PT1H38M53S,5933,PT1H38M53S,5933,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
3,z0q6w0om,https://www.speedrun.com/sm64/run/z0q6w0om,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.youtube.com/watch?v=KkeMQIAVVs8'}],,verified,qxk4wo6j,2024-08-08T14:18:26Z,"[{'rel': 'user', 'id': '8v5253yj', 'uri': 'https://www.speedrun.com/api/v1/users/8v5253yj'}]",2024-08-06,2024-08-06T07:09:33Z,PT1H39M2S,5942,PT1H39M2S,5942,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
4,me9gv8qz,https://www.speedrun.com/sm64/run/me9gv8qz,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.twitch.tv/videos/943770175'}],,verified,v8159vlj,2021-03-10T18:47:17Z,"[{'rel': 'user', 'id': '1xyl49zj', 'uri': 'https://www.speedrun.com/api/v1/users/1xyl49zj'}]",2021-03-10,2021-03-10T04:46:11Z,PT1H39M28S,5968,PT1H39M28S,5968,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
5,zgdl76vz,https://www.speedrun.com/sm64/run/zgdl76vz,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.youtube.com/watch?v=1j5HyCM_4eo'}],,verified,qxkm6mj0,2022-02-12T15:12:36Z,"[{'rel': 'user', 'id': 'kjp9p28q', 'uri': 'https://www.speedrun.com/api/v1/users/kjp9p28q'}]",2022-02-12,2022-02-12T10:54:57Z,PT1H39M51S,5991,PT1H39M51S,5991,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
6,z0q19kem,https://www.speedrun.com/sm64/run/z0q19kem,o1y9wo6q,,wkpoo02r,[{'uri': 'https://youtu.be/vHoER_x8agk?si=-IeYq5BuP8J5yk2l'}],"did you know its not that slow to walk up those stairs

mod note: you can just walk it doesn't even lose that much time",verified,98rp5mwj,2024-07-22T19:36:20Z,"[{'rel': 'user', 'id': '8e6vr17j', 'uri': 'https://www.speedrun.com/api/v1/users/8e6vr17j'}]",2024-07-22,2024-07-22T18:27:30Z,PT1H40M39S,6039,PT1H40M39S,6039,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
7,mel2k72z,https://www.speedrun.com/sm64/run/mel2k72z,o1y9wo6q,,wkpoo02r,[{'uri': 'https://youtu.be/V6DD8GAJQRM'}],!!!,verified,zx7gkrx7,2023-08-05T01:43:18Z,"[{'rel': 'user', 'id': 'xyrqdwmj', 'uri': 'https://www.speedrun.com/api/v1/users/xyrqdwmj'}]",2023-08-03,2023-08-03T18:58:44Z,PT1H40M49S,6049,PT1H40M49S,6049,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,,
8,m3wk0xqy,https://www.speedrun.com/sm64/run/m3wk0xqy,o1y9wo6q,,wkpoo02r,[{'uri': 'https://youtu.be/RM9xqzTPJ6E'}],i guess i will never get a good run,verified,8lpgwllj,2025-02-28T23:56:49Z,"[{'rel': 'user', 'id': 'xyrdnrnj', 'uri': 'https://www.speedrun.com/api/v1/users/xyrdnrnj'}]",2025-02-22,2025-02-22T21:28:39Z,PT1H41M1S,6061,PT1H41M1S,6061,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
9,yj3r6k7z,https://www.speedrun.com/sm64/run/yj3r6k7z,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.youtube.com/watch?v=O7DcJaO0tY4'}],"please forgive my audio sins

mod note: accepted as unverified due to portions of audio missing",verified,v815edqj,2020-02-12T14:36:00Z,"[{'rel': 'user', 'id': '5j5v2nz8', 'uri': 'https://www.speedrun.com/api/v1/users/5j5v2nz8'}]",2020-02-12,2020-02-12T11:57:28Z,PT1H42M23S,6143,PT1H42M23S,6143,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,4qyxop3l,,,
10,y4lgxknz,https://www.speedrun.com/sm64/run/y4lgxknz,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.youtube.com/watch?v=N4vMDAwvb8I'}],a,verified,8vkn1mnj,2024-09-11T20:31:19Z,"[{'rel': 'user', 'id': 'jpm2m44j', 'uri': 'https://www.speedrun.com/api/v1/users/jpm2m44j'}]",2024-09-10,2024-09-11T00:20:34Z,PT1H42M49S,6169,PT1H42M49S,6169,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
