place,run.id,run.weblink,run.game,run.level,run.category,run.videos.links,run.comment,run.status.status,run.status.examiner,run.status.verify-date,run.players,run.date,run.submitted,run.times.primary,run.times.primary_t,run.times.realtime,run.times.realtime_t,run.times.realtime_noloads,run.times.realtime_noloads_t,run.times.ingame,run.times.ingame_t,run.system.platform,run.system.emulated,run.system.region,run.splits,run.values.e8m7em86,run.values.kn04ewol,run.videos.text,run.splits.rel,run.splits.uri,run.videos
1,ywwwer2y,https://www.speedrun.com/sm64/run/ywwwer2y,o1y9wo6q,,xk9gg6d0,"[{'uri': 'https://www.youtube.com/watch?v=ToC7Wc0bvqs'}, {'uri': 'https://youtu.be/jmgAX1zUeQc'}]","finally got 615

https://www.youtube.com/watch?v=ToC7Wc0bvqs

Mod note: This run was done on 3/7 but shows 3/6 due to an src bug.",verified,8lpgwllj,2025-03-10T04:19:02Z,"[{'rel': 'user', 'id': 'jn32931x', 'uri': 'https://www.speedrun.com/api/v1/users/jn32931x'}]",2025-03-07,2025-03-08T10:49:19Z,PT6M15.100S,375.1,PT6M15.100S,375.1,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
2,yd40w9xy,https://www.speedrun.com/sm64/run/yd40w9xy,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/UjJ4J5NGEII'}],,verified,zx7gkrx7,2025-05-25T22:00:06Z,"[{'rel': 'user', 'id': '8wkzer38', 'uri': 'https://www.speedrun.com/api/v1/users/8wkzer38'}]",2025-05-25,2025-05-24T17:41:53Z,PT6M23.140S,383.14,PT6M23.140S,383.14,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
3,ywjg8w9z,https://www.speedrun.com/sm64/run/ywjg8w9z,o1y9wo6q,,xk9gg6d0,"[{'uri': 'https://youtu.be/rSx2tbpgFbI'}, {'uri': 'https://www.twitch.tv/videos/1296082952'}]","I just realized around 4:45, the vod is stopped for a moment.
I recorded both amarec and OBS, and OBS looks a bit better, but Im ok this record will be rejected.
next I should record through one system...",verified,zx7gkrx7,2022-02-15T06:08:46Z,"[{'rel': 'user', 'id': '7j40gpw8', 'uri': 'https://www.speedrun.com/api/v1/users/7j40gpw8'}]",2022-02-13,2022-02-12T20:34:19Z,PT6M27.380S,387.38,PT6M27.380S,387.38,,0,,0,w89rwelk,False,pr184lqn,,9qj7z0oq,5q8e86rq,https://youtu.be/rSx2tbpgFbI | https://www.twitch.tv/videos/1296082952,,,
4,ydjw8wvy,https://www.speedrun.com/sm64/run/ydjw8wvy,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=bYU3YvussI0'}],,verified,qxk4wo6j,2023-06-20T14:28:52Z,"[{'rel': 'user', 'id': 'qj2rklpx', 'uri': 'https://www.speedrun.com/api/v1/users/qj2rklpx'}]",2023-06-19,2023-06-19T17:17:00Z,PT6M28.130S,388.13,PT6M28.130S,388.13,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
5,mr988ogm,https://www.speedrun.com/sm64/run/mr988ogm,o1y9wo6q,,xk9gg6d0,"[{'uri': 'https://www.youtube.com/watch?v=VsVPG0MT9g4&feature=youtu.be'}, {'uri': 'https://www.youtube.com/watch?v=FAJHI1Bte7I&feature=youtu.be'}]",https://www.youtube.com/watch?v=VsVPG0MT9g4&feature=youtu.be,verified,qxk4wo6j,2020-09-19T20:52:56Z,"[{'rel': 'user', 'id': 'kj92gmv8', 'uri': 'https://www.speedrun.com/api/v1/users/kj92gmv8'}]",2020-09-19,2020-09-19T08:25:25Z,PT6M32.150S,392.15,PT6M32.150S,392.15,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
6,y6qdo8pz,https://www.speedrun.com/sm64/run/y6qdo8pz,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=CY0S1_-wpCw'}],,verified,pj0zm38w,2023-10-26T02:43:16Z,"[{'rel': 'user', 'id': '8vkrw22j', 'uri': 'https://www.speedrun.com/api/v1/users/8vkrw22j'}]",2023-10-26,2023-10-26T00:53:17Z,PT6M33.100S,393.1,PT6M33.100S,393.1,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
7,y2jpjn9z,https://www.speedrun.com/sm64/run/y2jpjn9z,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=rqgH3BxvcOI'}],,verified,qxkm6mj0,2023-02-01T13:55:34Z,"[{'rel': 'user', 'id': '18q652oj', 'uri': 'https://www.speedrun.com/api/v1/users/18q652oj'}]",2023-01-31,2023-02-01T06:47:01Z,PT6M33.250S,393.25,PT6M33.250S,393.25,,0,,0,w89rwelk,False,pr184lqn,,9qj7z0oq,5q8e86rq,,,,
8,m7okp14y,https://www.speedrun.com/sm64/run/m7okp14y,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/2301338987'}],was dropping frames :( lost 12 to amp in fs,verified,8lpgwllj,2024-11-14T06:24:40Z,"[{'rel': 'user', 'id': 'j2www16j', 'uri': 'https://www.speedrun.com/api/v1/users/j2www16j'}]",2024-11-14,2024-11-14T03:17:44Z,PT6M37.060S,397.06,PT6M37.060S,397.06,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
9,z08rdnom,https://www.speedrun.com/sm64/run/z08rdnom,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/2352301679'}],,verified,8lpgwllj,2025-01-14T05:49:10Z,"[{'rel': 'user', 'id': '86nnlvqx', 'uri': 'https://www.speedrun.com/api/v1/users/86nnlvqx'}]",2025-01-13,2025-01-13T15:54:23Z,PT6M39.730S,399.73,PT6M39.730S,399.73,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
10,y2221wjy,https://www.speedrun.com/sm64/run/y2221wjy,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=JSxChmsn6Yk'}],"Finally New PB!!!

3x with TASLJ Soon!!
",verified,8lpgwllj,2024-05-14T23:32:03Z,"[{'rel': 'user', 'id': '18qowewj', 'uri': 'https://www.speedrun.com/api/v1/users/18qowewj'}]",2024-05-13,2024-05-13T14:29:08Z,PT6M40.450S,400.45,PT6M40.450S,400.45,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
