place,run.id,run.weblink,run.game,run.level,run.category,run.videos.links,run.comment,run.status.status,run.status.examiner,run.status.verify-date,run.players,run.date,run.submitted,run.times.primary,run.times.primary_t,run.times.realtime,run.times.realtime_t,run.times.realtime_noloads,run.times.realtime_noloads_t,run.times.ingame,run.times.ingame_t,run.system.platform,run.system.emulated,run.system.region,run.splits,run.values.e8m7em86,run.values.kn04ewol,run.videos.text,run.splits.rel,run.splits.uri,run.videos
11,zg89j6ey,https://www.speedrun.com/sm64/run/zg89j6ey,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/BY_ug3JBZj0'}],utlimate ddd skip,verified,zx7gkrx7,2025-03-16T01:36:17Z,"[{'rel': 'user', 'id': 'jmolpwo8', 'uri': 'https://www.speedrun.com/api/v1/users/jmolpwo8'}]",2024-01-19,2024-01-19T02:59:26Z,PT6M43.900S,403.9,PT6M43.900S,403.9,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
12,8yv24rem,https://www.speedrun.com/sm64/run/8yv24rem,o1y9wo6q,,xk9gg6d0,[{'uri': 'http://nico.ms/sm26882407'}],,verified,qxkm6mj0,2015-08-07T21:20:12Z,"[{'rel': 'guest', 'name': '[jp]アキラ (Akira)', 'uri': 'https://www.speedrun.com/api/v1/guests/%5Bjp%5D%E3%82%A2%E3%82%AD%E3%83%A9+%28Akira%29'}]",2015-08-07,2015-08-07T21:20:12Z,PT6M44.230S,404.23,PT6M44.230S,404.23,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
13,z1v58d7z,https://www.speedrun.com/sm64/run/z1v58d7z,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/2335782010'}],,verified,8lpgwllj,2024-12-25T19:01:37Z,"[{'rel': 'user', 'id': 'kjprmwk8', 'uri': 'https://www.speedrun.com/api/v1/users/kjprmwk8'}]",2024-12-02,2024-12-25T19:01:37Z,PT6M44.600S,404.6,PT6M44.600S,404.6,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
14,dy4jg0ny,https://www.speedrun.com/sm64/run/dy4jg0ny,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=F9aK5u87Mnw'}],,verified,48grkp1x,2016-10-25T19:03:39Z,"[{'rel': 'user', 'id': 'o866w58z', 'uri': 'https://www.speedrun.com/api/v1/users/o866w58z'}]",2016-10-26,2016-10-25T19:03:39Z,PT6M44.700S,404.7,PT6M44.700S,404.7,,0,,0,w89rwelk,False,pr184lqn,,9qj7z0oq,5q8e86rq,,,,
15,mrr912dm,https://www.speedrun.com/sm64/run/mrr912dm,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/VEopGpjYNfQ'}],w,verified,qxkm6mj0,2022-08-17T12:16:07Z,"[{'rel': 'user', 'id': '68w4ro4x', 'uri': 'https://www.speedrun.com/api/v1/users/68w4ro4x'}]",2022-08-17,2022-08-17T05:40:11Z,PT6M45.670S,405.67,PT6M45.670S,405.67,,0,,0,w89rwelk,False,pr184lqn,,9qj7z0oq,5q8e86rq,,,,
16,zxxd815z,https://www.speedrun.com/sm64/run/zxxd815z,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/5uRO1Ywg39Y'}],,verified,8lpgwllj,2024-08-03T19:42:58Z,"[{'rel': 'user', 'id': 'xzlelze8', 'uri': 'https://www.speedrun.com/api/v1/users/xzlelze8'}]",2024-08-03,2024-08-03T12:44:00Z,PT6M46.400S,406.4,PT6M46.400S,406.4,,0,,0,w89rwelk,False,pr184lqn,,9qj7z0oq,5q8e86rq,,,,
17,yd1ervvy,https://www.speedrun.com/sm64/run/yd1ervvy,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=Suj0bTfwf6E'}],,verified,qxkm6mj0,2022-08-28T16:27:31Z,"[{'rel': 'user', 'id': 'qjoolrej', 'uri': 'https://www.speedrun.com/api/v1/users/qjoolrej'}]",2022-08-28,2022-08-28T16:25:19Z,PT6M48.400S,408.4,PT6M48.400S,408.4,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
18,y8g91rxz,https://www.speedrun.com/sm64/run/y8g91rxz,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=u20CKdNezMg'}],,verified,zx7gkrx7,2025-05-04T02:07:43Z,"[{'rel': 'user', 'id': 'xkzm1z9x', 'uri': 'https://www.speedrun.com/api/v1/users/xkzm1z9x'}]",2025-05-02,2025-05-02T12:47:01Z,PT6M49.400S,409.4,PT6M49.400S,409.4,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
19,z0x6goez,https://www.speedrun.com/sm64/run/z0x6goez,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/-tuEZ8bQmX8'}],\( ˆoˆ )/ FINALLY BROKE 7:00 WALL \( ˆoˆ )/,verified,8q3dqn7j,2023-10-22T21:12:51Z,"[{'rel': 'user', 'id': 'qj23lpxk', 'uri': 'https://www.speedrun.com/api/v1/users/qj23lpxk'}]",2023-10-19,2023-10-21T09:38:26Z,PT6M49.570S,409.57,PT6M49.570S,409.57,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
20,y9ppk02m,https://www.speedrun.com/sm64/run/y9ppk02m,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/FFOtjSCPCEY'}],,verified,8qrv5k0j,2025-03-11T15:49:44Z,"[{'rel': 'user', 'id': '1xy05zjr', 'uri': 'https://www.speedrun.com/api/v1/users/1xy05zjr'}]",2025-03-11,2025-03-11T13:00:35Z,PT6M49.920S,409.92,PT6M49.920S,409.92,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
21,y48v3wqm,https://www.speedrun.com/sm64/run/y48v3wqm,o1y9wo6q,,xk9gg6d0,"[{'uri': 'https://www.twitch.tv/videos/1421673500'}, {'uri': 'https://www.youtube.com/watch?v=lSl8qNXkrSo'}]",,verified,qxkm6mj0,2022-03-11T14:29:06Z,"[{'rel': 'user', 'id': '0jm36qe8', 'uri': 'https://www.speedrun.com/api/v1/users/0jm36qe8'}]",2022-03-11,2022-03-10T23:43:58Z,PT6M50.170S,410.17,PT6M50.170S,410.17,,0,,0,w89rwelk,False,pr184lqn,,9qj7z0oq,5q8e86rq,,,,
22,m7346jwy,https://www.speedrun.com/sm64/run/m7346jwy,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/VCbQ_dQAREw?si=N8dFqQcMsc7h0SKL'}],,verified,qxk4wo6j,2024-01-29T04:28:55Z,"[{'rel': 'user', 'id': '8r2w1n3x', 'uri': 'https://www.speedrun.com/api/v1/users/8r2w1n3x'}]",2024-01-28,2024-01-28T12:28:07Z,PT6M50.250S,410.25,PT6M50.250S,410.25,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
23,yjeqq93m,https://www.speedrun.com/sm64/run/yjeqq93m,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/c3eGd203A0Y?si=gJJoPMODh6BskZbJ'}],,verified,8lpgwllj,2025-03-26T10:59:18Z,"[{'rel': 'user', 'id': 'x7z7pey8', 'uri': 'https://www.speedrun.com/api/v1/users/x7z7pey8'}]",2025-03-18,2025-03-18T20:19:40Z,PT6M51.130S,411.13,PT6M51.130S,411.13,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
24,z5pqggjm,https://www.speedrun.com/sm64/run/z5pqggjm,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=51ksNHU6BrA'}],,verified,zx7gkrx7,2023-08-31T01:56:10Z,"[{'rel': 'user', 'id': 'j96ww5vj', 'uri': 'https://www.speedrun.com/api/v1/users/j96ww5vj'}]",2023-08-29,2023-08-29T08:36:22Z,PT6M52.050S,412.05,PT6M52.050S,412.05,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
25,me1vq13y,https://www.speedrun.com/sm64/run/me1vq13y,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/kNj8Ygtqpl8'}],,verified,qxkm6mj0,2022-07-31T22:28:19Z,"[{'rel': 'user', 'id': 'qxk4wo6j', 'uri': 'https://www.speedrun.com/api/v1/users/qxk4wo6j'}]",2022-07-31,2022-07-31T22:11:20Z,PT6M52.310S,412.31,PT6M52.310S,412.31,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
26,yw2pel3y,https://www.speedrun.com/sm64/run/yw2pel3y,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=KuznB4FF15c'}],,verified,8lpgwllj,2025-05-06T00:09:51Z,"[{'rel': 'user', 'id': '864vnd5j', 'uri': 'https://www.speedrun.com/api/v1/users/864vnd5j'}]",2025-05-01,2025-05-01T19:31:36Z,PT6M52.640S,412.64,PT6M52.640S,412.64,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
27,yv8nvvom,https://www.speedrun.com/sm64/run/yv8nvvom,o1y9wo6q,,xk9gg6d0,"[{'uri': 'https://www.youtube.com/watch?v=9P4Xh2S0Mbc'}, {'uri': 'https://www.twitch.tv/videos/1764414962'}]","https://www.youtube.com/watch?v=9P4Xh2S0Mbc

mod note: retimed to 6:53.05 due to error in local recording (in a 30fps vid every frame should increase by 0.033, but at 50.633s it jumps to 50.683s/an increase of 0.05s for whatever reason, this doesn't happen again during the video so from that point on every frame is either .017, .050, .083, .117 etc.)",verified,qxkm6mj0,2023-03-14T12:23:49Z,"[{'rel': 'user', 'id': 'j4rpn7d8', 'uri': 'https://www.speedrun.com/api/v1/users/j4rpn7d8'}]",2023-03-13,2023-03-13T22:57:47Z,PT6M53.050S,413.05,PT6M53.050S,413.05,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
28,m70do89y,https://www.speedrun.com/sm64/run/m70do89y,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=s2obYyqO2EA'}],mod note: retimed to 6:53,verified,zx7gkrx7,2023-06-12T00:45:41Z,"[{'rel': 'user', 'id': '8vo90m5x', 'uri': 'https://www.speedrun.com/api/v1/users/8vo90m5x'}]",2023-06-12,2023-06-11T23:16:22Z,PT6M53.830S,413.83,PT6M53.830S,413.83,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
29,z5e9wp5z,https://www.speedrun.com/sm64/run/z5e9wp5z,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=xTMIEQYDsYU'}],5/5 shoutouts lets goooooooo,verified,86vm37pj,2023-04-21T19:01:33Z,"[{'rel': 'user', 'id': '8wlk4n4j', 'uri': 'https://www.speedrun.com/api/v1/users/8wlk4n4j'}]",2023-04-21,2023-04-21T18:41:58Z,PT6M55.560S,415.56,PT6M55.560S,415.56,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
30,z5lgr4dy,https://www.speedrun.com/sm64/run/z5lgr4dy,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/2396796393'}],,verified,8q316z7j,2025-03-05T05:23:52Z,"[{'rel': 'user', 'id': '81kddqpj', 'uri': 'https://www.speedrun.com/api/v1/users/81kddqpj'}]",2025-03-04,2025-03-04T10:10:57Z,PT6M55.760S,415.76,PT6M55.760S,415.76,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
31,0y6j56jm,https://www.speedrun.com/sm64/run/0y6j56jm,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=5uMclD0IYUQ'}],,verified,48grkp1x,2016-11-14T01:13:01Z,"[{'rel': 'user', 'id': 'qxkovg98', 'uri': 'https://www.speedrun.com/api/v1/users/qxkovg98'}]",2016-11-14,2016-11-14T01:13:01Z,PT6M55.980S,415.98,PT6M55.980S,415.98,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
32,y9vkxnvm,https://www.speedrun.com/sm64/run/y9vkxnvm,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/1508478388'}],Shoutouts to all the thomkar enjoyers out there <3,verified,qxkm6mj0,2022-06-19T21:10:34Z,"[{'rel': 'user', 'id': '7j4mzd5j', 'uri': 'https://www.speedrun.com/api/v1/users/7j4mzd5j'}]",2022-06-19,2022-06-19T19:53:51Z,PT6M57.110S,417.11,PT6M57.110S,417.11,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
33,z0qdvnjm,https://www.speedrun.com/sm64/run/z0qdvnjm,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/hLotgzQ-L9w'}],gracias marlene,verified,8lpgwllj,2024-10-05T00:11:05Z,"[{'rel': 'user', 'id': '81q1oq5j', 'uri': 'https://www.speedrun.com/api/v1/users/81q1oq5j'}]",2024-10-03,2024-10-03T16:46:32Z,PT6M58.660S,418.66,PT6M58.660S,418.66,,0,,0,w89rwelk,False,pr184lqn,,9qj7z0oq,5q8e86rq,,,,
34,yj9pe5oz,https://www.speedrun.com/sm64/run/yj9pe5oz,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/2239402969'}],,verified,8lpgwllj,2024-09-03T05:10:21Z,"[{'rel': 'user', 'id': 'xylw0wmj', 'uri': 'https://www.speedrun.com/api/v1/users/xylw0wmj'}]",2024-08-31,2024-09-01T01:31:24Z,PT6M58.760S,418.76,PT6M58.760S,418.76,,0,,0,w89rwelk,False,pr184lqn,,9qj7z0oq,5q8e86rq,,,,
35,y8dj04xz,https://www.speedrun.com/sm64/run/y8dj04xz,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/_bwkZwG16x0'}],,verified,zx7gkrx7,2021-05-25T22:39:23Z,"[{'rel': 'user', 'id': 'qjned9qj', 'uri': 'https://www.speedrun.com/api/v1/users/qjned9qj'}]",2021-05-22,2021-05-22T04:46:11Z,PT6M59.050S,419.05,PT6M59.050S,419.05,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
36,yjdj0g3y,https://www.speedrun.com/sm64/run/yjdj0g3y,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=QXUtKeRJqmI'}],,verified,qxkm6mj0,2022-07-31T21:44:51Z,"[{'rel': 'user', 'id': 'j2ylqn68', 'uri': 'https://www.speedrun.com/api/v1/users/j2ylqn68'}]",2022-07-31,2022-07-31T21:44:30Z,PT6M59.080S,419.08,PT6M59.080S,419.08,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
37,mroenx2m,https://www.speedrun.com/sm64/run/mroenx2m,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=dMFfopnpULQ'}],"I'm very happy


crazy ddd skip, I literally looked away because I was positive it wouldn't work

mod note: accepting as 'verified: yes', but just a warning that future submissions would likely be set to 'verified: no' if the drop at 0:44 happened multiple times during the run/occurred for slightly longer",verified,qxkm6mj0,2022-12-20T16:05:42Z,"[{'rel': 'user', 'id': 'zxzn3w9x', 'uri': 'https://www.speedrun.com/api/v1/users/zxzn3w9x'}]",2022-12-19,2022-12-20T01:18:39Z,PT6M59.160S,419.16,PT6M59.160S,419.16,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
38,yvv2386y,https://www.speedrun.com/sm64/run/yvv2386y,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=-pdB_sxDcGI'}],,verified,qxkm6mj0,2023-10-16T11:47:05Z,"[{'rel': 'user', 'id': '8w139m3x', 'uri': 'https://www.speedrun.com/api/v1/users/8w139m3x'}]",2023-10-15,2023-10-15T06:24:41Z,PT6M59.680S,419.68,PT6M59.680S,419.68,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
39,z5xlg2ny,https://www.speedrun.com/sm64/run/z5xlg2ny,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/8QBJc_ruWt0'}],,verified,qxkm6mj0,2022-10-16T00:21:10Z,"[{'rel': 'user', 'id': '18q6977j', 'uri': 'https://www.speedrun.com/api/v1/users/18q6977j'}]",2022-10-15,2022-10-15T18:53:52Z,PT7M,420.0,PT7M,420.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
40,yoq7gq5z,https://www.speedrun.com/sm64/run/yoq7gq5z,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/2353859809'}],,verified,8lpgwllj,2025-01-19T23:02:40Z,"[{'rel': 'user', 'id': 'xk3nmqk8', 'uri': 'https://www.speedrun.com/api/v1/users/xk3nmqk8'}]",2025-01-12,2025-01-15T09:12:21Z,PT7M3S,423.0,PT7M3S,423.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
41,m7pknkem,https://www.speedrun.com/sm64/run/m7pknkem,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/hBhkIKHAh0M'}],,verified,zx7gkrx7,2019-04-28T16:41:02Z,"[{'rel': 'user', 'id': 'zxzpz50j', 'uri': 'https://www.speedrun.com/api/v1/users/zxzpz50j'}]",2019-04-26,2019-04-26T11:46:52Z,PT7M4S,424.0,PT7M4S,424.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
42,megkrxqy,https://www.speedrun.com/sm64/run/megkrxqy,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/2gvmABOw-LU'}],"Good ult skip, but missed 0-cycle FS. I'll gun for sub 7 someday.",verified,8lpgwllj,2024-07-16T22:42:26Z,"[{'rel': 'user', 'id': '8v57kgvj', 'uri': 'https://www.speedrun.com/api/v1/users/8v57kgvj'}]",2024-07-16,2024-07-16T12:01:12Z,PT7M7S,427.0,PT7M7S,427.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
43,yvx40w4z,https://www.speedrun.com/sm64/run/yvx40w4z,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=jvf5uKknMrI'}],,verified,8lpgwllj,2024-07-08T23:09:25Z,"[{'rel': 'user', 'id': 'v816eo5x', 'uri': 'https://www.speedrun.com/api/v1/users/v816eo5x'}]",2024-07-08,2024-07-08T16:24:44Z,PT7M8S,428.0,PT7M8S,428.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
43,m7e4r3wz,https://www.speedrun.com/sm64/run/m7e4r3wz,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=ujlc7p5sLCA'}],,verified,j4232gmx,2025-04-08T17:41:53Z,"[{'rel': 'user', 'id': '8q3g5goj', 'uri': 'https://www.speedrun.com/api/v1/users/8q3g5goj'}]",2025-04-06,2025-04-06T21:30:59Z,PT7M8S,428.0,PT7M8S,428.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
45,z0xgo8jz,https://www.speedrun.com/sm64/run/z0xgo8jz,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/2051456791'}],"called it, fluke run out of a bad 16 star attempt. 7:09 I hope

mod note: changed game region from 'None' to 'JPN / NTSC'",verified,j4232gmx,2024-02-04T05:18:51Z,"[{'rel': 'user', 'id': 'j5wo65gj', 'uri': 'https://www.speedrun.com/api/v1/users/j5wo65gj'}]",2024-02-03,2024-02-03T00:55:40Z,PT7M9S,429.0,PT7M9S,429.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
46,z5d68e5m,https://www.speedrun.com/sm64/run/z5d68e5m,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=AXdeQ0CYWN4'}],mod note: 24fps,verified,qxkm6mj0,2021-11-04T18:55:34Z,"[{'rel': 'user', 'id': 'e8evzg7x', 'uri': 'https://www.speedrun.com/api/v1/users/e8evzg7x'}]",2021-11-04,2021-11-04T18:55:34Z,PT7M10S,430.0,PT7M10S,430.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,4qyxop3l,,,,
46,ylxo37ry,https://www.speedrun.com/sm64/run/ylxo37ry,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=A3DmVdAT1JA'}],,verified,8vkn1mnj,2024-08-08T10:35:41Z,"[{'rel': 'user', 'id': '8lpgwllj', 'uri': 'https://www.speedrun.com/api/v1/users/8lpgwllj'}]",2024-08-06,2024-08-06T04:45:48Z,PT7M10S,430.0,PT7M10S,430.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
