place,run.id,run.weblink,run.game,run.level,run.category,run.videos.links,run.comment,run.status.status,run.status.examiner,run.status.verify-date,run.players,run.date,run.submitted,run.times.primary,run.times.primary_t,run.times.realtime,run.times.realtime_t,run.times.realtime_noloads,run.times.realtime_noloads_t,run.times.ingame,run.times.ingame_t,run.system.platform,run.system.emulated,run.system.region,run.splits,run.values.e8m7em86,run.values.kn04ewol,run.splits.rel,run.splits.uri,run.videos
1,y6gegp0m,https://www.speedrun.com/sm64/run/y6gegp0m,o1y9wo6q,,7kjpp4k3,"[{'uri': 'https://www.youtube.com/watch?v=uQsp2AWgcyo'}, {'uri': 'https://youtu.be/VJWNBarv9ho'}]","Yippee

https://www.youtube.com/watch?v=uQsp2AWgcyo",verified,8lpgwllj,2025-03-06T15:38:08Z,"[{'rel': 'user', 'id': 'jn32931x', 'uri': 'https://www.speedrun.com/api/v1/users/jn32931x'}]",2025-03-06,2025-03-06T10:09:33Z,PT6M56.070S,416.07,PT6M56.070S,416.07,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
2,z5lgrjgy,https://www.speedrun.com/sm64/run/z5lgrjgy,o1y9wo6q,,7kjpp4k3,"[{'uri': 'https://www.youtube.com/watch?v=Cx367vG3_6Uhttps://www.youtube.com/watch?v=Cx367vG3_6U'}, {'uri': 'https://www.youtube.com/watch?v=dJc3sf3xPJc'}]",https://www.youtube.com/watch?v=Cx367vG3_6Uhttps://www.youtube.com/watch?v=Cx367vG3_6U,verified,8e6k1loj,2025-03-05T05:46:36Z,"[{'rel': 'user', 'id': '18q652oj', 'uri': 'https://www.speedrun.com/api/v1/users/18q652oj'}]",2025-03-04,2025-03-04T04:13:41Z,PT7M2.980S,422.98,PT7M2.980S,422.98,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
3,y6g3g5jm,https://www.speedrun.com/sm64/run/y6g3g5jm,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.youtube.com/watch?v=ov-BIDRZLlc'}],offline,verified,8lpgwllj,2024-12-02T05:33:43Z,"[{'rel': 'user', 'id': 'kjprmwk8', 'uri': 'https://www.speedrun.com/api/v1/users/kjprmwk8'}]",2024-12-01,2024-12-01T18:34:11Z,PT7M3.320S,423.32,PT7M3.320S,423.32,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
4,y4orrgnz,https://www.speedrun.com/sm64/run/y4orrgnz,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.youtube.com/watch?v=KFrsTqSvEcA'}],,verified,qxkm6mj0,2023-06-10T01:58:58Z,"[{'rel': 'user', 'id': '8vkrw22j', 'uri': 'https://www.speedrun.com/api/v1/users/8vkrw22j'}]",2023-06-09,2023-06-10T00:59:43Z,PT7M3.960S,423.96,PT7M3.960S,423.96,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
5,zxw0lrgm,https://www.speedrun.com/sm64/run/zxw0lrgm,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.youtube.com/watch?v=oH5_OGdDZww'}],Mod note: This run is 7:06.000 but speedrun.com leaderboards wont show ms for runs with .000 ms.,verified,pj0zm38w,2024-01-11T15:12:35Z,"[{'rel': 'user', 'id': 'qj2rklpx', 'uri': 'https://www.speedrun.com/api/v1/users/qj2rklpx'}]",2024-01-11,2024-01-11T00:26:45Z,PT7M6S,426.0,PT7M6S,426.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
6,z00edkoz,https://www.speedrun.com/sm64/run/z00edkoz,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://youtu.be/dK_aSwRXww8'}],"w

mod note: changed region from USA to JPN",verified,8e6k1loj,2025-04-29T10:19:50Z,"[{'rel': 'user', 'id': 'j2www16j', 'uri': 'https://www.speedrun.com/api/v1/users/j2www16j'}]",2025-04-23,2025-04-29T02:53:42Z,PT7M6.760S,426.76,PT7M6.760S,426.76,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
7,z123gpjy,https://www.speedrun.com/sm64/run/z123gpjy,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://youtu.be/0eWPjGESJXk'}],I hope this category will be hot as 16 :),verified,qxkm6mj0,2021-12-08T14:20:47Z,"[{'rel': 'user', 'id': '7j40gpw8', 'uri': 'https://www.speedrun.com/api/v1/users/7j40gpw8'}]",2021-12-08,2021-12-08T13:57:56Z,PT7M7.320S,427.32,PT7M7.320S,427.32,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
8,ydv46nqy,https://www.speedrun.com/sm64/run/ydv46nqy,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://youtu.be/8dq1YafTSMQ'}],,verified,8e6k1loj,2025-03-16T04:44:40Z,"[{'rel': 'user', 'id': '8wkzer38', 'uri': 'https://www.speedrun.com/api/v1/users/8wkzer38'}]",2025-03-15,2025-03-15T08:34:58Z,PT7M7.690S,427.69,PT7M7.690S,427.69,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
9,y6opvvqy,https://www.speedrun.com/sm64/run/y6opvvqy,o1y9wo6q,,7kjpp4k3,"[{'uri': 'https://www.youtube.com/watch?v=0BRqElilBVs'}, {'uri': 'https://www.twitch.tv/videos/1679126348'}]",https://www.youtube.com/watch?v=0BRqElilBVs,verified,qxkm6mj0,2022-12-14T22:14:45Z,"[{'rel': 'user', 'id': 'j4rpn7d8', 'uri': 'https://www.speedrun.com/api/v1/users/j4rpn7d8'}]",2022-12-14,2022-12-14T21:31:32Z,PT7M11.830S,431.83,PT7M11.830S,431.83,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
10,z1o1xewm,https://www.speedrun.com/sm64/run/z1o1xewm,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.youtube.com/watch?v=tuFI__LM6YM'}],,verified,e8e9ze2j,2020-09-21T22:53:45Z,"[{'rel': 'user', 'id': 'kj92gmv8', 'uri': 'https://www.speedrun.com/api/v1/users/kj92gmv8'}]",2020-09-21,2020-09-21T09:08:41Z,PT7M11.930S,431.93,PT7M11.930S,431.93,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
