place,run.id,run.weblink,run.game,run.level,run.category,run.videos.links,run.comment,run.status.status,run.status.examiner,run.status.verify-date,run.players,run.date,run.submitted,run.times.primary,run.times.primary_t,run.times.realtime,run.times.realtime_t,run.times.realtime_noloads,run.times.realtime_noloads_t,run.times.ingame,run.times.ingame_t,run.system.platform,run.system.emulated,run.system.region,run.splits,run.values.e8m7em86,run.values.kn04ewol,run.splits.rel,run.splits.uri,run.videos
291,y9dwv9km,https://www.speedrun.com/sm64/run/y9dwv9km,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.youtube.com/watch?v=y6JUEQB2dlM&t=246s&ab_channel=Redomario'}],Mod note: Retimed to 10:04,verified,8lpgwllj,2024-10-29T23:58:11Z,"[{'rel': 'user', 'id': '810w3klx', 'uri': 'https://www.speedrun.com/api/v1/users/810w3klx'}]",2024-10-26,2024-10-26T17:46:17Z,PT10M4S,604,PT10M4S,604,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,,
293,z5vn24gm,https://www.speedrun.com/sm64/run/z5vn24gm,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.twitch.tv/videos/1423909528'}],,verified,zx7gkrx7,2022-03-13T05:55:50Z,"[{'rel': 'user', 'id': 'e8e07w6j', 'uri': 'https://www.speedrun.com/api/v1/users/e8e07w6j'}]",2022-03-12,2022-03-13T00:50:31Z,PT10M5S,605,PT10M5S,605,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,,
294,meol5l3z,https://www.speedrun.com/sm64/run/meol5l3z,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.youtube.com/watch?v=I-0KcFMZzIs&t=471s'}],"watching breaking bald dont decline pls

mod note: unverified due to bad audio",verified,v815edqj,2020-07-02T02:10:48Z,"[{'rel': 'user', 'id': 'x7qekv68', 'uri': 'https://www.speedrun.com/api/v1/users/x7qekv68'}]",2020-07-01,2020-07-01T19:57:46Z,PT10M7S,607,PT10M7S,607,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,4qyxop3l,,,
295,z0e6r8jm,https://www.speedrun.com/sm64/run/z0e6r8jm,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.youtube.com/watch?v=ymDwVNElTFA&t=22s'}],,verified,e8e6edj0,2017-08-01T13:53:56Z,"[{'rel': 'user', 'id': 'kj9rdyrj', 'uri': 'https://www.speedrun.com/api/v1/users/kj9rdyrj'}]",2017-07-31,2017-07-31T21:28:48Z,PT10M11S,611,PT10M11S,611,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
296,zn8231lz,https://www.speedrun.com/sm64/run/zn8231lz,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.youtube.com/watch?v=rf2OJxO2ORY'}],,verified,y8dw9zgj,2018-01-14T19:57:52Z,"[{'rel': 'user', 'id': 'y8dgyvg8', 'uri': 'https://www.speedrun.com/api/v1/users/y8dgyvg8'}]",2018-01-11,2018-01-14T15:41:01Z,PT10M13S,613,PT10M13S,613,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
297,ywwvn13y,https://www.speedrun.com/sm64/run/ywwvn13y,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.youtube.com/watch?v=-YES_bwLJCc'}],"Sorry for the audio quality

Mod note: verified: no due to audio consistency",verified,j2w1w5lj,2025-02-13T14:03:40Z,"[{'rel': 'user', 'id': '8go0g47x', 'uri': 'https://www.speedrun.com/api/v1/users/8go0g47x'}]",2025-02-11,2025-02-11T13:46:44Z,PT10M15S,615,PT10M15S,615,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,4qyxop3l,,,
298,zgkkdqdy,https://www.speedrun.com/sm64/run/zgkkdqdy,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://youtu.be/mg3cDKfIbT8'}],"? NEARLY PERFECT RUN? ? NEW PB ? SUPER MARIO 64 ? 1 STAR ⭐ SPEEDRUN ⏰ 10:16.21 ? iZePlayz

Game: Super Mario 64
Speedrun Category: 1 Star
Platform: Emulator
Game-Region: Japan
Time: 10:16.21",verified,qxk4wo6j,2019-07-04T06:31:10Z,"[{'rel': 'user', 'id': 'qj2rw3ox', 'uri': 'https://www.speedrun.com/api/v1/users/qj2rw3ox'}]",2019-06-29,2019-06-29T08:29:04Z,PT10M16S,616,PT10M16S,616,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
298,m3k9n36y,https://www.speedrun.com/sm64/run/m3k9n36y,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.twitch.tv/videos/1009453407'}],I'm gonna try to get this one down to the 9 minute mark or even lower. I have a ton to improve on. ,verified,zx7gkrx7,2023-09-08T23:32:04Z,"[{'rel': 'user', 'id': 'jokolr78', 'uri': 'https://www.speedrun.com/api/v1/users/jokolr78'}]",2021-05-03,2023-09-07T04:35:20Z,PT10M16S,616,PT10M16S,616,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
300,zpor93xm,https://www.speedrun.com/sm64/run/zpor93xm,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.twitch.tv/videos/2462285335'}],,verified,8q316z7j,2025-05-21T06:02:22Z,"[{'rel': 'user', 'id': 'xk3ddzm8', 'uri': 'https://www.speedrun.com/api/v1/users/xk3ddzm8'}]",2025-05-18,2025-05-18T03:12:57Z,PT10M17S,617,PT10M17S,617,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
301,zgp3gevz,https://www.speedrun.com/sm64/run/zgp3gevz,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://youtu.be/nM4btb75zkY'}],mod note: changed game region from None to JPN/NTSC,verified,qxkm6mj0,2022-04-05T12:59:48Z,"[{'rel': 'user', 'id': '8e90zm2j', 'uri': 'https://www.speedrun.com/api/v1/users/8e90zm2j'}]",2022-04-04,2022-04-04T15:44:04Z,PT10M18S,618,PT10M18S,618,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
