place,run.id,run.weblink,run.game,run.level,run.category,run.videos.links,run.comment,run.status.status,run.status.examiner,run.status.verify-date,run.players,run.date,run.submitted,run.times.primary,run.times.primary_t,run.times.realtime,run.times.realtime_t,run.times.realtime_noloads,run.times.realtime_noloads_t,run.times.ingame,run.times.ingame_t,run.system.platform,run.system.emulated,run.system.region,run.splits,run.values.e8m7em86,run.values.kn04ewol,run.splits.rel,run.splits.uri,run.videos
67,zx722n5y,https://www.speedrun.com/sm64/run/zx722n5y,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.twitch.tv/videos/1468108769'}],LFG getting back in the pipeline!!!11!,verified,qxkm6mj0,2022-04-27T14:54:59Z,"[{'rel': 'user', 'id': 'v8lq4k7x', 'uri': 'https://www.speedrun.com/api/v1/users/v8lq4k7x'}]",2022-04-26,2022-04-27T03:54:06Z,PT1H42M14S,6134,PT1H42M14S,6134,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
67,zpo402rm,https://www.speedrun.com/sm64/run/zpo402rm,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.youtube.com/watch?v=qYSoCSz9Jqg'}],,verified,8e6k1loj,2025-05-12T15:27:27Z,"[{'rel': 'user', 'id': 'x7mo69vx', 'uri': 'https://www.speedrun.com/api/v1/users/x7mo69vx'}]",2025-05-07,2025-05-09T00:56:14Z,PT1H42M14S,6134,PT1H42M14S,6134,,0,,0,w89rwelk,False,pr184lqn,,9qj7z0oq,5q8e86rq,,,
69,yvjrweoy,https://www.speedrun.com/sm64/run/yvjrweoy,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.twitch.tv/videos/330948868'}],,verified,o86nzl0x,2018-11-03T10:00:41Z,"[{'rel': 'user', 'id': '0jm7n3nj', 'uri': 'https://www.speedrun.com/api/v1/users/0jm7n3nj'}]",2018-11-03,2018-11-03T07:58:08Z,PT1H42M24S,6144,PT1H42M24S,6144,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
69,y9v5v92m,https://www.speedrun.com/sm64/run/y9v5v92m,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.youtube.com/watch?v=P2dxEXUawD4'}],,verified,qxkm6mj0,2022-04-22T21:40:22Z,"[{'rel': 'user', 'id': 'y8d2v2mj', 'uri': 'https://www.speedrun.com/api/v1/users/y8d2v2mj'}]",2022-04-17,2022-04-22T21:39:52Z,PT1H42M24S,6144,PT1H42M24S,6144,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
71,y91ndn2m,https://www.speedrun.com/sm64/run/y91ndn2m,o1y9wo6q,,wkpoo02r,"[{'uri': 'https://www.youtube.com/watch?v=Hllbc1Gj_9w'}, {'uri': 'https://www.youtube.com/watch?v=lrOlR9ydqSM'}]","reaction
https://www.youtube.com/watch?v=Hllbc1Gj_9w",verified,e8e9ze2j,2020-10-22T23:51:41Z,"[{'rel': 'user', 'id': '0jml0zy8', 'uri': 'https://www.speedrun.com/api/v1/users/0jml0zy8'}]",2020-10-22,2020-10-22T14:39:22Z,PT1H42M26S,6146,PT1H42M26S,6146,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
72,emk5kgxm,https://www.speedrun.com/sm64/run/emk5kgxm,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.youtube.com/watch?v=P-JtiPJxoOA'}],beard,verified,qxkm6mj0,2015-12-07T00:13:54Z,"[{'rel': 'user', 'id': 'zxzvprjq', 'uri': 'https://www.speedrun.com/api/v1/users/zxzvprjq'}]",2015-11-08,2015-12-07T00:13:54Z,PT1H42M28S,6148,PT1H42M28S,6148,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
73,y8oel0dm,https://www.speedrun.com/sm64/run/y8oel0dm,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.twitch.tv/videos/2359299130'}],,verified,8lpgwllj,2025-01-22T23:59:07Z,"[{'rel': 'user', 'id': '8g2zm0rj', 'uri': 'https://www.speedrun.com/api/v1/users/8g2zm0rj'}]",2025-01-20,2025-01-21T04:57:56Z,PT1H42M29S,6149,PT1H42M29S,6149,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
74,z5pdjrgm,https://www.speedrun.com/sm64/run/z5pdjrgm,o1y9wo6q,,wkpoo02r,[{'uri': 'https://youtu.be/9DGakK-Fy8E'}],,verified,zx7gkrx7,2023-06-15T21:58:02Z,"[{'rel': 'user', 'id': 'qxk4wo6j', 'uri': 'https://www.speedrun.com/api/v1/users/qxk4wo6j'}]",2023-06-14,2023-06-14T22:08:08Z,PT1H42M33S,6153,PT1H42M33S,6153,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
74,y8w5o2ny,https://www.speedrun.com/sm64/run/y8w5o2ny,o1y9wo6q,,wkpoo02r,"[{'uri': 'https://www.youtube.com/watch?v=iGkp2FvWSjE'}, {'uri': 'https://www.twitch.tv/videos/2187258089'}]",https://www.youtube.com/watch?v=iGkp2FvWSjE,verified,8q316z7j,2024-07-04T02:43:35Z,"[{'rel': 'user', 'id': '86nrm5qx', 'uri': 'https://www.speedrun.com/api/v1/users/86nrm5qx'}]",2024-07-02,2024-07-03T23:25:31Z,PT1H42M33S,6153,PT1H42M33S,6153,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
76,zxj1ewqy,https://www.speedrun.com/sm64/run/zxj1ewqy,o1y9wo6q,,wkpoo02r,[{'uri': 'https://youtu.be/fHbl0R2lCFQ'}],![](/static/blob/1n53o4mz.jpg),verified,8e6k1loj,2025-04-16T23:27:52Z,"[{'rel': 'user', 'id': 'jm3lqln8', 'uri': 'https://www.speedrun.com/api/v1/users/jm3lqln8'}]",2025-04-13,2025-04-13T05:30:59Z,PT1H42M41S,6161,PT1H42M41S,6161,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
77,zx4e5lky,https://www.speedrun.com/sm64/run/zx4e5lky,o1y9wo6q,,wkpoo02r,[{'uri': 'https://youtu.be/J86HWihwDRo'}],,verified,zx7gkrx7,2019-05-12T17:07:08Z,"[{'rel': 'user', 'id': 'kj9ylvx4', 'uri': 'https://www.speedrun.com/api/v1/users/kj9ylvx4'}]",2019-05-11,2019-05-12T05:10:26Z,PT1H42M42S,6162,PT1H42M42S,6162,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
