place,run.id,run.weblink,run.game,run.level,run.category,run.videos.links,run.comment,run.status.status,run.status.examiner,run.status.verify-date,run.players,run.date,run.submitted,run.times.primary,run.times.primary_t,run.times.realtime,run.times.realtime_t,run.times.realtime_noloads,run.times.realtime_noloads_t,run.times.ingame,run.times.ingame_t,run.system.platform,run.system.emulated,run.system.region,run.splits,run.values.e8m7em86,run.values.kn04ewol,run.splits.rel,run.splits.uri,run.videos
1,zqqn9jrz,https://www.speedrun.com/sm64/run/zqqn9jrz,o1y9wo6q,,7dgrrxk4,[{'uri': 'https://youtu.be/Y6WWVHA9Nvw'}],,verified,zx7gkrx7,2024-11-04T01:45:16Z,"[{'rel': 'user', 'id': '1xy9p1vj', 'uri': 'https://www.speedrun.com/api/v1/users/1xy9p1vj'}]",2024-11-02,2024-11-02T19:21:23Z,PT46M30S,2790,PT46M30S,2790,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,,
2,megk4q9y,https://www.speedrun.com/sm64/run/megk4q9y,o1y9wo6q,,7dgrrxk4,[{'uri': 'https://youtu.be/FBUZMeiEjv0'}],:D,verified,8vkn1mnj,2024-07-14T21:19:34Z,"[{'rel': 'user', 'id': 'jm3lqln8', 'uri': 'https://www.speedrun.com/api/v1/users/jm3lqln8'}]",2024-07-13,2024-07-13T08:30:52Z,PT47M1S,2821,PT47M1S,2821,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,,
3,y8k3jxwy,https://www.speedrun.com/sm64/run/y8k3jxwy,o1y9wo6q,,7dgrrxk4,[{'uri': 'https://youtu.be/vaotSvsE0Rs'}],next time i wont miss a throw surely,verified,8q316z7j,2025-03-15T22:03:37Z,"[{'rel': 'user', 'id': 'jmolpwo8', 'uri': 'https://www.speedrun.com/api/v1/users/jmolpwo8'}]",2023-09-08,2023-09-08T02:41:37Z,PT47M7S,2827,PT47M7S,2827,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,,
4,znv5po3m,https://www.speedrun.com/sm64/run/znv5po3m,o1y9wo6q,,7dgrrxk4,[{'uri': 'https://www.twitch.tv/videos/1895184968'}],I need to stop missing these throws,verified,zx7gkrx7,2023-08-12T23:29:42Z,"[{'rel': 'user', 'id': 'xyrqdwmj', 'uri': 'https://www.speedrun.com/api/v1/users/xyrqdwmj'}]",2023-08-10,2023-08-10T18:06:46Z,PT47M29S,2849,PT47M29S,2849,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,,
5,yddx4q0y,https://www.speedrun.com/sm64/run/yddx4q0y,o1y9wo6q,,7dgrrxk4,[{'uri': 'https://www.youtube.com/watch?v=OzE8qT_2nwg'}],,verified,qxkm6mj0,2022-07-21T11:26:05Z,"[{'rel': 'user', 'id': 'kjp9p28q', 'uri': 'https://www.speedrun.com/api/v1/users/kjp9p28q'}]",2022-07-20,2022-07-20T22:52:15Z,PT47M38S,2858,PT47M38S,2858,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,,
6,yd2dj4jm,https://www.speedrun.com/sm64/run/yd2dj4jm,o1y9wo6q,,7dgrrxk4,[{'uri': 'https://youtu.be/oS1WL0WMYhM'}],"25:20 fs

22:22 upstairs

solid run",verified,zx7gkrx7,2023-11-23T23:45:53Z,"[{'rel': 'user', 'id': 'xyrdnrnj', 'uri': 'https://www.speedrun.com/api/v1/users/xyrdnrnj'}]",2023-11-18,2023-11-18T16:28:46Z,PT47M42S,2862,PT47M42S,2862,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
7,mko3l01z,https://www.speedrun.com/sm64/run/mko3l01z,o1y9wo6q,,7dgrrxk4,[{'uri': 'https://www.twitch.tv/videos/2334569838?filter=highlights&sort=time'}],"I pbed twice today, first I got 47:51, then this 47:42

mod note: retimed to 47:43",verified,zx7gkrx7,2024-12-26T01:10:03Z,"[{'rel': 'user', 'id': '8vo9o92x', 'uri': 'https://www.speedrun.com/api/v1/users/8vo9o92x'}]",2024-12-24,2024-12-24T02:05:22Z,PT47M43S,2863,PT47M43S,2863,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,,
8,y9pe66km,https://www.speedrun.com/sm64/run/y9pe66km,o1y9wo6q,,7dgrrxk4,[{'uri': 'https://youtu.be/xYM1y-cjiqE'}],"**Discurso de celebración por mi nuevo récord personal en Super Mario 64**

¡Hola a todos!

Hoy quiero compartir que he alcanzado un tiempo de **47:44** en la categoría de **70 estrellas** en Super Mario 64, ¡y este es mi nuevo récord personal! No fue fácil, pero con dedicación y mucho esfuerzo lo logré.

Quiero agradecer a **Argentina**, mi país, por la inspiración y energía constante, y a mis **amigos**, que siempre estuvieron ahí para apoyarme. Este logro no sería posible sin su aliento y motivación.

¡Esto es solo el comienzo! Gracias a todos por su apoyo, y sigamos disfrutando de este increíble juego.",verified,zx7gkrx7,2025-03-21T11:52:44Z,"[{'rel': 'user', 'id': 'xk4zke6j', 'uri': 'https://www.speedrun.com/api/v1/users/xk4zke6j'}]",2025-03-17,2025-03-17T02:21:45Z,PT47M44S,2864,PT47M44S,2864,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,,
9,yox22xdy,https://www.speedrun.com/sm64/run/yox22xdy,o1y9wo6q,,7dgrrxk4,[{'uri': 'https://www.youtube.com/watch?v=XoAQTFeDGOc'}],,verified,j2w1w5lj,2024-07-18T18:06:08Z,"[{'rel': 'user', 'id': '8v5253yj', 'uri': 'https://www.speedrun.com/api/v1/users/8v5253yj'}]",2024-07-17,2024-07-17T03:33:19Z,PT47M46S,2866,PT47M46S,2866,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,,
10,zq2nwl5z,https://www.speedrun.com/sm64/run/zq2nwl5z,o1y9wo6q,,7dgrrxk4,[{'uri': 'https://youtu.be/mkO8eUW418o?si=K3dU7x4i-_Li--S9'}],,verified,j2w1w5lj,2025-04-03T15:41:41Z,"[{'rel': 'user', 'id': 'kj9z6pn8', 'uri': 'https://www.speedrun.com/api/v1/users/kj9z6pn8'}]",2025-03-27,2025-03-27T06:27:20Z,PT47M54S,2874,PT47M54S,2874,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,,
