id,started,ended,realTime,BoB (1),WF (6),CCM (8),DW (9),SSL (11),LLL (12),HMC (15),DDD (16),FS,BLJs,BITS
38,01/01/2025 09:03:25,01/01/2025 09:11:38,,00:01:39.2741505,00:03:31.9532049,00:01:22.5978974,,,,,,,,
39,01/01/2025 09:11:38,01/01/2025 09:12:49,,,,,,,,,,,,
40,01/01/2025 09:12:49,01/01/2025 09:13:33,,,,,,,,,,,,
41,01/01/2025 09:13:33,01/01/2025 09:14:42,,,,,,,,,,,,
42,01/01/2025 09:14:42,01/01/2025 09:16:51,,,,,,,,,,,,
43,01/01/2025 09:16:51,01/01/2025 09:36:39,00:19:48.5794413,00:01:47.6930297,00:03:42.3966693,00:01:23.5002481,00:02:14.0507081,00:01:26.3834645,00:00:33.1667510,00:01:25.4170593,00:02:17.7505731,00:01:33.3335522,,00:03:24.8873860
44,01/01/2025 09:38:19,01/01/2025 09:46:24,,00:01:39,00:03:41.3634981,00:01:22.4506400,,,,,,,,
45,01/01/2025 09:46:43,01/01/2025 09:56:25,,00:01:51.6742786,00:03:35.1841083,00:01:21.5526709,,,,,,,,
46,01/06/2025 02:01:09,01/06/2025 02:03:00,,,,,,,,,,,,
47,01/06/2025 02:03:00,01/06/2025 02:08:18,,00:01:47.6450802,,,,,,,,,,
48,01/06/2025 02:08:18,01/06/2025 02:09:38,,,,,,,,,,,,
49,01/06/2025 02:09:38,01/06/2025 02:10:50,,,,,,,,,,,,
50,01/06/2025 02:10:50,01/06/2025 02:12:23,,,,,,,,,,,,
51,01/06/2025 02:12:23,01/06/2025 02:18:12,,,,,,,,,,,,
52,01/06/2025 02:18:12,01/06/2025 02:19:21,,,,,,,,,,,,
53,01/06/2025 02:19:21,01/06/2025 03:00:04,,00:01:39.9896193,00:03:47.6010724,00:01:26.0835873,00:02:06.5670542,,,00:04:11.7846205,,,,
54,01/06/2025 03:00:04,01/06/2025 03:19:24,00:19:21.9699176,00:01:48.1060170,00:03:09.8671068,00:01:32.5340975,00:02:29.0005803,00:01:31.7168022,00:00:33.1004639,00:01:23.8504230,00:01:33.6168964,00:01:35.7835374,00:01:09.1493058,00:02:35.2446873
55,01/06/2025 03:22:58,01/06/2025 03:32:12,,00:01:47.8398207,00:03:28.6511138,00:01:45.9170869,,,,,,,,
56,01/06/2025 03:32:12,01/06/2025 03:34:04,,,,,,,,,,,,
57,01/06/2025 03:34:04,01/06/2025 03:36:21,,,,,,,,,,,,
58,01/06/2025 03:36:21,01/06/2025 03:46:57,,00:01:39.1087797,00:03:44.2151400,00:01:28.6346163,00:02:19.8012219,,,,,,,
59,01/06/2025 03:46:57,01/06/2025 03:55:47,,00:01:47.3398883,00:03:29.1220942,00:01:20.1451005,,,,,,,,
60,01/06/2025 03:56:17,01/06/2025 03:58:12,,,,,,,,,,,,
61,01/06/2025 03:58:12,01/06/2025 04:01:02,,00:01:54.6728356,,,,,,,,,,
62,01/06/2025 04:01:02,01/06/2025 04:06:52,,00:01:39.0534876,,,,,,,,,,
63,01/06/2025 04:06:52,01/06/2025 04:08:45,,,,,,,,,,,,
64,01/06/2025 04:08:45,01/06/2025 04:13:31,,00:01:39.2039944,,,,,,,,,,
65,01/06/2025 04:13:31,01/06/2025 04:20:17,,00:01:49.0879914,00:03:50.0500384,,,,,,,,,
66,01/06/2025 04:20:17,01/06/2025 04:28:43,,00:01:39,00:03:54.2675749,00:01:23.2351338,,,,,,,,
67,01/06/2025 05:02:31,01/06/2025 05:11:40,,00:01:39.2701222,00:03:26.6367133,00:01:33.6140009,,,,,,,,
68,01/06/2025 05:11:40,01/06/2025 05:31:31,00:19:51.8504914,00:01:53.9743786,00:03:23.2004566,00:01:40.1651932,00:02:05.9504450,00:01:27.4365023,00:00:33.2018360,00:01:24.1201079,00:01:34.4273820,00:01:38.7331737,00:02:24.9339730,00:01:45.7070431
69,01/06/2025 05:33:35,01/06/2025 05:39:32,,00:01:40.4731909,00:04:04.7339088,,,,,,,,,
70,01/06/2025 05:39:32,01/06/2025 05:47:39,,00:01:39.6878325,00:03:46.9848081,00:01:40.3341107,,,,,,,,
71,01/06/2025 06:18:52,01/06/2025 06:38:03,00:19:12.0804727,00:01:39,00:04:10.4187141,00:01:23.4833204,00:02:05.1007939,00:01:27.1506630,00:00:35.3165388,00:01:24.1171649,00:01:39.3002583,00:01:37.9847074,00:01:02.4545259,00:02:08.2346335
72,01/08/2025 04:29:00,01/08/2025 04:29:14,,,,,,,,,,,,
73,01/08/2025 05:53:26,01/08/2025 05:54:11,,,,,,,,,,,,
74,01/08/2025 05:54:11,01/08/2025 05:54:59,,,,,,,,,,,,
75,01/08/2025 05:54:59,01/08/2025 05:55:17,,,,,,,,,,,,
76,01/08/2025 05:55:17,01/08/2025 05:58:55,,00:01:54.6574764,,,,,,,,,,
77,01/08/2025 05:58:55,01/08/2025 05:59:11,,,,,,,,,,,,
78,01/08/2025 05:59:11,01/08/2025 05:59:30,,,,,,,,,,,,
79,01/08/2025 05:59:30,01/08/2025 06:04:56,,00:01:45.5069540,,,,,,,,,,
80,01/08/2025 06:04:56,01/08/2025 06:21:33,,00:01:39,00:03:22.8671103,00:01:53.4170615,00:02:11.9033366,00:01:43.4973661,00:00:34.2336010,00:01:26.8487941,00:01:55.2510587,,,
81,01/08/2025 06:21:57,01/08/2025 06:25:19,,00:01:55.0076938,,,,,,,,,,
82,01/08/2025 06:25:19,01/08/2025 06:35:48,,00:01:54.2901532,00:03:17.6501780,00:01:22.5500345,00:03:14.1169904,,,,,,,
83,01/08/2025 06:35:48,01/08/2025 06:55:02,00:19:15.7138488,00:01:39,00:03:17.8501423,00:01:24.4834848,00:02:06.9836030,00:01:30.8502011,00:00:33.3499078,00:01:25.2043177,00:02:06.7648277,00:01:46.3648099,00:01:14.7834386,00:02:10.6723234
84,01/08/2025 07:00:15,01/08/2025 07:03:50,,00:01:40.6732728,,,,,,,,,,
85,01/08/2025 07:03:50,01/08/2025 07:22:22,00:18:33.5476308,00:01:46.9905120,00:03:16.6217294,00:01:36.4684495,00:02:07.2771150,00:01:32.8998812,00:00:34.0049307,00:01:18.2139710,00:01:41.8815243,00:01:43.2500342,00:01:13.0501813,00:01:42.8893022
86,01/16/2025 06:42:29,01/16/2025 07:03:26,00:20:58.2336472,00:01:39.6063154,00:04:06.2173635,00:01:49.5179353,00:03:06.4339853,00:01:28.6496646,00:00:35.7665314,00:01:23.2009195,00:01:33.0498606,00:01:44.3169341,00:01:08.1669938,00:02:23.3071437
87,01/16/2025 07:05:37,01/16/2025 07:24:58,00:19:21.9957055,00:01:48.5738258,00:03:22.4508596,00:01:27.6373639,00:02:10.2798257,00:01:52.1167550,00:00:34.0168484,00:01:23.5668654,00:01:41.2845487,00:01:41.8834493,00:01:23.9166478,00:01:56.2687159
88,01/16/2025 07:26:07,01/16/2025 07:27:56,,,,,,,,,,,,
89,01/16/2025 07:27:56,01/16/2025 07:47:13,00:19:18.8343745,00:01:39.9406773,00:03:21.5507256,00:01:24.7004788,00:02:13.2170758,00:01:30.0505548,00:00:34.3167600,00:01:18.8220770,00:01:32.3999350,00:02:13.6056604,00:01:07.7070106,00:02:22.5234192
90,01/16/2025 07:49:41,01/16/2025 08:10:13,,00:01:54.5737487,00:03:23.1846994,00:01:21.9999029,00:02:05.5502066,00:01:37.6173261,00:00:33.3499755,00:01:29.4502738,00:01:34.0168884,00:01:33.4568554,00:01:33.6277329,
91,01/16/2025 08:10:13,01/16/2025 08:30:40,00:20:28.3473402,00:01:39.2708189,00:03:18.6728878,00:01:25.4281380,00:02:04.9003492,00:01:36.0344595,00:00:33.1680010,00:01:18.8668336,00:01:39.3497559,00:01:47.3388988,00:01:16.4438642,00:03:48.8733333
92,01/16/2025 08:32:44,01/16/2025 08:51:04,00:18:21.7001945,00:01:39.0567933,00:03:17.9510492,00:01:20.2167484,00:02:08.6005219,00:01:28.5006590,00:00:33.0164740,00:01:22.0837377,00:02:06.1169601,00:01:39.6006893,00:01:05.8712127,00:01:40.6853489
93,01/30/2025 03:33:41,01/30/2025 03:35:11,,,,,,,,,,,,
94,01/30/2025 03:35:11,01/30/2025 03:36:16,,,,,,,,,,,,
95,01/30/2025 03:36:16,01/30/2025 03:37:57,,,,,,,,,,,,
96,01/30/2025 03:37:57,01/30/2025 03:46:24,,00:01:39.3052658,00:03:50.9164199,00:01:20.1208070,,,,,,,,
97,01/30/2025 03:46:24,01/30/2025 03:47:28,,,,,,,,,,,,
98,01/30/2025 03:47:28,01/30/2025 03:48:37,,,,,,,,,,,,
99,01/30/2025 03:48:37,01/30/2025 03:49:41,,,,,,,,,,,,
100,01/30/2025 03:49:41,01/30/2025 03:51:23,,,,,,,,,,,,
101,01/30/2025 03:51:23,01/30/2025 04:10:11,00:18:49.5338348,00:01:39.3233054,00:03:13.9835828,00:01:21.8667851,00:02:09.1687253,00:01:41.7325757,00:00:37.4224947,00:01:21.4264548,00:01:52.4503245,00:01:43.3333558,00:01:14.6006561,00:01:54.2255746
102,01/30/2025 04:11:50,01/30/2025 04:12:03,,,,,,,,,,,,
103,01/30/2025 04:12:03,01/30/2025 04:13:08,,,,,,,,,,,,
104,01/30/2025 04:13:08,01/30/2025 04:14:12,,,,,,,,,,,,
105,01/30/2025 04:14:12,01/30/2025 04:31:59,00:17:48.8472715,00:01:39.3394430,00:03:10.5991034,00:01:26.7004445,00:02:04.9661531,00:01:27.4669056,00:00:33.2012483,00:01:17.9005805,00:01:32.4324566,00:01:46.7663340,00:01:05.0676764,00:01:44.4069261
106,02/02/2025 08:29:49,02/02/2025 08:34:29,,00:01:39,,,,,,,,,,
107,02/02/2025 08:34:29,02/02/2025 08:52:18,00:17:50.4482780,00:01:39.3235724,00:03:09.0827112,00:01:22.1172888,00:02:04.8000632,00:01:29.0165345,00:00:32.9677029,00:01:23.9669640,00:01:32.4001391,00:01:36.9497658,00:00:57.3001661,00:02:02.5233700
108,02/02/2025 08:54:54,02/02/2025 08:56:30,,,,,,,,,,,,
109,02/02/2025 08:56:30,02/02/2025 08:57:35,,,,,,,,,,,,
110,02/02/2025 08:57:35,02/02/2025 08:58:39,,00:01:39,,,,,,,,,,
111,02/02/2025 08:58:39,02/02/2025 09:12:45,,00:01:39,00:03:12.6845591,00:01:22.8328770,00:02:13.2839023,00:01:28.7004421,00:00:35.4504129,00:01:24.3665957,00:01:48.7178225,,,
112,02/02/2025 09:12:45,02/02/2025 09:12:55,,,,,,,,,,,,
113,02/02/2025 09:12:55,02/02/2025 09:14:31,,,,,,,,,,,,
114,02/02/2025 09:14:31,02/02/2025 09:16:06,,,,,,,,,,,,
115,02/02/2025 09:16:06,02/02/2025 09:17:10,,,,,,,,,,,,
116,02/02/2025 09:17:10,02/02/2025 09:21:32,,00:01:39,,,,,,,,,,
117,02/05/2025 00:50:09,02/05/2025 00:52:06,,00:01:37.8370000,,,,,,,,,,
118,02/05/2025 00:52:06,02/05/2025 00:52:27,,,,,,,,,,,,
119,03/01/2025 03:00:22,03/01/2025 03:21:48,00:21:26.6055837,00:01:45.8737637,00:04:47.8175165,00:01:24.6007206,00:02:11.0836317,00:01:34.4502875,00:00:35.1840476,00:01:21.3340427,00:01:38.9651617,00:01:38.0554390,00:01:12.3810729,00:03:16.8598998
120,03/01/2025 03:22:59,03/01/2025 03:44:25,00:21:27.9903538,00:02:10.1645509,00:03:42.8500826,00:01:31.8335502,00:02:10.2699223,00:01:28.0034083,00:00:33.5947135,00:01:18.4338946,00:03:29.7841217,00:01:40.2502678,00:01:15.3493633,00:02:07.4564786
121,03/01/2025 03:53:57,03/01/2025 04:18:28,,,,,,,,,,,,
122,03/01/2025 04:18:31,03/01/2025 04:38:07,00:19:37.3643769,00:01:39.3227690,00:03:19.9476262,00:01:24.6507704,00:02:04.9003064,00:01:37.6208847,00:00:33.4325042,00:01:18.2642461,00:02:05.2188365,00:01:32.7159485,00:02:20.5504891,00:01:40.7399958
