id,started,ended,realTime,Bomb Clip (1),Womps (6),CCM (8),DW (Bowser),SSL (11),LLL (12),HMC (15),MIPS,DDD (16),FS (Bowser),BLJS,BITS (Bowser)
199,2025-03-17 22:57:43,2025-03-17 23:01:23,,00:01:38.9755797,,,,,,,,,,,
200,2025-03-17 23:01:26,2025-03-17 23:04:38,,00:01:39.1485187,,,,,,,,,,,
201,2025-03-17 23:04:40,2025-03-17 23:07:20,,00:01:47.3287096,,,,,,,,,,,
202,2025-03-17 23:07:22,2025-03-17 23:08:24,,,,,,,,,,,,,
203,2025-03-17 23:09:58,2025-03-17 23:11:01,,,,,,,,,,,,,
204,2025-03-17 23:11:02,2025-03-17 23:12:44,,,,,,,,,,,,,
205,2025-03-17 23:12:46,2025-03-17 23:13:48,,,,,,,,,,,,,
206,2025-03-17 23:13:50,2025-03-17 23:15:27,,,,,,,,,,,,,
207,2025-03-17 23:15:30,2025-03-17 23:18:02,,00:01:47.3427606,,,,,,,,,,,
208,2025-03-17 23:18:04,2025-03-17 23:19:49,,,,,,,,,,,,,
209,2025-03-17 23:19:51,2025-03-17 23:21:51,,,,,,,,,,,,,
210,2025-03-17 23:25:35,2025-03-17 23:45:15,00:19:40.0015890,00:01:38.9965072,00:03:33.1705780,00:01:28.0757282,00:02:29.5586892,00:01:28.3766747,00:00:36.9669200,00:01:43.8878829,00:00:43.9227674,00:00:47.8090458,00:01:50.6206611,00:01:06.3305100,00:02:12.2856245
211,2025-03-17 23:46:15,2025-03-17 23:47:18,,,,,,,,,,,,,
212,2025-03-17 23:47:20,2025-03-17 23:48:34,,,,,,,,,,,,,
213,2025-03-17 23:48:36,2025-03-17 23:49:39,,,,,,,,,,,,,
214,2025-03-17 23:49:41,2025-03-17 23:52:53,,00:01:54.4288682,,,,,,,,,,,
215,2025-03-17 23:52:55,2025-03-17 23:54:35,,,,,,,,,,,,,
216,2025-03-17 23:54:37,2025-03-17 23:55:38,,,,,,,,,,,,,
217,2025-03-17 23:55:40,2025-03-17 23:56:43,,,,,,,,,,,,,
218,2025-03-17 23:56:45,2025-03-17 23:58:34,,,,,,,,,,,,,
219,2025-03-17 23:58:36,2025-03-18 00:00:19,,,,,,,,,,,,,
220,2025-03-18 00:00:21,2025-03-18 00:01:24,,,,,,,,,,,,,
221,2025-03-18 00:28:58,2025-03-18 00:30:15,,,,,,,,,,,,,
222,2025-03-18 00:30:17,2025-03-18 00:31:19,,,,,,,,,,,,,
223,2025-03-18 00:31:21,2025-03-18 00:33:02,,,,,,,,,,,,,
224,2025-03-18 00:33:05,2025-03-18 00:34:51,,,,,,,,,,,,,
225,2025-03-18 00:34:53,2025-03-18 00:35:55,,,,,,,,,,,,,
226,2025-03-18 00:35:57,2025-03-18 00:37:38,,,,,,,,,,,,,
227,2025-03-18 00:37:40,2025-03-18 00:38:43,,,,,,,,,,,,,
228,2025-03-18 00:38:44,2025-03-18 00:40:54,,,,,,,,,,,,,
229,2025-03-18 00:40:56,2025-03-18 00:42:49,,,,,,,,,,,,,
230,2025-03-18 00:42:51,2025-03-18 01:03:52,00:21:01.3735673,00:01:54.7207225,00:03:59.3344575,00:01:38.5734156,00:02:19.7978236,00:01:34.9187590,00:00:34.8868727,00:01:28.2137556,00:00:57.4326712,00:00:57.8270262,00:01:52.5805016,00:01:17.2730491,00:02:25.8145127
231,2025-03-18 01:04:02,2025-03-18 01:05:38,,,,,,,,,,,,,
232,2025-03-18 01:05:39,2025-03-18 01:06:54,,,,,,,,,,,,,
233,2025-03-18 01:06:56,2025-03-18 01:08:36,,,,,,,,,,,,,
234,2025-03-18 06:00:42,2025-03-18 06:04:11,,00:01:54.6797444,,,,,,,,,,,
235,2025-03-18 06:04:13,2025-03-18 06:06:52,,00:01:38.9068682,,,,,,,,,,,
236,2025-03-18 06:06:55,2025-03-18 06:27:14,,00:01:38.8588952,00:03:36.6853985,00:01:28.5777794,00:03:00.0623087,00:01:55.4458545,00:00:33.9179572,00:01:33.7085376,00:01:20.7069505,00:00:47.8449085,00:01:37.4827050,00:01:14.1896425,
237,2025-03-18 06:27:17,2025-03-18 06:46:58,,00:01:37.9165569,00:03:42.7767274,00:01:31.2916284,00:02:22.3011017,00:01:32.3110449,00:00:34.3611004,00:01:25.1068040,00:01:14.2917460,00:00:51.7008754,00:01:41.4677147,00:01:19.9182786,
238,2025-03-18 06:47:07,2025-03-18 06:48:08,,,,,,,,,,,,,
239,2025-03-18 06:48:10,2025-03-18 06:51:36,,00:01:52.4107628,,,,,,,,,,,
240,2025-03-18 06:51:38,2025-03-18 06:56:17,,00:01:40.1567821,,,,,,,,,,,
241,2025-03-18 06:56:19,2025-03-18 06:57:20,,,,,,,,,,,,,
242,2025-03-18 06:57:22,2025-03-18 06:58:23,,,,,,,,,,,,,
243,2025-03-18 06:58:25,2025-03-18 07:08:02,,00:01:36.7026293,00:03:50.4485918,00:01:27.6387267,,,,,,,,,
244,2025-03-18 07:08:05,2025-03-18 07:10:43,,00:01:38.6264961,,,,,,,,,,,
245,2025-03-18 07:10:46,2025-03-18 07:11:46,,,,,,,,,,,,,
246,2025-03-18 07:11:49,2025-03-18 07:13:32,,,,,,,,,,,,,
247,2025-03-18 07:13:34,2025-03-18 07:15:21,,,,,,,,,,,,,
248,2025-03-18 07:15:23,2025-03-18 07:35:36,00:20:12.8519309,00:01:37.4489861,00:03:35.5184218,00:01:31.3365502,00:02:30.0067950,00:01:31.2257675,00:00:34.5409554,00:01:22.6414987,00:01:12.6301323,00:00:46.8135619,00:01:47.1319301,00:01:14.7246027,00:02:28.8327292
249,2025-03-18 07:36:11,2025-03-18 07:38:16,,00:02:01.9687060,,,,,,,,,,,
250,2025-03-18 07:38:18,2025-03-18 07:41:49,,00:01:38.5547775,,,,,,,,,,,
251,2025-03-18 07:41:51,2025-03-18 07:44:47,,00:02:01.1999036,,,,,,,,,,,
252,2025-03-18 07:44:49,2025-03-18 07:48:10,,00:01:47.3715532,,,,,,,,,,,
253,2025-03-18 07:50:37,2025-03-18 07:55:07,,00:01:37.9617043,,,,,,,,,,,
254,2025-03-18 07:55:09,2025-03-18 07:56:10,,,,,,,,,,,,,
255,2025-03-18 07:56:13,2025-03-18 08:14:17,,00:01:58.3916607,00:03:28.4334328,00:01:30.1318125,00:02:15.3476314,00:01:32.2737250,00:00:35.6329195,00:01:22.3137610,00:01:21.3895917,00:00:49.6420717,00:01:51.8376444,00:01:08.7809781,
256,2025-03-18 08:14:19,2025-03-18 08:23:20,,00:01:56.1437738,00:03:47.6410081,00:01:24.3279461,,,,,,,,,
257,2025-03-18 08:23:22,2025-03-18 08:43:50,00:20:27.8514285,00:01:39.8723953,00:03:31.5877190,00:01:26.0668187,00:02:15.7605880,00:01:28.6478664,00:00:35.3928196,00:01:21.2707740,00:00:57.2268496,00:01:02.3945901,00:01:53.1474001,00:01:21.3610985,00:02:55.1225092
258,2025-03-18 08:44:10,2025-03-18 09:04:47,00:20:36.3448166,00:01:36.8377713,00:04:05.0875111,00:01:31.4046875,00:02:23.0310816,00:01:28.7202782,00:00:35.3459802,00:01:21.8518874,00:00:51.9317443,00:00:57.8598130,00:02:20.2658551,00:01:11.2345939,00:02:12.7736130
259,2025-03-18 09:04:54,2025-03-18 09:24:01,,00:01:52.4747595,00:03:31.4943750,00:01:28.6478671,00:02:18.7059392,00:01:30.1463645,00:00:35.7488983,00:01:28.6545719,00:01:26.5779650,00:00:55.0478052,00:01:57.7465037,00:01:18.2459427,
260,2025-03-18 09:24:05,2025-03-18 09:25:06,,,,,,,,,,,,,
261,2025-03-18 09:25:08,2025-03-18 09:26:48,,,,,,,,,,,,,
262,2025-03-18 09:26:51,2025-03-18 09:27:54,,,,,,,,,,,,,
263,2025-03-18 09:27:56,2025-03-18 09:42:33,,00:01:59.6005165,00:03:22.5226753,00:01:32.6376843,00:02:20.7342244,00:01:45.4922143,00:00:37.6058288,00:01:35.9067319,,,,,
264,2025-03-18 09:42:35,2025-03-18 09:45:16,,00:01:53.0818885,,,,,,,,,,,
265,2025-03-18 09:45:18,2025-03-18 09:53:36,,00:01:39.7427805,00:03:39.9746944,00:01:28.7905436,,,,,,,,,
266,2025-03-18 09:53:55,2025-03-18 09:55:44,,,,,,,,,,,,,
267,2025-03-18 09:55:47,2025-03-18 09:59:30,,00:02:08.9017920,,,,,,,,,,,
268,2025-03-18 23:51:43,2025-03-18 23:53:26,,,,,,,,,,,,,
269,2025-03-18 23:53:28,2025-03-19 00:13:04,,00:01:37.4691485,00:03:50.2251622,00:01:36.3019609,00:02:16.4696782,00:01:48.3543762,00:00:40.4109253,00:01:23.8796377,00:00:49.3449030,00:00:55.6197430,00:01:50.7336737,00:00:56.9176968,
270,2025-03-19 00:13:07,2025-03-19 00:14:18,,,,,,,,,,,,,
271,2025-03-19 00:14:22,2025-03-19 00:16:16,,,,,,,,,,,,,
272,2025-03-19 00:16:19,2025-03-19 00:18:56,,00:01:50.1766216,,,,,,,,,,,
273,2025-03-19 00:18:58,2025-03-19 00:20:47,,,,,,,,,,,,,
274,2025-03-19 00:20:49,2025-03-19 00:22:32,,,,,,,,,,,,,
275,2025-03-19 00:22:35,2025-03-19 00:24:17,,,,,,,,,,,,,
276,2025-03-19 00:24:19,2025-03-19 00:25:22,,,,,,,,,,,,,
277,2025-03-19 00:25:23,2025-03-19 00:27:06,,,,,,,,,,,,,
278,2025-03-19 00:27:07,2025-03-19 00:30:37,,00:02:06.6636912,,,,,,,,,,,
279,2025-03-19 00:31:02,2025-03-19 00:35:49,,00:01:53.4145891,,,,,,,,,,,
280,2025-03-19 00:35:51,2025-03-19 00:37:32,,,,,,,,,,,,,
281,2025-03-19 00:37:34,2025-03-19 00:45:47,,00:01:50.9033564,00:03:31.6562413,00:01:36.1092692,,,,,,,,,
282,2025-03-19 00:45:49,2025-03-19 00:52:35,,00:01:38.5677640,00:03:52.9179924,,,,,,,,,,
283,2025-03-19 00:52:38,2025-03-19 01:12:32,00:19:53.6626785,00:01:59.2635498,00:03:26.0502143,00:01:27.7386306,00:02:21.1455873,00:01:28.1586807,00:00:36.1650266,00:01:24.2010022,00:00:53.6312946,00:00:50.1948027,00:01:39.5756816,00:01:11.4660683,00:02:36.0721398
284,2025-03-19 01:13:04,2025-03-19 01:13:15,,,,,,,,,,,,,
285,2025-03-19 01:13:31,2025-03-19 01:33:13,,00:01:38.6946182,00:03:18.8332780,00:01:25.1746891,00:02:27.0484301,00:01:26.6323870,00:00:34.5742470,00:01:23.2066307,00:01:24.1686988,00:00:48.2998716,00:01:51.4995736,00:01:09.3995615,
286,2025-03-19 01:33:16,2025-03-19 01:34:17,,,,,,,,,,,,,
287,2025-03-19 01:34:19,2025-03-19 01:52:57,,00:01:45.0237081,00:03:26.3564765,00:01:27.3343776,00:02:17.0580277,00:01:28.2468400,00:00:35.7422214,00:01:26.8006204,00:01:25.7887628,00:00:56.0387591,00:01:39.4356499,00:01:09.2325637,
288,2025-03-19 01:52:59,2025-03-19 01:54:00,,,,,,,,,,,,,
289,2025-03-19 01:54:02,2025-03-19 01:55:20,,,,,,,,,,,,,
290,2025-03-19 01:55:22,2025-03-19 01:56:40,,,,,,,,,,,,,
291,2025-03-19 01:56:43,2025-03-19 01:58:30,,,,,,,,,,,,,
292,2025-03-19 01:58:33,2025-03-19 02:06:45,,00:01:40.8027028,00:03:27.4881776,00:01:31.8936251,,,,,,,,,
293,2025-03-19 02:06:48,2025-03-19 02:08:27,,,,,,,,,,,,,
294,2025-03-19 02:08:29,2025-03-19 02:09:30,,,,,,,,,,,,,
295,2025-03-19 02:09:32,2025-03-19 02:11:24,,,,,,,,,,,,,
296,2025-03-19 02:11:27,2025-03-19 02:15:24,,00:01:37.7177692,,,,,,,,,,,
297,2025-03-19 02:15:25,2025-03-19 02:30:51,,00:01:47.0016413,00:03:24.6653122,00:01:33.0705463,00:02:22.8777759,00:01:34.0064051,00:00:36.1958741,00:01:29.9237933,00:01:05.4916451,00:00:54.3339402,,,
298,2025-03-19 02:32:58,2025-03-19 02:34:43,,,,,,,,,,,,,
299,2025-03-19 02:34:46,2025-03-19 02:37:33,,00:01:45.4346458,,,,,,,,,,,
300,2025-03-19 02:37:35,2025-03-19 02:40:14,,00:01:37.8766985,,,,,,,,,,,
301,2025-03-19 02:40:17,2025-03-19 02:43:03,,00:01:38.6476410,,,,,,,,,,,
302,2025-03-19 02:43:06,2025-03-19 02:45:47,,00:01:40.2795904,,,,,,,,,,,
303,2025-03-19 02:45:49,2025-03-19 03:00:24,,00:01:52.9364134,00:03:27.2356555,00:01:25.8403460,00:02:17.4475374,00:01:28.4547868,00:00:33.5106836,00:01:59.0535414,,,,,
304,2025-03-19 03:00:26,2025-03-19 03:19:17,,00:01:38.5474171,00:03:27.8856396,00:01:32.7432120,00:02:30.3826554,00:01:28.3889697,00:00:36.5817278,00:01:32.0205977,00:00:50.1188002,00:00:49.6468386,00:01:42.6545654,00:02:25.7296728,
305,2025-03-19 03:20:17,2025-03-19 03:22:01,,,,,,,,,,,,,
306,2025-03-19 03:22:04,2025-03-19 03:28:03,,00:01:39.6237120,00:03:41.5192357,,,,,,,,,,
307,2025-03-19 03:28:25,2025-03-19 03:31:02,,00:01:47.7296302,,,,,,,,,,,
308,2025-03-19 03:31:04,2025-03-19 03:34:05,,00:01:53.8714969,,,,,,,,,,,
309,2025-03-19 03:34:07,2025-03-19 03:36:12,,,,,,,,,,,,,
310,2025-03-19 03:36:15,2025-03-19 03:37:16,,,,,,,,,,,,,
311,2025-03-19 03:37:19,2025-03-19 03:39:11,,,,,,,,,,,,,
312,2025-03-19 03:39:14,2025-03-19 03:42:07,,00:02:00.7035620,,,,,,,,,,,
313,2025-03-20 01:30:05,2025-03-20 01:30:21,,,,,,,,,,,,,
314,2025-03-20 01:30:28,2025-03-20 01:32:09,,,,,,,,,,,,,
315,2025-03-20 01:32:12,2025-03-20 01:36:07,,00:01:47.0326992,,,,,,,,,,,
316,2025-03-20 01:36:29,2025-03-20 01:49:42,,00:01:53.1403834,00:03:35.0293904,00:01:29.0007491,00:03:20.0952594,00:01:32.5235169,00:00:34.5860081,,,,,,
317,2025-03-20 01:49:44,2025-03-20 01:52:31,,00:01:46.6987034,,,,,,,,,,,
318,2025-03-20 01:53:19,2025-03-20 02:15:31,00:22:11.8843789,00:01:39.4129786,00:03:30.3101073,00:01:26.9497454,00:02:30.1484737,00:01:37.7054413,00:00:34.9234957,00:01:28.2860333,00:02:27.9496041,00:00:54.0142658,00:01:38.6230513,00:01:06.5113358,00:03:17.0498466
319,2025-03-20 02:15:36,2025-03-20 02:15:51,,,,,,,,,,,,,
320,2025-03-20 02:17:36,2025-03-20 02:36:59,00:19:23.5218234,00:01:47.0064838,00:03:38.5722042,00:01:26.8678666,00:02:23.5013467,00:01:27.1768021,00:00:33.3419176,00:01:25.2187067,00:00:52.1303356,00:00:55.5147321,00:01:36.7049549,00:01:03.7089771,00:02:13.7774960
321,2025-03-20 02:44:46,2025-03-20 02:52:56,,00:01:46.6226227,00:03:31.5423000,00:01:29.1466460,,,,,,,,,
322,2025-03-20 02:52:58,2025-03-20 03:08:11,,00:01:46.1795433,00:03:34.7462763,00:01:24.6376496,00:02:16.7273133,00:01:27.8508937,00:00:35.2454063,00:01:46.6202865,,00:01:30.0834408,,,
323,2025-03-20 03:08:14,2025-03-20 03:08:18,,,,,,,,,,,,,
324,2025-03-20 03:08:25,2025-03-20 03:11:41,,00:01:38.2878865,,,,,,,,,,,
325,2025-03-20 03:11:43,2025-03-20 03:20:09,,00:01:53.5156804,00:03:26.9133954,00:01:24.8606049,,,,,,,,,
326,2025-03-20 03:20:12,2025-03-20 03:23:26,,00:01:47.9466796,,,,,,,,,,,
327,2025-03-20 03:23:42,2025-03-20 03:27:33,,,,,,,,,,,,,
328,2025-03-20 03:27:35,2025-03-20 03:30:50,,00:01:36.8767257,,,,,,,,,,,
329,2025-03-20 03:30:52,2025-03-20 03:31:29,,,,,,,,,,,,,
330,2025-03-21 02:26:50,2025-03-21 02:51:05,00:24:14.7703532,00:01:38.8862696,00:03:58.5493760,00:01:32.9096647,00:02:21.0346140,00:01:45.9894578,00:00:40.8319813,00:01:27.1955257,00:02:18.9805345,00:00:49.4898630,00:01:58.7904843,00:01:43.9556184,00:03:58.1569639
331,2025-03-21 02:51:13,2025-03-21 03:12:24,,00:01:48.8516150,00:03:36.3832501,00:01:31.0823958,00:02:25.8395355,00:01:28.8378846,00:00:34.6608237,00:01:32.2467506,00:03:00.2754870,00:00:49.1814478,00:01:57.3798214,00:01:46.0665758,
332,2025-03-21 03:12:26,2025-03-21 03:14:09,,,,,,,,,,,,,
333,2025-03-21 03:14:11,2025-03-21 03:15:54,,,,,,,,,,,,,
334,2025-03-21 03:15:57,2025-03-21 03:17:41,,,,,,,,,,,,,
335,2025-03-21 03:17:44,2025-03-21 03:24:20,,00:01:58.8436414,00:03:35.7382315,,,,,,,,,,
336,2025-03-21 03:24:22,2025-03-21 03:25:23,,,,,,,,,,,,,
337,2025-03-21 03:25:26,2025-03-21 03:28:01,,00:01:48.6638429,,,,,,,,,,,
338,2025-03-21 03:28:04,2025-03-21 03:31:14,,00:01:47.6487784,,,,,,,,,,,
339,2025-03-21 03:31:17,2025-03-21 03:31:21,,,,,,,,,,,,,
340,2025-03-21 03:31:23,2025-03-21 03:31:25,,,,,,,,,,,,,
341,2025-03-21 03:31:30,2025-03-21 03:38:43,,00:01:54.3116415,00:03:41.9222425,,,,,,,,,,
342,2025-03-21 03:38:45,2025-03-21 03:40:31,,,,,,,,,,,,,
343,2025-03-21 03:40:34,2025-03-21 03:58:19,,00:01:52.2745576,00:03:32.0522798,00:01:28.0007631,00:02:12.1353675,00:01:38.2998005,00:00:35.8969647,00:01:22.3603253,00:02:06.4007236,00:00:53.4687861,,,
344,2025-03-21 03:58:21,2025-03-21 04:18:11,00:19:50.5247258,00:01:47.0566451,00:03:26.3359750,00:01:27.4669845,00:02:10.8503261,00:01:26.4609215,00:00:35.6931006,00:01:24.7204536,00:01:15.5696348,00:00:52.0067069,00:01:39.9156806,00:01:35.4947442,00:02:08.9535529
345,2025-03-24 22:22:04,2025-03-24 22:32:51,,00:01:59.4669384,00:03:56.7812187,00:01:43.8780229,00:02:11.6361464,,,,,,,,
346,2025-03-24 22:32:54,2025-03-24 22:34:39,,,,,,,,,,,,,
347,2025-03-24 22:34:40,2025-03-24 22:36:43,,,,,,,,,,,,,
348,2025-03-24 22:37:17,2025-03-24 22:50:24,,00:01:37.8356902,00:03:20.8623425,00:01:26.1256153,00:03:52.9080444,00:01:29.9361112,00:00:36.1947501,,,,,,
349,2025-03-24 22:50:27,2025-03-24 23:09:51,,00:01:37.8845672,00:03:29.4554641,00:01:29.9585695,00:02:33.9581048,00:01:55.3760080,00:00:34.8598143,00:01:23.4656629,00:01:13.5445785,00:00:48.0840554,00:01:42.6465679,00:01:53.7685979,
350,2025-03-24 23:09:54,2025-03-24 23:26:01,,00:01:52.9465877,00:03:20.0892761,00:01:27.7967081,00:02:09.7713219,00:01:26.3707425,00:00:34.8380176,00:01:37.0226477,00:00:50.6927647,00:00:46.8268403,,,
351,2025-03-24 23:26:04,2025-03-24 23:26:22,,,,,,,,,,,,,
352,2025-03-24 23:28:35,2025-03-24 23:48:01,,00:01:54.6758291,00:03:31.0639501,00:01:28.0158883,00:02:22.1480420,00:01:26.9061605,00:00:35.4898509,00:01:20.4797145,00:00:52.3968267,00:00:58.7248001,00:01:44.9035940,00:01:01.1735863,
353,2025-03-24 23:48:04,2025-03-25 00:06:42,,00:01:38.4775370,00:03:22.5994943,00:01:28.4018982,00:02:22.1192074,00:01:49.1525688,00:00:37.1059326,00:01:23.1247160,00:00:59.9637654,00:00:47.0001614,00:01:41.4002592,00:01:04.0320646,
354,2025-03-25 00:06:47,2025-03-25 00:09:30,,00:01:47.3947445,,,,,,,,,,,
355,2025-03-25 00:09:32,2025-03-25 00:30:23,,00:01:37.8797210,00:03:34.8662007,00:01:25.9146738,00:02:11.5645921,00:01:31.3535636,00:00:33.3487425,00:01:24.1387228,00:01:53.3537047,00:00:49.6568631,00:01:50.8765496,00:02:23.2905322,
356,2025-03-25 00:30:25,2025-03-25 00:49:55,,00:01:37.8965305,00:03:26.2120859,00:01:31.1468569,00:02:21.2106420,00:01:59.4355658,00:00:34.3298463,00:01:24.5657267,00:00:50.2886474,00:00:49.8849937,00:01:49.4185569,00:01:06.1555833,
357,2025-03-25 00:50:06,2025-03-25 00:51:49,,,,,,,,,,,,,
358,2025-03-25 00:51:51,2025-03-25 01:06:03,,00:01:40.4178378,00:03:22.9341190,00:01:24.5736208,00:02:26.8229635,00:01:28.1405493,00:00:33.6214912,00:01:21.4927306,,,,,
359,2025-03-25 01:29:07,2025-03-25 01:35:18,,00:01:49.1878777,00:03:39.3971329,,,,,,,,,,
360,2025-03-25 01:35:20,2025-03-25 01:55:03,,00:01:46.8826149,00:03:34.8962145,00:01:26.7966911,00:02:27.6235034,00:01:30.1804551,00:00:34.2871282,00:01:24.5114540,00:00:58.3079417,00:00:48.9088209,00:01:36.2627235,00:01:06.5881385,
361,2025-03-25 01:55:05,2025-03-25 02:03:31,,00:01:37.6376804,00:03:21.7962596,00:01:31.1186173,,,,,,,,,
362,2025-03-25 02:03:35,2025-03-25 02:05:10,,,,,,,,,,,,,
363,2025-03-25 02:05:13,2025-03-25 02:10:33,,00:01:47.7416444,,,,,,,,,,,
364,2025-03-25 02:10:35,2025-03-25 02:13:53,,00:01:46.0975331,,,,,,,,,,,
365,2025-03-25 02:13:55,2025-03-25 02:15:43,,,,,,,,,,,,,
366,2025-03-25 03:05:36,2025-03-25 03:06:55,,,,,,,,,,,,,
367,2025-03-25 03:06:58,2025-03-25 03:09:56,,00:01:37.5721563,,,,,,,,,,,
368,2025-03-25 03:09:59,2025-03-25 03:12:55,,00:02:03.1228559,,,,,,,,,,,
369,2025-03-25 03:12:57,2025-03-25 03:16:40,,00:01:37.1657264,,,,,,,,,,,
370,2025-03-25 03:16:42,2025-03-25 03:21:47,,00:01:45.3255874,,,,,,,,,,,
371,2025-03-25 03:21:49,2025-03-25 03:23:32,,,,,,,,,,,,,
372,2025-03-25 03:23:34,2025-03-25 03:26:16,,00:01:48.1676620,,,,,,,,,,,
373,2025-03-25 03:26:19,2025-03-25 03:41:48,,00:01:38.2037007,00:03:23.8793031,00:01:26.9046478,00:02:23.8724702,00:02:01.1745961,00:00:35.9029657,00:01:21.2385710,00:00:50.2227931,00:00:48.7007002,,,
374,2025-03-25 03:41:51,2025-03-25 03:50:45,,00:01:46.6217143,00:03:39.7488784,00:01:28.7437404,,,,,,,,,
375,2025-03-25 03:50:48,2025-03-25 03:52:25,,,,,,,,,,,,,
376,2025-03-25 03:52:27,2025-03-25 04:04:43,,00:01:47.4744942,00:03:46.5994966,00:01:30.1756617,00:02:18.9463818,00:01:26.4927729,00:00:35.4167784,,,,,,
377,2025-03-25 04:04:46,2025-03-25 04:04:50,,,,,,,,,,,,,
378,2025-03-25 04:32:19,2025-03-25 04:32:33,,,,,,,,,,,,,
379,2025-03-25 04:32:35,2025-03-25 04:34:19,,,,,,,,,,,,,
380,2025-03-25 04:34:21,2025-03-25 04:42:44,,00:01:38.3420232,00:03:22.9190174,00:01:25.3775874,,,,,,,,,
381,2025-03-25 04:42:46,2025-03-25 04:45:24,,00:01:46.5026265,,,,,,,,,,,
382,2025-03-25 04:45:26,2025-03-25 04:47:10,,,,,,,,,,,,,
383,2025-03-25 04:47:12,2025-03-25 04:51:54,,00:01:48.0596729,,,,,,,,,,,
384,2025-03-25 04:52:06,2025-03-25 04:52:14,,,,,,,,,,,,,
385,2025-03-25 04:52:40,2025-03-25 04:54:25,,,,,,,,,,,,,
386,2025-03-25 04:54:29,2025-03-25 05:13:46,00:19:17.7384449,00:01:39.0505068,00:03:17.8432616,00:01:26.9177387,00:02:13.8585954,00:01:26.4576115,00:00:38.1967969,00:01:20.3487594,00:00:43.3965644,00:00:48.8640770,00:01:37.7167428,00:01:00.2201858,00:03:04.8676046
387,2025-03-30 22:39:56,2025-03-30 22:47:14,,00:02:02.6569687,00:03:30.7346007,,,,,,,,,,
388,2025-03-30 22:49:50,2025-03-30 22:51:56,,,,,,,,,,,,,
389,2025-03-30 22:51:59,2025-03-30 22:54:00,,,,,,,,,,,,,
390,2025-03-30 23:46:33,2025-03-30 23:48:10,,,,,,,,,,,,,
391,2025-03-30 23:48:14,2025-03-30 23:52:02,,00:01:38.7548298,,,,,,,,,,,
392,2025-03-30 23:52:04,2025-03-30 23:59:39,,00:01:46.9134931,00:03:24.1433630,00:01:24.3905994,,,,,,,,,
393,2025-03-30 23:59:42,2025-03-31 00:03:04,,00:02:00.9525664,,,,,,,,,,,
394,2025-03-31 00:03:06,2025-03-31 00:05:33,,00:01:39.0018175,,,,,,,,,,,
395,2025-03-31 00:05:35,2025-03-31 00:25:33,00:19:58.0265498,00:01:45.5077275,00:03:18.3172281,00:01:23.9326745,00:02:17.4282042,00:01:29.6546833,00:00:36.7880554,00:01:28.9436574,00:01:13.6721556,00:00:50.8952057,00:01:40.3093045,00:01:01.1962899,00:02:51.3813637
396,2025-03-31 00:26:42,2025-03-31 00:43:06,,00:01:36.6646180,00:03:18.3733982,00:01:27.4283119,00:02:10.0407607,00:01:26.6045973,00:00:33.5367136,00:01:20.2418640,00:01:15.7913099,00:00:48.3942606,,,
397,2025-03-31 00:52:05,2025-03-31 00:54:51,,00:01:47.0585262,,,,,,,,,,,
398,2025-03-31 00:54:54,2025-03-31 01:16:32,,00:01:39.3913617,00:03:15.7383845,00:01:24.0273632,00:02:04.8926871,00:01:27.6607198,00:00:34.4110030,00:01:22.3196927,00:00:44.0908548,00:00:58.6665341,00:01:36.7359879,00:01:04.0086168,
399,2025-03-31 01:18:10,2025-03-31 01:19:31,,,,,,,,,,,,,
400,2025-03-31 01:19:33,2025-03-31 01:22:02,,00:01:38.4835560,,,,,,,,,,,
401,2025-03-31 01:22:04,2025-03-31 01:23:40,,,,,,,,,,,,,
402,2025-03-31 01:23:42,2025-03-31 01:23:44,,,,,,,,,,,,,
403,2025-03-31 01:23:51,2025-03-31 01:31:41,,00:01:38.4966758,00:03:23.6322972,00:01:29.2514908,,,,,,,,,
404,2025-03-31 01:31:44,2025-03-31 01:34:18,,00:01:47.0196089,,,,,,,,,,,
405,2025-03-31 01:34:21,2025-03-31 01:42:00,,00:01:37.4146924,00:03:33.5183721,00:01:24.4484751,,,,,,,,,
406,2025-03-31 01:42:03,2025-03-31 01:43:45,,,,,,,,,,,,,
407,2025-03-31 01:43:47,2025-03-31 01:47:27,,00:01:47.0465700,,,,,,,,,,,
408,2025-03-31 01:47:30,2025-03-31 01:56:23,,00:01:45.9347818,00:03:25.6992233,00:01:25.6456768,,,,,,,,,
409,2025-03-31 01:56:26,2025-03-31 02:02:12,,00:01:37.9505244,00:03:28.9160110,,,,,,,,,,
410,2025-03-31 02:03:59,2025-03-31 02:07:08,,00:01:36.9176609,,,,,,,,,,,
411,2025-03-31 02:07:10,2025-03-31 02:20:33,,00:01:48.7745013,00:03:17.3842063,00:01:25.1385116,00:02:24.5016651,00:01:27.1947392,00:00:35.6535726,00:01:20.3798823,,,,,
412,2025-03-31 02:20:35,2025-03-31 02:22:14,,,,,,,,,,,,,
413,2025-03-31 02:22:16,2025-03-31 02:25:17,,,,,,,,,,,,,
414,2025-03-31 02:25:19,2025-03-31 02:28:57,,00:01:37.6116888,,,,,,,,,,,
415,2025-03-31 02:29:00,2025-03-31 02:30:01,,,,,,,,,,,,,
416,2025-03-31 02:30:03,2025-03-31 02:31:48,,,,,,,,,,,,,
417,2025-03-31 02:31:50,2025-03-31 02:33:25,,,,,,,,,,,,,
