id,started,ended,realTime,Bomb Clip (1),Womps (6),CCM (8),DW (Bowser),SSL (11),LLL (12),HMC (15),MIPS,DDD (16),FS (Bowser),BLJS,BITS (Bowser)
41,2025-03-10 06:21:33,2025-03-10 06:23:18,,,,,,,,,,,,,
42,2025-03-10 06:23:24,2025-03-10 06:25:09,,,,,,,,,,,,,
43,2025-03-10 06:25:10,2025-03-10 06:29:04,,00:01:48.9889706,,,,,,,,,,,
44,2025-03-10 06:29:05,2025-03-10 06:31:20,,,,,,,,,,,,,
45,2025-03-10 06:31:22,2025-03-10 06:52:36,00:21:14.0433442,00:01:42.8244896,00:03:26.9937449,00:01:33.1409411,00:02:19.4826981,00:01:34.8101161,00:00:35.2377602,00:01:56.7310928,00:01:15.1355378,00:00:49.6655268,00:01:42.4508921,00:01:28.7947767,00:02:48.7757680
46,2025-03-12 00:31:03,2025-03-12 00:48:50,,00:01:41.1895437,00:03:48.6167067,00:01:34.7192001,00:04:09.0886102,00:01:51.8488728,00:00:34.5600844,00:02:14.7848423,,,,,
47,2025-03-12 00:48:52,2025-03-12 00:48:55,,,,,,,,,,,,,
48,2025-03-12 00:49:12,2025-03-12 01:14:21,,00:01:55.4758450,00:04:16.2796218,00:01:52.6930986,00:02:36.4954730,00:02:37.2947625,00:00:36.0469714,00:01:47.0270224,00:01:16.0709021,00:01:08.5750001,00:02:49.7895691,00:01:36.7810321,
49,2025-03-12 01:14:24,2025-03-12 01:18:33,,00:02:03.1779915,,,,,,,,,,,
50,2025-03-12 01:18:36,2025-03-12 01:27:28,,00:01:40.9747115,00:03:35.9937593,00:01:38.5889242,,,,,,,,,
51,2025-03-12 01:27:30,2025-03-12 01:36:17,,00:01:51.0948825,00:03:47.6597916,00:01:33.2208300,,,,,,,,,
52,2025-03-12 01:36:19,2025-03-12 01:43:06,,00:01:38.9615314,00:04:07.9320311,,,,,,,,,,
53,2025-03-12 01:44:31,2025-03-12 01:48:02,,00:01:39.3967960,,,,,,,,,,,
54,2025-03-12 01:53:32,2025-03-12 01:54:36,,,,,,,,,,,,,
