id,started,ended,realTime,BOB (1),WF (6),CCM (8),DW (Bowser),SSL (11),LLL (12),HMC (15),MIPS Clip,DDD (16),FS (Bowser),BLJs,BitS (Bowser)
230,2025-01-04 04:46:00,2025-01-04 04:47:58,,,,,,,,,,,,,
231,2025-01-04 04:47:58,2025-01-04 04:57:19,,00:01:39.2299829,00:04:05.6645881,00:01:30.4088416,,,,,,,,,
232,2025-01-04 04:57:19,2025-01-04 04:59:11,,,,,,,,,,,,,
233,2025-01-04 04:59:11,2025-01-04 05:03:19,,00:02:02.9931804,,,,,,,,,,,
234,2025-01-04 05:03:19,2025-01-04 05:19:35,,00:02:00.9874610,00:04:01.3913169,00:01:28.2305216,00:02:18.4325180,,,,,,,,
235,2025-01-04 05:19:35,2025-01-04 05:28:23,,00:02:13.4207286,00:03:30.3636331,,,,,,,,,,
236,2025-01-04 05:28:23,2025-01-04 05:36:40,,00:01:48.8932610,00:03:52.4471475,00:01:29.1582418,,,,,,,,,
237,2025-01-04 05:36:40,2025-01-04 05:38:29,,,,,,,,,,,,,
238,2025-01-04 05:38:29,2025-01-04 05:40:28,,,,,,,,,,,,,
239,2025-01-04 05:40:28,2025-01-04 06:08:01,,00:01:49.4557810,00:04:21.4138070,00:01:41.6648948,00:02:31.7999911,00:01:31.6811052,00:00:35.8681238,00:01:26.7619309,00:01:27.0043820,00:00:53.6669370,00:04:32.1541992,00:02:36.8098641,
240,2025-01-04 06:08:01,2025-01-04 06:08:06,,,,,,,,,,,,,
241,2025-01-04 06:08:10,2025-01-04 06:08:14,,,,,,,,,,,,,
242,2025-01-04 06:34:45,2025-01-04 06:34:56,,,,,,,,,,,,,
243,2025-01-04 06:34:56,2025-01-04 06:41:16,,00:01:52.8298747,,,,,,,,,,,
244,2025-01-04 06:41:16,2025-01-04 06:44:16,,00:01:47.7646337,,,,,,,,,,,
245,2025-01-04 06:44:16,2025-01-04 06:46:10,,,,,,,,,,,,,
246,2025-01-04 06:46:10,2025-01-04 06:56:34,,00:01:46.9867387,00:03:56.7795470,00:02:10.2801035,,,,,,,,,
247,2025-01-04 06:56:34,2025-01-04 07:23:25,00:26:52.8678194,00:01:47.5497718,00:03:19.0592234,00:01:27.7826571,00:02:29.2804811,00:02:03.7392209,00:00:35.2139312,00:01:20.2938777,00:01:39.1928897,00:00:57.6942268,00:01:56.8731777,00:01:13.8221834,00:08:02.3661786
248,2025-01-05 06:37:50,2025-01-05 06:47:17,,,,,,,,,,,,,
249,2025-01-05 06:47:17,2025-01-05 06:52:28,,00:02:00.2954315,,,,,,,,,,,
250,2025-01-05 06:52:28,2025-01-05 06:54:14,,,,,,,,,,,,,
251,2025-01-05 06:54:14,2025-01-05 06:56:02,,,,,,,,,,,,,
252,2025-01-05 06:56:02,2025-01-05 07:07:01,,00:02:03.8569386,00:03:28.2828950,00:01:30.8832190,00:03:08.5361248,,,,,,,,
253,2025-01-05 07:07:01,2025-01-05 07:16:13,,00:01:47.6392046,00:03:29.5509140,00:01:25.0113825,,,,,,,,,
254,2025-01-05 07:16:13,2025-01-05 07:17:59,,,,,,,,,,,,,
255,2025-01-05 07:17:59,2025-01-05 07:22:37,,00:01:53.7345741,,,,,,,,,,,
256,2025-01-05 07:22:37,2025-01-05 07:23:39,,,,,,,,,,,,,
257,2025-01-05 07:23:39,2025-01-05 07:29:13,,00:01:54.9849047,,,,,,,,,,,
258,2025-01-05 07:29:13,2025-01-05 07:30:15,,,,,,,,,,,,,
259,2025-01-05 07:30:15,2025-01-05 07:30:23,,,,,,,,,,,,,
260,2025-01-05 07:30:23,2025-01-05 07:34:03,,00:02:05.6513186,,,,,,,,,,,
261,2025-01-05 07:34:03,2025-01-05 07:38:52,,00:01:53.7099692,,,,,,,,,,,
262,2025-01-05 07:38:52,2025-01-05 07:40:40,,,,,,,,,,,,,
263,2025-01-05 07:40:40,2025-01-05 07:42:48,,00:02:04.9361090,,,,,,,,,,,
264,2025-01-05 07:42:48,2025-01-05 07:43:51,,,,,,,,,,,,,
265,2025-01-05 07:43:51,2025-01-05 07:44:53,,,,,,,,,,,,,
266,2025-01-05 07:44:53,2025-01-05 07:45:54,,,,,,,,,,,,,
267,2025-01-05 07:45:54,2025-01-05 07:46:56,,,,,,,,,,,,,
268,2025-01-05 07:46:56,2025-01-05 07:54:38,,00:02:06.2113002,,,,,,,,,,,
269,2025-01-05 07:54:38,2025-01-05 07:56:56,,,,,,,,,,,,,
270,2025-01-05 07:56:56,2025-01-05 07:58:00,,,,,,,,,,,,,
271,2025-01-05 07:58:00,2025-01-05 08:04:36,,00:02:03.8181454,,,,,,,,,,,
272,2025-01-05 08:04:36,2025-01-05 08:27:38,,00:01:40.8196974,00:03:30.0488627,00:01:24.4812725,00:03:02.3422266,00:01:50.2117224,00:00:37.6540675,00:01:41.8182785,00:01:08.4494345,00:01:05.0893422,00:02:04.7919554,,
273,2025-01-05 08:27:38,2025-01-05 08:32:24,,00:01:49.2953740,,,,,,,,,,,
274,2025-01-05 08:32:24,2025-01-05 08:38:18,,00:01:48.9083995,,,,,,,,,,,
275,2025-01-05 08:38:18,2025-01-05 08:40:17,,,,,,,,,,,,,
276,2025-01-05 08:40:17,2025-01-05 08:51:46,,00:01:55.0213774,00:03:44.2647666,00:01:30.2626511,00:02:29.3584686,,,,,,,,
277,2025-01-05 08:51:46,2025-01-05 08:56:10,,00:02:04.2995735,,,,,,,,,,,
278,2025-01-05 08:56:10,2025-01-05 08:59:46,,00:02:03.6847050,,,,,,,,,,,
279,2025-01-05 08:59:46,2025-01-05 09:00:02,,,,,,,,,,,,,
280,2025-01-05 09:00:02,2025-01-05 09:01:09,,,,,,,,,,,,,
281,2025-01-05 09:01:09,2025-01-05 09:07:07,,00:01:49.6594876,,,,,,,,,,,
282,2025-01-05 09:07:07,2025-01-05 09:10:07,,,,,,,,,,,,,
283,2025-01-05 09:10:07,2025-01-05 09:19:14,,00:02:03.9999355,,,,,,,,,,,
284,2025-01-05 19:06:52,2025-01-05 19:11:20,,00:01:53.8802866,,,,,,,,,,,
285,2025-01-05 22:17:14,2025-01-05 22:19:13,,,,,,,,,,,,,
286,2025-01-05 23:48:30,2025-01-05 23:48:37,,,,,,,,,,,,,
287,2025-01-05 23:51:52,2025-01-05 23:53:37,,,,,,,,,,,,,
288,2025-01-05 23:53:37,2025-01-06 00:06:04,,00:01:37.6487415,00:03:26.6198410,00:01:26.5330451,00:02:41.8096247,00:01:44.5181083,00:00:35.2892387,,,,,,
289,2025-01-06 00:06:04,2025-01-06 00:29:03,,00:01:39.0039288,00:03:17.5304858,00:01:59.3853918,00:02:17.5385236,00:01:38.6788588,00:00:36.0796054,00:01:28.2026873,00:01:00.6342635,00:01:00.8375466,00:01:59.9144020,00:01:09.2260836,
290,2025-01-06 00:29:11,2025-01-06 00:30:22,,,,,,,,,,,,,
291,2025-01-06 00:30:22,2025-01-06 00:37:03,,00:01:41.8087626,00:03:25.7944580,,,,,,,,,,
292,2025-01-06 00:37:03,2025-01-06 00:46:48,,00:01:57.0252633,00:03:23.9674236,00:01:29.4836089,,,,,,,,,
293,2025-01-06 00:46:48,2025-01-06 00:47:52,,,,,,,,,,,,,
294,2025-01-06 00:47:52,2025-01-06 00:51:04,,00:01:39.5174622,,,,,,,,,,,
295,2025-01-06 00:51:04,2025-01-06 00:52:05,,,,,,,,,,,,,
296,2025-01-06 00:52:05,2025-01-06 00:55:30,,,,,,,,,,,,,
297,2025-01-06 00:55:30,2025-01-06 00:57:08,,,,,,,,,,,,,
298,2025-01-06 00:57:08,2025-01-06 01:06:41,,00:01:53.8121389,00:03:29.1842511,00:01:24.8582762,,,,,,,,,
299,2025-01-06 01:06:41,2025-01-06 01:28:37,,00:01:49.5353249,00:03:26.1568246,00:01:24.4387314,00:02:43.0862135,00:01:29.7337840,00:00:58.2067644,00:01:29.8914607,00:01:27.6171631,,00:02:34.4931106,00:01:03.5606017,
300,2025-01-06 01:32:03,2025-01-06 01:33:06,,,,,,,,,,,,,
301,2025-01-06 01:33:06,2025-01-06 01:34:55,,,,,,,,,,,,,
302,2025-01-06 01:34:55,2025-01-06 01:55:11,,00:02:01.9193013,00:03:38.9326260,00:01:25.1088570,00:02:18.5835080,00:01:40.6397865,00:00:33.5544331,00:01:37.0316963,00:00:50.3052782,00:00:53.8793016,00:01:52.9375601,00:01:30.3667652,
303,2025-01-08 03:35:03,2025-01-08 03:43:42,,00:01:53.5769382,00:03:31.0661471,00:01:28.1096544,,,,,,,,,
304,2025-01-08 03:43:42,2025-01-08 03:47:21,,00:01:40.5585875,,,,,,,,,,,
305,2025-01-08 03:47:21,2025-01-08 03:48:26,,,,,,,,,,,,,
306,2025-01-08 03:48:26,2025-01-08 04:09:18,00:20:53.5642185,00:01:39.4039520,00:03:59.8250994,00:01:37.2493139,00:02:43.8122184,00:01:58.6907431,00:00:33.9185351,00:01:32.4019371,00:00:57.1475076,00:00:51.0800973,00:01:38.0898905,00:01:15.9311847,00:02:06.0137394
307,2025-01-08 04:20:29,2025-01-08 04:21:01,,,,,,,,,,,,,
308,2025-01-08 04:21:01,2025-01-08 04:40:00,,00:02:03.4210453,00:03:34.2310105,00:01:27.3411431,00:02:19.5128504,00:02:02.2953955,00:00:36.0465278,00:01:22.7052785,00:01:05.9916983,00:01:02.5062749,,,
309,2025-01-08 04:40:00,2025-01-08 04:46:00,,00:03:03.8840380,,,,,,,,,,,
310,2025-01-08 04:46:00,2025-01-08 04:50:26,,00:01:53.4171722,,,,,,,,,,,
311,2025-01-08 04:50:26,2025-01-08 05:12:07,00:21:42.0863266,00:02:01.4871207,00:03:27.1536526,00:01:25.4796300,00:03:07.5358309,00:01:34.9557288,00:00:34.8995419,00:01:25.9815384,00:00:42.8015315,00:01:00.5818607,00:01:42.9271643,00:01:07.4990865,00:03:30.7836403
312,2025-01-08 05:22:15,2025-01-08 05:22:28,,,,,,,,,,,,,
313,2025-01-08 05:22:28,2025-01-08 05:43:14,00:20:47.7501875,00:01:47.2330263,00:03:36.1533626,00:01:26.5147984,00:02:17.9053284,00:01:57.3591160,00:00:33.6963542,00:01:23.7995540,00:00:45.1343355,00:00:53.5549375,00:01:45.6555761,00:01:41.9270239,00:02:38.8167746
314,2025-01-09 04:44:04,2025-01-09 04:49:46,,00:01:39.9955356,,,,,,,,,,,
315,2025-01-09 04:49:46,2025-01-09 05:00:33,,00:01:45.8710265,00:03:39.4421590,00:01:25.7515543,,,,,,,,,
316,2025-01-09 05:00:33,2025-01-09 05:21:01,,00:02:06.4385354,00:03:32.2982930,00:01:33.2265588,00:02:19.8430228,00:01:29.0753525,00:00:36.5175407,00:01:26.7988519,00:00:42.8989556,00:01:00.0782612,00:01:40.7691545,00:01:16.6149020,
317,2025-01-09 05:21:01,2025-01-09 05:39:50,,00:01:56.3881591,00:03:23.8360674,00:01:27.1628475,00:02:40.4506640,00:01:40.7788779,00:00:34.7260055,00:01:28.2246312,00:00:48.4221809,,00:02:33.3922451,00:01:03.4884455,
318,2025-01-09 05:39:50,2025-01-09 06:02:09,,00:01:55.0757008,00:03:32.0622166,00:01:29.2780620,00:02:16.9855423,00:01:26.4038562,00:00:34.8604868,00:01:20.8243632,00:00:48.0161258,00:01:01.9060227,00:01:43.3746281,00:01:54.2853850,
319,2025-01-09 06:03:00,2025-01-09 06:03:17,,,,,,,,,,,,,
320,2025-01-09 06:03:17,2025-01-09 06:22:13,,00:02:00.6215701,00:03:26.1225419,00:01:24.0822118,00:02:21.3351316,00:01:40.7817861,00:00:37.3891692,00:01:26.8987982,00:00:47.4218522,00:01:01.7577360,00:01:46.3757123,00:01:47.9152315,
321,2025-01-10 04:37:00,2025-01-10 04:38:53,,,,,,,,,,,,,
322,2025-01-10 04:38:53,2025-01-10 04:42:48,,00:02:11.4014482,,,,,,,,,,,
323,2025-01-10 04:42:48,2025-01-10 05:01:53,00:19:06.6118926,00:01:45.3964061,00:03:21.4524117,00:01:29.7603579,00:02:16.4302537,00:01:28.6617697,00:00:33.9501294,00:01:27.2316230,00:00:43.1620174,00:00:53.0389952,00:01:39.7987369,00:01:18.4647752,00:02:09.2644164
324,2025-01-10 05:25:23,2025-01-10 05:27:11,,,,,,,,,,,,,
325,2025-01-10 05:27:11,2025-01-10 05:36:19,,00:02:09.7997029,00:03:43.1669658,00:01:49.0317906,,,,,,,,,
326,2025-01-10 05:36:19,2025-01-10 05:45:00,,00:01:55.2193414,00:04:07.5429507,,,,,,,,,,
327,2025-01-10 05:45:00,2025-01-10 05:46:48,,,,,,,,,,,,,
328,2025-01-10 05:46:48,2025-01-10 05:51:14,,00:01:58.3537391,,,,,,,,,,,
329,2025-01-10 05:51:14,2025-01-10 05:52:59,,,,,,,,,,,,,
330,2025-01-10 05:52:59,2025-01-10 06:03:16,,00:01:57.1578556,00:03:54.2961293,,,,,,,,,,
331,2025-01-11 06:03:59,2025-01-11 06:05:10,,,,,,,,,,,,,
332,2025-01-11 06:05:53,2025-01-11 06:06:18,,,,,,,,,,,,,
333,2025-01-11 06:06:18,2025-01-11 06:06:36,,,,,,,,,,,,,
334,2025-01-11 06:06:36,2025-01-11 06:10:19,,00:02:05.8427875,,,,,,,,,,,
335,2025-01-11 06:10:28,2025-01-11 06:14:21,,,,,,,,,,,,,
336,2025-01-11 07:49:50,2025-01-11 08:00:47,,,,,,,,,,,,,
337,2025-01-16 03:47:55,2025-01-16 03:48:07,,,,,,,,,,,,,
338,2025-01-16 04:22:07,2025-01-16 04:22:16,,,,,,,,,,,,,
339,2025-01-16 04:22:16,2025-01-16 04:23:21,,,,,,,,,,,,,
340,2025-01-16 04:26:48,2025-01-16 04:35:17,,00:01:55.5165794,00:03:39.4367727,00:01:27.1373813,,,,,,,,,
341,2025-01-16 04:35:17,2025-01-16 04:43:55,,00:01:48.0789468,00:03:22.9788402,00:01:32.9992752,,,,,,,,,
342,2025-01-16 04:43:55,2025-01-16 04:52:56,,00:01:47.0300211,00:03:25.0896675,00:01:23.9847888,,,,,,,,,
343,2025-01-16 04:52:56,2025-01-16 05:04:00,,00:01:46.8637778,00:03:29.2091548,00:01:25.0645225,,,,,,,,,
344,2025-01-16 05:04:00,2025-01-16 05:23:25,00:19:26.3301247,00:01:47.4845486,00:03:14.3716772,00:01:24.7394240,00:02:10.1184418,00:01:44.0934806,00:00:34.1472615,00:01:23.6222409,00:00:50.2485226,00:00:59.3147237,00:01:43.6767097,00:00:55.3143103,00:02:39.1987838
345,2025-01-16 05:24:22,2025-01-16 05:44:33,00:20:13.0914613,00:02:02.0909091,00:03:17.7796026,00:01:23.9035293,00:02:07.1572142,00:01:29.0783947,00:00:35.2665895,00:01:27.6053328,00:00:46.0424625,00:00:48.9054334,00:01:36.9356261,00:02:17.6156860,00:02:20.7106811
346,2025-01-16 05:46:50,2025-01-16 05:57:30,,00:01:54.0214134,00:03:23.0671508,00:01:27.8374854,00:02:07.5544612,,,,,,,,
347,2025-01-16 05:57:30,2025-01-16 05:59:21,,,,,,,,,,,,,
348,2025-01-16 05:59:21,2025-01-16 06:08:39,,00:02:01.5598747,00:03:22.0939286,00:02:05.2380980,,,,,,,,,
349,2025-01-16 06:08:39,2025-01-16 06:23:16,,00:01:44.4549957,00:03:46.5983511,00:01:23.6912052,00:02:39.3568617,00:01:34.8284582,00:00:34.3159003,00:01:22.6995211,,,,,
350,2025-01-16 06:23:16,2025-01-16 06:33:02,,00:02:04.9523032,,,,,,,,,,,
351,2025-01-17 05:48:17,2025-01-17 05:52:33,,00:01:53.1020141,,,,,,,,,,,
352,2025-01-17 05:52:33,2025-01-17 05:54:17,,,,,,,,,,,,,
353,2025-01-17 05:54:17,2025-01-17 06:02:39,,00:01:39.0528341,00:03:30.1463778,00:01:26.1205587,,,,,,,,,
354,2025-01-17 06:02:39,2025-01-17 06:15:48,,00:01:47.8898388,00:03:23.7856640,00:01:26.0245643,00:02:15.2809230,00:01:25.4685077,00:00:36.8057033,,,,,,
355,2025-01-17 06:16:36,2025-01-17 06:36:48,,00:01:45.4611101,00:03:18.5833685,00:01:23.7926968,00:02:07.8576986,00:01:28.5125608,00:00:36.8128638,00:01:24.5563123,00:00:54.4756521,00:01:05.1382102,00:01:52.3121446,00:01:22.9888378,
356,2025-01-17 06:36:48,2025-01-17 06:40:22,,00:01:37.3192280,,,,,,,,,,,
357,2025-01-17 06:40:22,2025-01-17 06:50:33,,00:01:37.2934569,00:03:29.2869013,00:01:28.4576027,00:02:14.3332419,,,,,,,,
358,2025-01-17 06:50:33,2025-01-17 06:52:12,,,,,,,,,,,,,
359,2025-01-17 06:52:12,2025-01-17 07:13:29,,00:01:46.2829314,00:03:16.6797147,00:01:23.5892007,00:02:23.5393479,00:01:33.0939639,00:00:33.9752089,00:01:33.5015596,00:00:50.8672347,00:00:51.5867452,00:01:40.6360149,00:01:02.5500655,
360,2025-01-17 07:13:29,2025-01-17 07:15:37,,,,,,,,,,,,,
361,2025-01-17 07:15:37,2025-01-17 07:25:25,,00:01:54.1228055,00:03:27.3180282,00:01:26.4418124,,,,,,,,,
362,2025-01-17 07:25:25,2025-01-17 07:29:51,,00:03:19.3389799,,,,,,,,,,,
363,2025-01-17 07:29:51,2025-01-17 07:58:45,,,,,,,,,,,,,
364,2025-01-18 22:31:17,2025-01-18 22:49:24,,00:01:46.8119753,00:03:16.8874002,00:01:24.8739064,00:02:13.4883108,00:01:29.2835428,00:00:36.8257228,00:01:23.2440043,00:00:49.5175813,00:00:53.3393202,00:02:01.9290237,00:01:39.9579915,
365,2025-01-18 22:49:24,2025-01-18 22:54:02,,00:01:54.4821195,,,,,,,,,,,
366,2025-01-18 22:54:02,2025-01-18 22:55:50,,,,,,,,,,,,,
367,2025-01-18 22:55:50,2025-01-18 22:56:00,,,,,,,,,,,,,
368,2025-01-18 22:56:00,2025-01-18 23:16:21,00:20:21.5632065,00:01:40.4854322,00:03:17.8130352,00:01:26.6689860,00:02:09.8855393,00:01:25.7608463,00:00:34.1774124,00:02:00.7778692,00:00:42.3285347,00:00:54.8178289,00:01:42.5277450,00:02:12.7429644,00:02:13.5770129
369,2025-01-18 23:16:42,2025-01-18 23:39:41,00:23:00.7589426,00:01:38.6779633,00:03:16.5070917,00:01:29.2974889,00:02:43.2235542,00:01:26.6773925,00:00:38.3533398,00:01:35.9195670,00:00:51.7686593,00:00:51.5464441,00:01:38.1993355,00:01:13.7478533,00:05:36.8402530
370,2025-01-18 23:44:19,2025-01-18 23:44:59,,,,,,,,,,,,,
371,2025-01-19 02:06:51,2025-01-19 02:08:40,,,,,,,,,,,,,
372,2025-01-19 02:08:40,2025-01-19 02:09:14,,,,,,,,,,,,,
373,2025-01-19 02:09:14,2025-01-19 02:14:10,,00:01:39.2816266,,,,,,,,,,,
374,2025-01-19 02:14:10,2025-01-19 02:15:53,,,,,,,,,,,,,
375,2025-01-19 02:15:53,2025-01-19 02:30:04,,00:01:38.1987783,00:03:19.2365395,00:01:25.4830747,00:02:07.2471135,00:01:55.8958911,00:00:35.3445698,00:01:52.8976285,,,,,
376,2025-01-19 02:30:04,2025-01-19 02:31:45,,,,,,,,,,,,,
377,2025-01-19 02:31:45,2025-01-19 02:35:27,,00:01:39.2010311,,,,,,,,,,,
378,2025-01-19 02:35:27,2025-01-19 02:37:06,,,,,,,,,,,,,
379,2025-01-19 02:37:06,2025-01-19 02:38:49,,,,,,,,,,,,,
380,2025-01-19 02:38:49,2025-01-19 02:46:52,,00:01:38.4889555,00:03:17.8104116,00:01:27.2827663,,,,,,,,,
381,2025-01-19 02:46:52,2025-01-19 02:51:07,,00:02:00.4930628,,,,,,,,,,,
382,2025-01-19 02:51:07,2025-01-19 03:11:37,,00:01:47.3005017,00:03:18.2407978,00:01:24.7025623,00:02:19.0067788,00:01:24.9967928,00:00:46.5241956,00:01:26.0975865,00:00:42.3141027,00:00:56.8761213,00:01:39.9000878,00:03:07.6940374,
383,2025-01-19 03:12:38,2025-01-19 03:12:50,,,,,,,,,,,,,
384,2025-01-19 03:12:50,2025-01-19 03:13:53,,,,,,,,,,,,,
385,2025-01-19 03:13:53,2025-01-19 03:21:43,,00:01:38.1080096,00:03:23.1831721,00:01:25.3737827,,,,,,,,,
386,2025-01-19 23:52:57,2025-01-19 23:54:20,,,,,,,,,,,,,
387,2025-01-19 23:54:34,2025-01-19 23:54:36,,,,,,,,,,,,,
388,2025-01-20 00:22:25,2025-01-20 00:22:47,,,,,,,,,,,,,
389,2025-01-20 00:22:47,2025-01-20 00:36:03,,00:01:57.0633208,00:03:33.4074679,00:01:23.3146553,00:02:28.7124581,00:01:30.2620202,00:00:33.5989828,00:01:33.3812195,,,,,
390,2025-01-20 00:36:03,2025-01-20 00:57:32,,00:01:45.5825524,00:03:22.0343049,00:01:30.7658072,00:02:20.6419295,00:01:27.6588476,00:00:35.8044831,00:01:23.0914383,00:01:54.1176947,00:00:49.4751507,00:01:49.2034737,00:01:08.8843901,
391,2025-01-20 00:57:32,2025-01-20 00:57:43,,,,,,,,,,,,,
392,2025-01-20 00:57:43,2025-01-20 01:12:03,,00:01:52.5621867,00:03:24.8519837,00:01:33.4226206,00:02:20.5038554,00:01:26.8864901,00:00:36.3177248,00:01:24.4486721,00:01:12.7460926,,,,
393,2025-01-20 01:12:03,2025-01-20 01:16:12,,00:02:02.5683647,,,,,,,,,,,
394,2025-01-20 01:16:12,2025-01-20 01:25:29,,00:03:09.6682674,,,,,,,,,,,
395,2025-01-20 01:25:29,2025-01-20 01:30:24,,00:01:49.5546282,,,,,,,,,,,
396,2025-01-21 04:16:36,2025-01-21 04:16:42,,,,,,,,,,,,,
397,2025-01-21 04:16:43,2025-01-21 04:16:53,,,,,,,,,,,,,
398,2025-01-21 04:16:53,2025-01-21 04:17:05,,,,,,,,,,,,,
399,2025-01-21 04:17:14,2025-01-21 04:21:37,,00:02:02.4060379,,,,,,,,,,,
400,2025-01-21 04:21:37,2025-01-21 04:23:22,,,,,,,,,,,,,
401,2025-01-21 04:23:22,2025-01-21 04:31:55,,00:01:40.5965049,00:03:26.0129954,00:01:23.8620623,,,,,,,,,
402,2025-01-21 04:31:55,2025-01-21 04:37:11,,00:01:51.5541922,,,,,,,,,,,
403,2025-01-21 04:37:11,2025-01-21 04:38:59,,,,,,,,,,,,,
404,2025-01-21 04:38:59,2025-01-21 04:40:51,,,,,,,,,,,,,
405,2025-01-21 04:40:51,2025-01-21 04:49:04,,00:01:38.0276182,00:03:32.1248066,00:01:28.7436479,,,,,,,,,
406,2025-01-21 04:49:04,2025-01-21 04:51:00,,,,,,,,,,,,,
407,2025-01-21 04:51:00,2025-01-21 04:53:16,,,,,,,,,,,,,
408,2025-01-21 04:53:16,2025-01-21 04:54:20,,,,,,,,,,,,,
409,2025-01-21 04:54:20,2025-01-21 04:56:06,,,,,,,,,,,,,
410,2025-01-21 04:56:06,2025-01-21 05:08:50,,00:01:37.6096257,00:03:33.5361171,00:01:32.3833571,00:02:08.6288326,00:01:33.9287548,00:00:33.5349992,,,,,,
411,2025-01-21 05:08:50,2025-01-21 05:10:27,,,,,,,,,,,,,
412,2025-01-21 05:10:27,2025-01-21 05:19:03,,00:01:49.0815155,00:03:34.2229591,00:01:28.7516628,,,,,,,,,
413,2025-01-21 05:19:03,2025-01-21 05:23:35,,00:01:53.6851853,,,,,,,,,,,
414,2025-01-21 05:23:35,2025-01-21 05:28:37,,00:01:46.7891216,,,,,,,,,,,
415,2025-01-21 05:28:37,2025-01-21 05:34:34,,00:01:37.0763422,,,,,,,,,,,
416,2025-01-21 05:34:34,2025-01-21 05:35:37,,,,,,,,,,,,,
417,2025-01-21 05:35:37,2025-01-21 05:38:20,,,,,,,,,,,,,
418,2025-01-21 05:38:20,2025-01-21 05:46:14,,00:01:46.4038755,00:03:24.8867263,00:01:27.0550291,,,,,,,,,
419,2025-01-21 05:46:14,2025-01-21 05:55:34,,00:01:56.2848117,00:03:16.8853195,00:01:25.4238629,,,,,,,,,
420,2025-01-21 05:55:34,2025-01-21 06:00:35,,00:02:01.7258939,,,,,,,,,,,
421,2025-01-21 06:00:35,2025-01-21 06:26:24,00:25:49.7789570,00:01:39.5791370,00:03:49.3698158,00:01:31.8623565,00:02:17.4109396,00:01:24.9647093,00:00:36.5305738,00:01:23.9346124,00:00:56.6715819,00:00:53.6741089,00:06:30.4211852,00:01:50.7349502,00:02:54.6249864
422,2025-01-21 06:27:44,2025-01-21 06:27:54,,,,,,,,,,,,,
423,2025-01-21 06:27:54,2025-01-21 06:37:30,,00:01:37.1428174,,,,,,,,,,,
424,2025-01-21 06:40:29,2025-01-21 07:03:47,,00:02:00.7630365,00:03:18.6864899,00:01:28.9552702,00:02:20.9063994,00:01:36.1437485,00:00:37.1503940,00:01:19.8325208,00:01:18.5481575,00:00:51.9236991,00:02:01.9876626,00:04:05.1913600,
425,2025-01-21 07:06:04,2025-01-21 07:06:20,,,,,,,,,,,,,
426,2025-01-21 07:06:20,2025-01-21 07:11:20,,,,,,,,,,,,,
427,2025-01-22 22:38:11,2025-01-22 22:38:22,,,,,,,,,,,,,
428,2025-01-22 22:38:22,2025-01-22 22:43:52,,00:01:53.4304701,,,,,,,,,,,
429,2025-01-22 22:43:52,2025-01-22 23:00:19,,00:01:37.6631089,00:03:28.3415574,00:01:28.0889216,00:02:16.8426660,00:01:30.0551880,00:00:37.3685357,00:01:23.1957849,00:01:16.4126356,00:00:57.9391843,,,
430,2025-01-22 23:00:19,2025-01-22 23:15:37,,00:01:46.4169645,00:03:18.3340845,00:01:24.5516715,00:02:10.2498155,00:01:39.3135586,00:00:34.2071552,00:01:23.5476255,00:01:09.6324188,00:00:51.3543208,,,
431,2025-01-22 23:15:37,2025-01-22 23:20:45,,00:02:03.7190650,,,,,,,,,,,
432,2025-01-22 23:20:45,2025-01-22 23:22:39,,,,,,,,,,,,,
433,2025-01-22 23:22:39,2025-01-22 23:26:24,,00:01:39.5981602,,,,,,,,,,,
434,2025-01-22 23:26:24,2025-01-22 23:34:45,,00:01:54.0633295,00:03:20.0316481,00:01:28.9378338,,,,,,,,,
435,2025-01-22 23:34:45,2025-01-22 23:36:58,,,,,,,,,,,,,
436,2025-01-22 23:36:58,2025-01-22 23:40:02,,00:01:57.7245661,,,,,,,,,,,
437,2025-01-22 23:40:02,2025-01-23 00:01:00,00:20:58.9181182,00:01:49.7750653,00:03:18.8105531,00:01:25.7268491,00:02:21.6523997,00:01:25.9742871,00:00:34.9365542,00:01:19.5751594,00:00:50.8656114,00:00:47.6875730,00:03:58.2562084,00:01:04.9908705,00:02:00.6669870
438,2025-01-23 00:07:10,2025-01-23 00:13:56,,00:02:01.4337116,,,,,,,,,,,
439,2025-01-23 00:13:56,2025-01-23 00:15:35,,,,,,,,,,,,,
440,2025-01-23 00:15:35,2025-01-23 00:36:53,,00:01:45.5149361,00:03:16.1503572,00:01:24.8032020,00:02:26.1409088,00:01:25.7422954,00:00:34.6107463,00:01:25.8313159,00:00:46.4145274,00:00:52.0748507,00:01:54.8688563,00:01:03.2366985,
441,2025-01-27 23:37:09,2025-01-27 23:37:12,,,,,,,,,,,,,
442,2025-01-27 23:38:00,2025-01-27 23:45:49,,00:01:53.3469531,00:03:36.6701827,00:01:31.8166213,,,,,,,,,
443,2025-01-27 23:45:49,2025-01-27 23:51:56,,00:01:52.5483413,,,,,,,,,,,
444,2025-01-27 23:51:56,2025-01-27 23:53:36,,,,,,,,,,,,,
445,2025-01-27 23:53:36,2025-01-27 23:55:23,,,,,,,,,,,,,
446,2025-01-27 23:55:23,2025-01-27 23:57:10,,,,,,,,,,,,,
447,2025-01-27 23:57:10,2025-01-27 23:57:54,,,,,,,,,,,,,
