id,started,ended,realTime,BOB (1),WF (6),CCM (8),DW (Bowser),SSL (11),LLL (12),HMC (15),MIPS Clip,DDD (16),FS (Bowser),BLJs,BitS (Bowser)
65,2023-04-21 03:45:42,2023-04-21 03:48:27,,,,,,,,,,,,,
66,2023-04-21 03:48:27,2023-04-21 03:58:32,,00:02:12.6536650,00:04:03.1485310,00:01:36.1892070,,,,,,,,,
67,2023-04-21 03:58:32,2023-04-21 04:00:41,,,,,,,,,,,,,
68,2023-04-21 04:00:41,2023-04-21 04:00:51,,,,,,,,,,,,,
69,2023-04-21 04:00:51,2023-04-21 04:10:29,,00:01:47.6201670,00:04:09.8457210,00:01:29.2048830,,,,,,,,,
70,2023-04-21 04:10:43,2023-04-21 04:12:38,,,,,,,,,,,,,
71,2023-04-21 04:12:38,2023-04-21 04:19:08,,00:01:42.3372930,00:03:45.1432790,,,,,,,,,,
72,2023-04-21 04:19:08,2023-04-21 04:31:36,,00:01:38.5450989,00:03:50.6743480,00:01:31.6348830,,,,,,,,,
73,2023-04-21 04:32:36,2023-04-21 04:32:48,,,,,,,,,,,,,
74,2023-04-21 04:33:28,2023-04-21 04:36:42,,00:01:39.3250470,,,,,,,,,,,
75,2023-04-21 04:36:42,2023-04-21 04:38:39,,,,,,,,,,,,,
76,2023-04-21 04:38:39,2023-04-21 04:40:30,,,,,,,,,,,,,
77,2023-04-21 04:40:30,2023-04-21 04:41:32,,,,,,,,,,,,,
78,2023-04-21 04:41:32,2023-04-21 04:45:14,,00:01:39.7142370,,,,,,,,,,,
79,2023-04-21 04:45:14,2023-04-21 04:46:16,,,,,,,,,,,,,
80,2023-04-21 04:46:16,2023-04-21 04:48:05,,,,,,,,,,,,,
81,2023-04-21 04:48:05,2023-04-21 04:49:50,,,,,,,,,,,,,
82,2023-04-21 04:49:50,2023-04-21 04:51:55,,,,,,,,,,,,,
83,2023-04-21 04:51:55,2023-04-21 04:52:58,,,,,,,,,,,,,
84,2023-04-21 04:52:58,2023-04-21 05:03:26,,00:01:53.5122210,00:03:36.9709550,00:01:55.7093620,,,,,,,,,
85,2023-04-21 05:05:04,2023-04-21 05:07:34,,,,,,,,,,,,,
86,2023-04-21 05:07:34,2023-04-21 05:11:23,,00:01:44.2830910,,,,,,,,,,,
87,2023-04-21 05:11:23,2023-04-21 05:12:26,,,,,,,,,,,,,
88,2023-04-21 05:12:26,2023-04-21 05:24:34,,00:01:51.4356050,,,,,,,,,,,
89,2023-04-21 05:24:34,2023-04-21 05:26:16,,,,,,,,,,,,,
90,2023-04-21 05:26:16,2023-04-21 05:51:07,,00:01:48.5850780,00:04:13.0096350,00:01:49.8485050,00:02:28.7208489,00:02:00.8604930,00:00:34.4822760,00:01:37.7393139,00:01:07.0875580,00:01:31.6384560,00:02:30.2015199,00:01:28.1135110,
91,2023-04-25 02:39:27,2023-04-25 02:52:02,,00:01:50.5405963,00:04:10.7250526,00:01:29.0975447,00:02:36.2693330,00:01:51.5105576,,,,,,,
92,2023-04-25 02:52:02,2023-04-25 02:52:11,,,,,,,,,,,,,
93,2023-04-25 02:52:11,2023-04-25 02:53:13,,,,,,,,,,,,,
94,2023-04-25 02:53:13,2023-04-25 02:54:35,,,,,,,,,,,,,
95,2023-04-25 02:54:35,2023-04-25 02:55:57,,,,,,,,,,,,,
96,2023-04-25 02:55:57,2023-04-25 02:59:54,,00:01:48.5822283,,,,,,,,,,,
97,2023-04-25 02:59:54,2023-04-25 03:01:39,,,,,,,,,,,,,
98,2023-04-25 03:01:39,2023-04-25 03:02:45,,,,,,,,,,,,,
99,2023-04-25 03:02:45,2023-04-25 03:04:07,,,,,,,,,,,,,
100,2023-04-25 03:04:07,2023-04-25 03:06:15,,,,,,,,,,,,,
101,2023-04-25 03:06:15,2023-04-25 03:08:00,,,,,,,,,,,,,
102,2023-04-25 03:08:00,2023-04-25 03:09:02,,,,,,,,,,,,,
103,2023-04-25 03:09:02,2023-04-25 03:22:56,,00:01:55.6542167,00:04:18.8428937,00:02:49.6821427,00:02:38.2046619,,,,,,,,
104,2023-04-25 03:22:56,2023-04-25 03:23:05,,,,,,,,,,,,,
105,2023-04-25 03:23:05,2023-04-25 03:38:37,,00:01:39.6320670,00:04:16.9448708,00:01:42.7221919,00:02:36.2900906,00:03:43.7176636,00:00:35.9858386,,,,,,
106,2023-04-25 03:38:37,2023-04-25 03:42:28,,,,,,,,,,,,,
107,2023-04-25 03:42:28,2023-04-25 03:45:10,,00:02:32.4383282,,,,,,,,,,,
108,2023-04-25 03:45:10,2023-04-25 03:47:06,,,,,,,,,,,,,
109,2023-04-25 03:47:06,2023-04-25 03:47:15,,,,,,,,,,,,,
110,2023-04-25 03:47:15,2023-04-25 03:49:48,,,,,,,,,,,,,
