id,started,ended,realTime,BOB (1),WF (6),CCM (8),Dank (9),SSL (11),LLL (13),HMC (15),fingi,DDD (16),Fiah,Sky
56,2024-08-04 14:30:59,2024-08-04 14:32:33,,,,,,,,,,,,
57,2024-08-04 14:32:33,2024-08-04 14:35:49,,00:01:34.0841044,,,,,,,,,,
58,2024-08-04 14:35:49,2024-08-04 14:38:42,,00:01:37.2543499,,,,,,,,,,
59,2024-08-04 14:38:43,2024-08-04 14:40:42,,,,,,,,,,,,
60,2024-08-04 14:40:42,2024-08-04 14:40:49,,,,,,,,,,,,
61,2024-08-04 14:40:49,2024-08-04 14:42:23,,,,,,,,,,,,
62,2024-08-04 14:42:23,2024-08-04 14:48:53,,00:01:35.0007753,,,,,,,,,,
63,2024-08-06 08:56:55,2024-08-06 08:57:56,,,,,,,,,,,,
64,2024-08-06 08:57:56,2024-08-06 09:15:32,00:17:36.3300962,00:01:33.6590624,00:03:01.8641504,00:01:25.8184092,00:01:57.1292926,00:01:23.5681706,00:00:58.8530901,00:00:44.7651640,00:01:31.0156144,00:01:25.6168140,00:01:36.5138251,00:01:57.5265034
65,2024-08-06 09:16:58,2024-08-06 09:17:10,,,,,,,,,,,,
66,2024-08-06 09:17:10,2024-08-06 09:18:43,,,,,,,,,,,,
67,2024-08-06 09:18:43,2024-08-06 09:25:27,,00:01:34.6311460,00:03:02.1194692,00:01:24.9167119,,,,,,,,
68,2024-08-06 09:25:27,2024-08-06 09:42:09,00:16:43.0637038,00:01:34.5970413,00:03:11.8722550,00:01:18.0543316,00:01:51.1417394,00:01:46.9287278,00:01:00.6377698,00:00:44.0722283,00:01:02.7439466,00:00:48.4151833,00:01:20.4428999,00:01:24.8643200
69,2024-08-06 09:42:52,2024-08-06 09:43:02,,,,,,,,,,,,
70,2024-08-06 09:43:02,2024-08-06 09:43:12,,,,,,,,,,,,
71,2024-08-06 09:43:12,2024-08-06 09:56:51,,00:01:35.0805628,00:03:07.3654692,00:01:23.3790770,00:01:56.7667517,00:01:19.9595553,00:01:10.4937118,00:00:45.2494325,,00:00:43.5490853,,
72,2024-08-06 09:56:51,2024-08-06 10:00:08,,00:01:34.3527315,,,,,,,,,,
73,2024-08-06 10:00:08,2024-08-06 10:02:56,,00:01:34.0309328,,,,,,,,,,
74,2024-08-06 10:02:56,2024-08-06 10:03:58,,,,,,,,,,,,
75,2024-08-06 10:03:58,2024-08-06 10:20:30,00:16:33.2711360,00:01:34.5691593,00:03:01.0900900,00:01:21.6965214,00:01:50.4230884,00:01:26.9301921,00:00:58.5782590,00:00:43.6455272,00:00:50.5663020,00:00:42.7017033,00:01:34.6540527,00:01:51.5030225
76,2024-08-06 10:27:52,2024-08-06 10:28:01,,,,,,,,,,,,
77,2024-08-06 10:28:01,2024-08-06 10:30:52,,00:01:33.7252786,,,,,,,,,,
78,2024-08-06 10:30:52,2024-08-06 10:33:56,,00:01:35.3094335,,,,,,,,,,
79,2024-08-06 10:33:56,2024-08-06 10:34:04,,,,,,,,,,,,
