id,started,ended,realTime,BOB (1),WF (6),CCM (8),Dank (9),SSL (11),LLL (13),HMC (15),fingi,DDD (16),Fiah,Sky
262,2024-08-09 18:23:27,2024-08-09 18:25:03,,,,,,,,,,,,
263,2024-08-09 18:25:03,2024-08-09 18:27:53,,00:01:34.2841317,,,,,,,,,,
264,2024-08-09 18:27:53,2024-08-09 18:29:56,,00:01:43.0001045,,,,,,,,,,
265,2024-08-09 18:29:56,2024-08-09 18:41:19,,00:01:34.6395763,00:02:55.3142346,00:01:17.9327944,,,,,,,,
266,2024-08-09 18:41:19,2024-08-09 18:41:29,,,,,,,,,,,,
267,2024-08-09 18:41:29,2024-08-09 18:44:23,,00:01:33.9062080,,,,,,,,,,
268,2024-08-09 18:44:23,2024-08-09 18:47:28,,00:01:33.7829491,,,,,,,,,,
269,2024-08-09 18:47:28,2024-08-09 18:50:37,,00:01:35.5204507,,,,,,,,,,
270,2024-08-09 18:50:37,2024-08-09 18:51:38,,,,,,,,,,,,
271,2024-08-09 18:51:38,2024-08-09 18:52:40,,,,,,,,,,,,
272,2024-08-09 18:52:40,2024-08-09 18:55:21,,00:01:33.8823579,,,,,,,,,,
273,2024-08-09 18:55:21,2024-08-09 18:59:27,,00:01:35.6975814,,,,,,,,,,
274,2024-08-09 18:59:27,2024-08-09 19:06:31,,00:01:35.1948174,00:03:02.0665721,00:01:16.7437985,,,,,,,,
275,2024-08-09 19:06:31,2024-08-09 19:09:02,,00:01:33.7545716,,,,,,,,,,
276,2024-08-09 19:09:02,2024-08-09 19:10:03,,,,,,,,,,,,
277,2024-08-09 19:10:03,2024-08-09 19:11:04,,,,,,,,,,,,
278,2024-08-09 19:11:04,2024-08-09 19:11:12,,,,,,,,,,,,
279,2024-08-09 19:11:12,2024-08-09 19:12:16,,,,,,,,,,,,
280,2024-08-09 19:12:16,2024-08-09 19:13:18,,,,,,,,,,,,
281,2024-08-09 19:13:18,2024-08-09 19:14:47,,,,,,,,,,,,
282,2024-08-09 19:14:47,2024-08-09 19:15:49,,,,,,,,,,,,
283,2024-08-09 19:15:49,2024-08-09 19:18:14,,00:01:33.4905561,,,,,,,,,,
284,2024-08-09 19:18:14,2024-08-09 19:34:52,00:16:39.2360378,00:01:34.7995829,00:02:59.7440205,00:01:22.6565589,00:01:49.5729357,00:01:20.8237131,00:01:04.0006228,00:00:43.4809555,00:00:53.3070281,00:00:41.3674212,00:01:20.2534637,00:02:08.5365845
285,2024-08-09 19:35:29,2024-08-09 19:35:40,,,,,,,,,,,,
286,2024-08-09 19:35:40,2024-08-09 19:35:50,,,,,,,,,,,,
287,2024-08-09 19:35:50,2024-08-09 19:46:41,,00:01:33.5676919,00:03:03.1532198,00:01:24.3414855,00:01:52.9980261,00:01:20.8385214,00:01:07.5222454,,,,,
288,2024-08-09 19:46:41,2024-08-09 19:46:51,,,,,,,,,,,,
289,2024-08-09 19:46:51,2024-08-09 19:47:53,,,,,,,,,,,,
290,2024-08-09 19:47:53,2024-08-09 19:48:53,,,,,,,,,,,,
291,2024-08-09 19:48:53,2024-08-09 19:55:59,,00:01:34.1637255,00:02:57.9670907,00:01:16.2752624,,,,,,,,
292,2024-08-09 19:55:59,2024-08-09 19:58:25,,00:01:35.5858710,,,,,,,,,,
293,2024-08-09 19:58:25,2024-08-09 20:00:14,,,,,,,,,,,,
294,2024-08-09 20:00:14,2024-08-09 20:02:37,,00:01:35.1421227,,,,,,,,,,
295,2024-08-09 20:02:37,2024-08-09 20:04:09,,,,,,,,,,,,
296,2024-08-09 20:04:09,2024-08-09 20:06:30,,00:01:35.8781070,,,,,,,,,,
297,2024-08-09 20:06:30,2024-08-09 20:06:38,,,,,,,,,,,,
298,2024-08-09 20:06:38,2024-08-09 20:07:39,,,,,,,,,,,,
299,2024-08-09 20:07:39,2024-08-09 20:08:53,,,,,,,,,,,,
300,2024-08-09 20:08:53,2024-08-09 20:09:01,,,,,,,,,,,,
301,2024-08-09 20:09:01,2024-08-09 20:10:04,,,,,,,,,,,,
302,2024-08-09 20:10:04,2024-08-09 20:11:37,,,,,,,,,,,,
303,2024-08-09 20:11:37,2024-08-09 20:19:43,,00:01:34.0515832,00:03:01.5105795,00:01:17.9104395,,,,,,,,
304,2024-08-10 08:22:27,2024-08-10 08:22:36,,,,,,,,,,,,
305,2024-08-10 08:22:36,2024-08-10 08:22:44,,,,,,,,,,,,
306,2024-08-10 08:22:44,2024-08-10 08:25:35,,00:01:35.2882555,,,,,,,,,,
307,2024-08-10 08:25:35,2024-08-10 08:27:12,,,,,,,,,,,,
308,2024-08-10 08:27:12,2024-08-10 08:28:14,,,,,,,,,,,,
309,2024-08-10 08:28:14,2024-08-10 08:29:15,,,,,,,,,,,,
310,2024-08-10 08:29:15,2024-08-10 08:30:47,,,,,,,,,,,,
311,2024-08-10 08:30:47,2024-08-10 08:31:49,,,,,,,,,,,,
312,2024-08-10 08:31:49,2024-08-10 08:32:51,,,,,,,,,,,,
313,2024-08-10 08:32:51,2024-08-10 08:34:23,,,,,,,,,,,,
314,2024-08-10 08:34:23,2024-08-10 08:35:25,,,,,,,,,,,,
315,2024-08-10 08:35:25,2024-08-10 08:38:32,,00:01:33.5807981,,,,,,,,,,
316,2024-08-10 08:38:32,2024-08-10 08:41:15,,00:01:33.7726013,,,,,,,,,,
317,2024-08-10 08:41:15,2024-08-10 08:42:45,,,,,,,,,,,,
318,2024-08-10 08:42:45,2024-08-10 08:49:17,,00:01:34.8059255,00:02:59.1318463,00:01:16.6651159,,,,,,,,
319,2024-08-10 08:49:17,2024-08-10 08:50:20,,,,,,,,,,,,
320,2024-08-10 08:50:20,2024-08-10 09:03:28,,00:01:33.9168976,00:03:00.2088593,00:01:16.5407799,00:01:55.2269397,00:01:24.5148813,00:01:06.0330754,00:00:43.6018614,,00:00:42.0944248,,
321,2024-08-10 09:03:28,2024-08-10 09:03:38,,,,,,,,,,,,
322,2024-08-10 09:03:38,2024-08-10 09:05:56,,00:01:37.2969079,,,,,,,,,,
323,2024-08-10 09:05:56,2024-08-10 09:08:17,,00:01:33.7734339,,,,,,,,,,
324,2024-08-10 09:08:17,2024-08-10 09:24:22,,00:01:34.2693495,00:03:00.4503377,00:01:17.5841939,00:01:55.5257956,00:01:20.4457603,00:01:01.8343124,00:00:43.7072311,00:01:05.7717623,00:00:43.5085550,00:01:36.2914941,
325,2024-08-10 09:24:22,2024-08-10 09:24:31,,,,,,,,,,,,
326,2024-08-10 09:24:31,2024-08-10 09:24:39,,,,,,,,,,,,
327,2024-08-10 09:24:39,2024-08-10 09:27:02,,00:01:37.0069383,,,,,,,,,,
328,2024-08-10 09:27:02,2024-08-10 09:29:23,,00:01:35.2089580,,,,,,,,,,
329,2024-08-10 09:29:23,2024-08-10 09:30:58,,,,,,,,,,,,
330,2024-08-10 09:30:58,2024-08-10 09:33:22,,00:01:36.1399878,,,,,,,,,,
331,2024-08-10 09:33:22,2024-08-10 09:34:24,,,,,,,,,,,,
332,2024-08-10 09:34:24,2024-08-10 09:34:31,,,,,,,,,,,,
333,2024-08-10 09:34:31,2024-08-10 09:35:33,,,,,,,,,,,,
334,2024-08-10 09:35:33,2024-08-10 09:37:06,,,,,,,,,,,,
335,2024-08-10 09:37:06,2024-08-10 09:39:33,,00:01:35.6664695,,,,,,,,,,
336,2024-08-10 09:39:33,2024-08-10 09:41:58,,00:01:34.2167494,,,,,,,,,,
337,2024-08-10 09:41:58,2024-08-10 09:42:10,,,,,,,,,,,,
338,2024-08-10 09:42:10,2024-08-10 09:43:15,,,,,,,,,,,,
339,2024-08-10 09:43:15,2024-08-10 09:49:32,,00:01:33.9214451,00:02:55.5224298,,,,,,,,,
340,2024-08-10 09:49:32,2024-08-10 09:49:45,,,,,,,,,,,,
341,2024-08-10 09:49:45,2024-08-10 09:56:39,,00:01:34.1628280,00:03:04.3105944,00:01:23.5888460,,,,,,,,
342,2024-08-10 09:56:39,2024-08-10 09:57:40,,,,,,,,,,,,
343,2024-08-10 09:57:40,2024-08-10 10:00:26,,00:01:35.7465332,,,,,,,,,,
344,2024-08-10 10:00:26,2024-08-10 10:01:28,,,,,,,,,,,,
345,2024-08-10 10:01:28,2024-08-10 10:03:03,,,,,,,,,,,,
346,2024-08-10 10:03:03,2024-08-10 10:17:25,,00:01:33.9748771,00:03:00.5631154,00:01:22.4166670,00:01:50.3303730,00:01:27.6913657,00:00:58.6040962,00:00:43.3989422,,00:00:41.4933617,,
347,2024-08-10 10:17:25,2024-08-10 10:17:34,,,,,,,,,,,,
348,2024-08-10 10:17:34,2024-08-10 10:17:42,,,,,,,,,,,,
349,2024-08-10 10:17:42,2024-08-10 10:17:50,,,,,,,,,,,,
350,2024-08-10 10:17:50,2024-08-10 10:20:11,,00:01:33.9242236,,,,,,,,,,
351,2024-08-10 10:20:11,2024-08-10 10:20:44,,,,,,,,,,,,
352,2024-08-10 10:20:44,2024-08-10 10:22:33,,,,,,,,,,,,
353,2024-08-10 10:22:33,2024-08-10 10:27:50,,00:01:34.8657742,00:02:58.6863527,,,,,,,,,
354,2024-08-10 10:27:50,2024-08-10 10:43:22,,00:01:33.7965529,00:02:55.4135744,00:01:21.6616262,00:01:55.3358437,00:01:24.5029787,00:01:03.3531388,00:00:44.2347379,00:00:56.1674289,00:00:43.9106111,00:01:20.7331792,
355,2024-08-10 10:43:22,2024-08-10 10:43:32,,,,,,,,,,,,
356,2024-08-10 10:43:32,2024-08-10 10:45:06,,,,,,,,,,,,
357,2024-08-10 10:45:06,2024-08-10 10:47:27,,00:01:35.3558776,,,,,,,,,,
358,2024-08-10 10:47:27,2024-08-10 10:49:00,,,,,,,,,,,,
359,2024-08-10 10:49:00,2024-08-10 10:55:40,,00:01:33.9494927,00:02:58.6221351,00:01:18.1750957,,,,,,,,
360,2024-08-10 10:55:40,2024-08-10 11:04:49,,00:01:33.8011189,00:02:55.7659401,00:01:17.5365599,00:02:00.8701751,,,,,,,
361,2024-08-10 11:04:49,2024-08-10 11:08:25,,00:01:33.8788885,,,,,,,,,,
362,2024-08-10 11:08:25,2024-08-10 11:21:40,,00:01:35.0114869,00:02:51.7957678,00:01:17.2444142,00:01:56.2322795,00:01:28.3034351,00:00:58.4136870,,,,,
363,2024-08-10 11:21:40,2024-08-10 11:21:50,,,,,,,,,,,,
364,2024-08-10 11:21:50,2024-08-10 11:24:13,,00:01:34.3840923,,,,,,,,,,
365,2024-08-10 11:24:13,2024-08-10 11:25:14,,,,,,,,,,,,
366,2024-08-10 11:25:14,2024-08-10 11:28:01,,00:01:34.1054195,,,,,,,,,,
367,2024-08-10 11:28:01,2024-08-10 11:28:09,,,,,,,,,,,,
368,2024-08-10 11:28:09,2024-08-10 11:30:53,,00:01:33.9327797,,,,,,,,,,
369,2024-08-10 11:30:53,2024-08-10 11:33:39,,00:01:33.7498737,,,,,,,,,,
370,2024-08-10 11:33:39,2024-08-10 11:33:47,,,,,,,,,,,,
371,2024-08-10 11:33:47,2024-08-10 11:36:59,,00:01:33.7468738,,,,,,,,,,
372,2024-08-10 11:36:59,2024-08-10 11:39:54,,00:01:33.7056346,,,,,,,,,,
373,2024-08-10 11:39:54,2024-08-10 11:53:08,,00:01:34.6803999,00:02:56.2287894,00:01:16.5609836,00:01:52.2708768,00:01:29.8713882,00:01:01.2550459,00:00:43.7855867,,00:00:47.5561266,,
374,2024-08-10 11:53:08,2024-08-10 11:54:09,,,,,,,,,,,,
375,2024-08-10 11:54:09,2024-08-10 11:55:13,,,,,,,,,,,,
376,2024-08-10 11:55:13,2024-08-10 11:57:33,,00:01:33.9671662,,,,,,,,,,
377,2024-08-10 11:57:33,2024-08-10 12:00:18,,00:01:34.3227699,,,,,,,,,,
378,2024-08-10 12:00:18,2024-08-10 12:01:50,,,,,,,,,,,,
379,2024-08-10 12:01:50,2024-08-10 12:04:12,,00:01:35.0999956,,,,,,,,,,
380,2024-08-10 12:04:12,2024-08-10 12:04:20,,,,,,,,,,,,
381,2024-08-10 12:04:20,2024-08-10 12:06:44,,00:01:33.7324848,,,,,,,,,,
382,2024-08-10 12:06:44,2024-08-10 12:06:52,,,,,,,,,,,,
383,2024-08-10 12:06:52,2024-08-10 12:09:12,,00:01:34.0967818,,,,,,,,,,
384,2024-08-10 12:09:12,2024-08-10 12:11:33,,00:01:34.7596356,,,,,,,,,,
385,2024-08-10 12:11:33,2024-08-10 12:13:53,,00:01:34.0427416,,,,,,,,,,
386,2024-08-10 12:13:53,2024-08-10 12:17:10,,00:01:33.8459620,,,,,,,,,,
387,2024-08-10 12:17:10,2024-08-10 12:17:18,,,,,,,,,,,,
388,2024-08-10 12:17:18,2024-08-10 12:19:01,,,,,,,,,,,,
389,2024-08-10 12:19:01,2024-08-10 12:19:09,,,,,,,,,,,,
390,2024-08-10 12:19:09,2024-08-10 12:20:10,,,,,,,,,,,,
391,2024-08-10 12:20:10,2024-08-10 12:22:06,,00:01:34.9647724,,,,,,,,,,
392,2024-08-10 12:22:06,2024-08-10 12:24:26,,00:01:33.9865826,,,,,,,,,,
393,2024-08-10 12:24:26,2024-08-10 12:24:34,,,,,,,,,,,,
394,2024-08-10 12:24:34,2024-08-10 12:26:06,,,,,,,,,,,,
395,2024-08-10 12:26:06,2024-08-10 12:27:07,,,,,,,,,,,,
396,2024-08-10 12:27:07,2024-08-10 12:27:15,,,,,,,,,,,,
397,2024-08-10 12:27:15,2024-08-10 12:29:36,,00:01:33.7307189,,,,,,,,,,
398,2024-08-10 12:29:36,2024-08-10 12:30:38,,,,,,,,,,,,
399,2024-08-10 12:30:38,2024-08-10 12:30:46,,,,,,,,,,,,
400,2024-08-10 12:30:46,2024-08-10 12:31:48,,,,,,,,,,,,
401,2024-08-10 12:31:48,2024-08-10 12:34:30,,00:01:34.9087790,,,,,,,,,,
402,2024-08-10 12:34:30,2024-08-10 12:41:24,,00:01:34.5109614,00:03:01.1165444,00:01:22.3546436,,,,,,,,
403,2024-08-10 12:41:24,2024-08-10 12:41:31,,,,,,,,,,,,
404,2024-08-10 12:41:31,2024-08-10 12:42:36,,,,,,,,,,,,
405,2024-08-10 12:42:36,2024-08-10 12:44:09,,,,,,,,,,,,
406,2024-08-10 12:44:09,2024-08-10 12:48:19,,00:01:33.6289444,,,,,,,,,,
407,2024-08-10 12:48:19,2024-08-10 12:51:14,,00:01:34.9633659,,,,,,,,,,
408,2024-08-10 16:46:20,2024-08-10 16:46:28,,,,,,,,,,,,
409,2024-08-10 16:46:28,2024-08-10 16:47:31,,,,,,,,,,,,
410,2024-08-10 16:47:31,2024-08-10 16:49:54,,00:01:36.6019411,,,,,,,,,,
411,2024-08-10 16:49:54,2024-08-10 16:50:57,,,,,,,,,,,,
412,2024-08-10 16:50:57,2024-08-10 16:52:00,,,,,,,,,,,,
413,2024-08-10 16:52:00,2024-08-10 16:52:08,,,,,,,,,,,,
414,2024-08-10 16:52:08,2024-08-10 17:01:03,,00:01:34.4659682,00:02:58.3882841,00:01:17.0672562,00:01:57.7793745,,,,,,,
415,2024-08-10 17:01:03,2024-08-10 17:03:25,,00:01:33.5863478,,,,,,,,,,
416,2024-08-10 17:03:25,2024-08-10 17:03:33,,,,,,,,,,,,
417,2024-08-10 17:03:33,2024-08-10 17:04:34,,,,,,,,,,,,
418,2024-08-10 17:04:34,2024-08-10 17:06:06,,,,,,,,,,,,
419,2024-08-10 17:06:06,2024-08-10 17:21:15,,00:01:33.5897637,00:03:01.2087707,00:01:19.1074382,00:01:52.5019819,00:01:20.4035920,00:01:01.1391796,00:00:43.4719615,00:01:08.3019963,00:00:41.9434435,00:01:34.5538312,
420,2024-08-10 17:21:15,2024-08-10 17:22:51,,,,,,,,,,,,
421,2024-08-10 17:22:51,2024-08-10 17:25:33,,00:01:33.4974011,,,,,,,,,,
422,2024-08-10 17:25:33,2024-08-10 17:25:41,,,,,,,,,,,,
423,2024-08-10 17:25:41,2024-08-10 17:26:44,,,,,,,,,,,,
424,2024-08-10 17:26:44,2024-08-10 17:29:07,,00:01:33.9530318,,,,,,,,,,
425,2024-08-10 17:29:07,2024-08-10 17:31:51,,00:01:35.3456667,,,,,,,,,,
426,2024-08-10 17:31:51,2024-08-10 17:34:44,,00:01:37.1116835,,,,,,,,,,
427,2024-08-10 17:34:44,2024-08-10 17:37:11,,00:01:34.4226537,,,,,,,,,,
428,2024-08-10 17:37:11,2024-08-10 17:38:14,,,,,,,,,,,,
429,2024-08-10 17:38:14,2024-08-10 17:39:16,,,,,,,,,,,,
430,2024-08-10 17:39:16,2024-08-10 17:41:43,,00:01:34.3708936,,,,,,,,,,
431,2024-08-10 17:41:43,2024-08-10 17:48:17,,00:01:34.0008208,00:02:57.8383727,00:01:23.8803061,,,,,,,,
432,2024-08-10 17:48:17,2024-08-10 17:49:20,,,,,,,,,,,,
433,2024-08-10 17:49:20,2024-08-10 17:50:21,,,,,,,,,,,,
434,2024-08-10 17:50:21,2024-08-10 17:50:29,,,,,,,,,,,,
435,2024-08-10 17:50:29,2024-08-10 17:53:19,,00:01:35.2737921,,,,,,,,,,
436,2024-08-10 17:53:19,2024-08-10 17:53:27,,,,,,,,,,,,
437,2024-08-10 17:53:27,2024-08-10 18:00:19,,00:01:34.0737997,00:03:01.2201021,00:01:25.1018535,,,,,,,,
438,2024-08-10 18:00:19,2024-08-10 18:05:37,,00:01:34.7907732,00:02:56.6860211,,,,,,,,,
439,2024-08-10 18:05:37,2024-08-10 18:09:00,,00:01:34.3031666,,,,,,,,,,
440,2024-08-10 18:09:00,2024-08-10 18:24:08,,,,,,,,,,,,
441,2024-08-11 08:56:44,2024-08-11 08:56:51,,,,,,,,,,,,
442,2024-08-11 08:57:39,2024-08-11 08:57:40,,,,,,,,,,,,
443,2024-08-11 09:09:30,2024-08-11 09:10:17,,,,,,,,,,,,
444,2024-08-11 09:10:27,2024-08-11 09:11:07,,,,,,,,,,,,
445,2024-08-11 09:14:01,2024-08-11 09:14:30,,,,,,,,,,,,
446,2024-08-17 09:56:33,2024-08-17 09:58:05,,,,,,,,,,,,
447,2024-08-17 09:58:05,2024-08-17 09:59:39,,,,,,,,,,,,
448,2024-08-17 09:59:39,2024-08-17 10:01:59,,00:01:33.6919804,,,,,,,,,,
449,2024-08-17 10:01:59,2024-08-17 10:03:31,,,,,,,,,,,,
450,2024-08-17 10:03:31,2024-08-17 10:04:37,,,,,,,,,,,,
451,2024-08-17 10:04:37,2024-08-17 10:05:38,,,,,,,,,,,,
452,2024-08-17 10:05:38,2024-08-17 10:06:39,,,,,,,,,,,,
453,2024-08-17 10:06:39,2024-08-17 10:08:10,,,,,,,,,,,,
454,2024-08-17 10:08:10,2024-08-17 10:08:17,,,,,,,,,,,,
455,2024-08-17 10:08:17,2024-08-17 10:08:26,,,,,,,,,,,,
456,2024-08-17 10:08:26,2024-08-17 10:11:08,,00:01:33.9285536,,,,,,,,,,
457,2024-08-17 10:11:08,2024-08-17 10:11:16,,,,,,,,,,,,
458,2024-08-17 10:11:16,2024-08-17 10:14:05,,00:01:36.7603250,,,,,,,,,,
459,2024-08-17 10:14:05,2024-08-17 10:15:06,,,,,,,,,,,,
460,2024-08-17 10:15:06,2024-08-17 10:16:36,,,,,,,,,,,,
461,2024-08-17 10:16:36,2024-08-17 10:18:57,,00:01:33.7441523,,,,,,,,,,
462,2024-08-17 10:18:57,2024-08-17 10:22:06,,00:01:33.8833460,,,,,,,,,,
463,2024-08-17 10:22:06,2024-08-17 10:22:14,,,,,,,,,,,,
464,2024-08-17 10:22:14,2024-08-17 10:22:26,,,,,,,,,,,,
465,2024-08-17 10:22:26,2024-08-17 10:23:55,,,,,,,,,,,,
466,2024-08-17 10:23:55,2024-08-17 10:26:17,,00:01:34.1015859,,,,,,,,,,
467,2024-08-17 10:26:17,2024-08-17 10:28:39,,00:01:33.5419643,,,,,,,,,,
468,2024-08-17 10:28:39,2024-08-17 10:30:16,,,,,,,,,,,,
469,2024-08-17 10:30:16,2024-08-17 10:31:21,,,,,,,,,,,,
470,2024-08-17 10:31:21,2024-08-17 10:48:20,,,,,,,,,,,,
471,2024-08-17 10:48:20,2024-08-17 11:04:22,00:16:03.5454538,00:01:33.5610602,00:02:54.7331823,00:01:16.7048547,00:01:55.2718532,00:01:22.3082919,00:00:58.3890748,00:00:43.4371489,00:01:08.0161579,00:00:41.7346097,00:01:25.0184377,00:01:27.6780772
472,2024-08-17 11:07:12,2024-08-17 11:07:21,,,,,,,,,,,,
473,2024-08-17 11:07:21,2024-08-17 11:08:22,,,,,,,,,,,,
474,2024-08-17 11:08:22,2024-08-17 11:08:30,,,,,,,,,,,,
475,2024-08-17 11:08:30,2024-08-17 11:09:57,,,,,,,,,,,,
476,2024-08-17 11:09:57,2024-08-17 11:12:41,,00:01:34.1186230,,,,,,,,,,
477,2024-08-17 11:12:41,2024-08-17 11:15:27,,00:01:33.8083743,,,,,,,,,,
478,2024-08-17 11:15:27,2024-08-17 11:18:12,,00:01:33.8124643,,,,,,,,,,
479,2024-08-17 11:18:12,2024-08-17 11:20:33,,00:01:33.7965425,,,,,,,,,,
480,2024-08-17 11:20:33,2024-08-17 11:23:43,,00:01:33.9012163,,,,,,,,,,
481,2024-08-17 11:23:43,2024-08-17 11:24:44,,,,,,,,,,,,
482,2024-08-17 11:24:44,2024-08-17 11:27:32,,00:01:34.1697029,,,,,,,,,,
483,2024-08-17 11:27:32,2024-08-17 11:29:57,,00:01:33.6585815,,,,,,,,,,
484,2024-08-17 11:29:57,2024-08-17 11:32:48,,00:01:34.6785411,,,,,,,,,,
485,2024-08-17 11:32:48,2024-08-17 11:33:51,,,,,,,,,,,,
486,2024-08-17 11:33:51,2024-08-17 11:34:53,,,,,,,,,,,,
487,2024-08-17 11:34:53,2024-08-17 11:37:13,,00:01:33.6730517,,,,,,,,,,
488,2024-08-17 11:37:13,2024-08-17 11:42:35,,00:01:33.6551036,00:03:04.0592667,,,,,,,,,
489,2024-08-17 11:42:35,2024-08-17 11:43:36,,,,,,,,,,,,
490,2024-08-17 11:43:36,2024-08-17 11:44:40,,,,,,,,,,,,
491,2024-08-17 11:44:40,2024-08-17 11:45:41,,,,,,,,,,,,
492,2024-08-17 11:45:41,2024-08-17 11:47:18,,,,,,,,,,,,
493,2024-08-17 11:47:18,2024-08-17 11:52:26,,00:01:33.7824736,00:02:56.2012131,,,,,,,,,
494,2024-08-17 11:52:26,2024-08-17 11:53:27,,,,,,,,,,,,
495,2024-08-17 11:53:27,2024-08-17 11:55:50,,00:01:34.5847203,,,,,,,,,,
496,2024-08-17 11:55:50,2024-08-17 11:57:28,,,,,,,,,,,,
497,2024-08-17 11:57:28,2024-08-17 11:59:47,,00:01:34.0427982,,,,,,,,,,
498,2024-08-17 11:59:47,2024-08-17 12:06:26,,00:01:34.6487429,00:03:02.1773816,00:01:18.1478314,,,,,,,,
499,2024-08-17 12:06:26,2024-08-17 12:08:47,,00:01:33.8446484,,,,,,,,,,
500,2024-08-17 12:08:47,2024-08-17 12:15:00,,00:01:34.6671112,,,,,,,,,,
501,2024-08-17 17:14:45,2024-08-17 17:47:33,,,,,,,,,,,,
502,2024-08-17 17:47:33,2024-08-17 17:50:19,,00:01:33.5373960,,,,,,,,,,
503,2024-08-17 17:50:19,2024-08-17 17:51:21,,,,,,,,,,,,
504,2024-08-17 17:51:21,2024-08-17 17:52:22,,,,,,,,,,,,
505,2024-08-17 17:52:22,2024-08-17 17:54:43,,00:01:33.5897362,,,,,,,,,,
506,2024-08-17 17:54:43,2024-08-17 17:59:09,,00:01:34.7996050,,,,,,,,,,
507,2024-08-17 17:59:09,2024-08-17 18:01:54,,00:01:34.9761447,,,,,,,,,,
508,2024-08-17 18:01:54,2024-08-17 18:05:31,,00:01:34.7732529,,,,,,,,,,
509,2024-08-17 18:05:31,2024-08-17 18:09:54,,00:01:34.2945812,,,,,,,,,,
510,2024-08-17 18:09:54,2024-08-17 18:14:02,,,,,,,,,,,,
511,2024-08-17 18:14:02,2024-08-17 18:15:06,,,,,,,,,,,,
512,2024-08-17 18:15:06,2024-08-17 18:18:12,,00:01:33.5568507,,,,,,,,,,
513,2024-08-17 18:18:12,2024-08-17 18:32:33,,00:01:33.9180877,00:02:56.0999609,00:01:20.1703548,00:01:55.9079368,00:01:27.7578846,00:01:02.2925949,00:00:43.4715582,,00:00:49.5872252,,
514,2024-08-17 18:32:33,2024-08-17 18:35:21,,00:01:33.8285151,,,,,,,,,,
515,2024-08-17 18:35:21,2024-08-17 18:36:22,,,,,,,,,,,,
516,2024-08-17 18:36:22,2024-08-17 18:49:21,,00:01:33.8838388,00:02:53.0053977,00:01:20.3702639,00:01:57.3720980,00:01:20.8424318,00:01:12.9148327,00:00:45.3259587,,00:00:47.5691527,,
517,2024-08-17 18:49:21,2024-08-17 18:49:31,,,,,,,,,,,,
518,2024-08-17 18:49:31,2024-08-17 18:51:02,,,,,,,,,,,,
519,2024-08-17 18:51:02,2024-08-17 18:51:10,,,,,,,,,,,,
520,2024-08-17 18:51:10,2024-08-17 18:52:12,,,,,,,,,,,,
521,2024-08-17 18:52:12,2024-08-17 18:53:19,,,,,,,,,,,,
522,2024-08-17 18:53:19,2024-08-17 18:53:26,,,,,,,,,,,,
523,2024-08-17 18:53:26,2024-08-17 18:56:11,,00:01:33.7385580,,,,,,,,,,
524,2024-08-17 18:56:11,2024-08-17 18:58:36,,00:01:35.3911935,,,,,,,,,,
525,2024-08-17 18:58:36,2024-08-17 19:01:25,,00:01:33.6241899,,,,,,,,,,
526,2024-08-17 19:01:25,2024-08-17 19:01:54,,,,,,,,,,,,
527,2024-08-17 19:02:58,2024-08-17 19:13:16,,00:01:34.8667087,00:02:57.9254945,00:01:16.7168101,00:01:54.9598173,,,,,,,
528,2024-08-18 09:35:05,2024-08-18 09:35:13,,,,,,,,,,,,
529,2024-08-18 09:35:13,2024-08-18 09:37:59,,00:01:34.8688074,,,,,,,,,,
530,2024-08-18 09:37:59,2024-08-18 09:40:48,,00:01:34.8444751,,,,,,,,,,
531,2024-08-18 09:40:48,2024-08-18 09:43:35,,00:01:34.1504719,,,,,,,,,,
532,2024-08-18 09:43:35,2024-08-18 09:48:50,,00:01:33.8267748,00:03:02.8642976,,,,,,,,,
533,2024-08-18 09:48:50,2024-08-18 09:49:51,,,,,,,,,,,,
534,2024-08-18 09:49:51,2024-08-18 09:53:05,,00:01:34.1134967,,,,,,,,,,
535,2024-08-18 09:53:05,2024-08-18 09:55:25,,00:01:35.0948458,,,,,,,,,,
536,2024-08-18 09:55:25,2024-08-18 09:58:08,,00:01:33.9752803,,,,,,,,,,
537,2024-08-18 09:58:08,2024-08-18 10:00:58,,00:01:33.9470123,,,,,,,,,,
538,2024-08-18 10:00:58,2024-08-18 10:02:27,,,,,,,,,,,,
539,2024-08-18 10:02:27,2024-08-18 10:03:29,,,,,,,,,,,,
540,2024-08-18 10:03:29,2024-08-18 10:03:37,,,,,,,,,,,,
541,2024-08-18 10:03:37,2024-08-18 10:06:06,,00:01:34.7768828,,,,,,,,,,
542,2024-08-18 10:06:06,2024-08-18 10:15:24,,,,,,,,,,,,
543,2024-08-18 10:15:24,2024-08-18 10:16:34,,,,,,,,,,,,
544,2024-08-18 10:16:34,2024-08-18 10:25:09,,00:01:34.7653006,00:02:59.5927820,00:01:18.0576018,00:01:51.1231859,,,,,,,
545,2024-08-18 10:25:09,2024-08-18 10:26:10,,,,,,,,,,,,
546,2024-08-18 10:26:10,2024-08-18 10:29:00,,00:01:35.7372488,,,,,,,,,,
547,2024-08-18 10:29:00,2024-08-18 10:31:24,,00:01:36.3345807,,,,,,,,,,
548,2024-08-18 10:31:24,2024-08-18 10:31:31,,,,,,,,,,,,
549,2024-08-18 10:31:31,2024-08-18 10:31:40,,,,,,,,,,,,
