id,started,ended,realTime,bob,wf,ccm,dw,ssl,lll,hmc,ddd,fs,bljs,bits
312,2018-10-24 01:50:52,2018-10-24 01:52:46,,,,,,,,,,,,
313,2018-10-24 01:52:48,2018-10-24 02:13:50,,,,,,,,00:02:04.1050000,00:02:03.9660000,00:02:18.5210000,00:02:08.8510000,
314,2018-10-24 02:13:56,2018-10-24 02:15:50,,,,,,,,,,,,
315,2018-10-24 02:15:51,2018-10-24 02:19:21,,,,,,,,,,,,
316,2018-10-24 02:19:22,2018-10-24 02:23:31,,,,,,,,,,,,
317,2018-10-24 02:23:32,2018-10-24 02:29:41,,,,,,,,,,,,
318,2018-10-24 02:36:02,2018-10-24 02:38:52,,,,,,,,,,,,
319,2018-10-24 02:38:53,2018-10-24 02:41:08,,,,,,,,,,,,
320,2018-10-24 02:41:10,2018-10-24 03:04:39,,,,,,,,00:02:15.7980000,00:02:06.8600000,,,
321,2018-10-24 21:15:24,2018-10-24 21:21:13,,,,,,,,,,,,
322,2018-10-24 21:21:16,2018-10-24 21:23:24,,,,,,,,,,,,
323,2018-10-24 21:23:26,2018-10-24 21:29:29,,,,,,,,,,,,
324,2018-10-24 21:29:31,2018-10-24 21:35:07,,,,,,,,,,,,
325,2018-10-24 21:35:08,2018-10-24 21:40:30,,,,,,,,,,,,
326,2018-10-24 21:40:32,2018-10-24 21:50:59,,,,,,,,,,,,
327,2018-10-24 21:51:00,2018-10-24 21:54:30,,,,,,,,,,,,
328,2018-10-24 21:54:31,2018-10-24 21:55:41,,,,,,,,,,,,
329,2018-10-24 21:55:41,2018-10-24 22:28:51,,,,,,,,,,,,
330,2018-10-24 22:28:54,2018-10-24 22:32:21,,,,,,,,,,,,
331,2018-10-24 22:32:24,2018-10-24 22:46:54,,,,,,,,00:02:13.4430000,,,,
332,2018-10-24 22:46:56,2018-10-24 23:12:09,,,,,,,,00:02:24.3630000,00:02:24.8620000,00:02:07.7640000,00:06:12.1200000,
333,2018-10-24 23:16:33,2018-10-24 23:25:44,,,,,,,,,,,,
334,2018-10-24 23:25:47,2018-10-24 23:48:11,00:22:24.0380000,,,,,,,00:02:06.3910000,00:02:23.0670000,00:01:52.2770000,00:01:22.9270000,00:03:00.0550000
335,2018-10-24 23:48:44,2018-10-24 23:49:05,,,,,,,,,,,,
336,2018-10-24 23:49:08,2018-10-24 23:51:15,,,,,,,,,,,,
337,2018-10-24 23:51:17,2018-10-25 00:17:13,,,,,,,,00:02:01.6330000,00:02:22.3840000,00:02:12.1790000,00:01:32.5470000,
338,2018-10-25 20:17:16,2018-10-25 20:34:34,,,,,,,,00:02:04.1600000,00:02:13.9890000,,,
339,2018-10-25 20:34:36,2018-10-25 20:36:36,,,,,,,,,,,,
340,2018-10-25 20:54:39,2018-10-25 20:54:43,,,,,,,,,,,,
341,2018-10-25 20:57:33,2018-10-25 21:17:55,,,,,,,,00:02:01.9300000,00:02:09.4520000,00:01:55.3770000,00:01:32.0730000,
342,2018-10-25 21:18:09,2018-10-25 21:25:29,,,,,,,,,,,,
343,2018-10-25 21:27:00,2018-10-25 21:30:44,,,,,,,,,,,,
344,2018-10-25 21:30:45,2018-10-25 21:46:48,,,,,,,,00:02:04.2270000,,,,
345,2018-10-25 22:00:54,2018-10-25 22:01:02,,,,,,,,,,,,
346,2018-10-25 22:01:08,2018-10-25 22:01:23,,,,,,,,,,,,
347,2018-10-25 22:01:25,2018-10-25 22:01:38,,,,,,,,,,,,
348,2018-10-25 22:02:30,2018-10-25 22:02:31,,,,,,,,,,,,
349,2018-10-25 22:02:38,2018-10-25 22:02:57,,,,,,,,,,,,
350,2018-10-25 22:03:01,2018-10-25 22:03:18,,,,,,,,,,,,
351,2018-10-25 22:05:13,2018-10-25 22:05:24,,,,,,,,,,,,
352,2018-10-25 22:05:31,2018-10-25 22:05:41,,,,,,,,,,,,
353,2018-10-25 22:05:47,2018-10-25 22:06:07,,,,,,,,,,,,
354,2018-10-25 22:06:11,2018-10-25 22:06:32,,,,,,,,,,,,
355,2018-10-25 22:06:35,2018-10-25 22:06:46,,,,,,,,,,,,
356,2018-10-25 22:07:53,2018-10-25 22:08:12,,,,,,,,,,,,
357,2018-10-25 22:08:36,2018-10-25 22:08:51,,,,,,,,,,,,
358,2018-10-26 17:03:21,2018-10-26 17:03:22,,,,,,,,,,,,
359,2018-10-26 17:03:35,2018-10-26 17:05:41,,,,,,,,,,,,
360,2018-10-26 17:06:59,2018-10-26 17:08:55,,,,,,,,,,,,
361,2018-10-26 17:08:57,2018-10-26 17:12:31,,,,,,,,,,,,
362,2018-10-26 17:12:33,2018-10-26 17:18:20,,,,,,,,,,,,
363,2018-10-26 17:18:22,2018-10-26 17:27:30,,,,,,,,,,,,
364,2018-10-26 17:27:32,2018-10-26 17:40:15,,,,,,,,,,,,
365,2018-10-26 17:44:41,2018-10-26 17:52:11,,,,,,,,,,,,
366,2018-10-26 17:52:14,2018-10-26 17:55:41,,,,,,,,,,,,
367,2018-10-26 17:55:42,2018-10-26 18:45:10,,,,,,,,,,,,
368,2018-10-26 19:06:22,2018-10-26 19:15:05,,,,,,,,,,,,
369,2018-10-26 19:15:06,2018-10-26 19:29:26,,,,,,,,,,,,
370,2018-10-26 19:29:28,2018-10-26 19:41:02,,,,,,,,,,,,
371,2018-10-26 19:52:25,2018-10-26 19:59:13,,,,,,,,,,,,
372,2018-10-26 20:21:41,2018-10-26 20:23:43,,,,,,,,,,,,
373,2018-10-26 20:23:44,2018-10-26 20:25:33,,,,,,,,,,,,
374,2018-10-26 20:25:35,2018-10-26 20:28:50,,,,,,,,,,,,
375,2018-10-26 20:28:51,2018-10-26 20:42:09,,,,,,,,,,,,
376,2018-10-31 00:27:52,2018-10-31 00:36:40,,,,,,,,,,,,
377,2018-10-31 00:36:42,2018-10-31 00:39:45,,,,,,,,,,,,
378,2018-10-31 00:40:34,2018-10-31 00:44:08,,,,,,,,,,,,
379,2018-10-31 00:44:10,2018-11-01 01:02:19,,,,,,,,,,,,
380,2018-11-01 01:02:23,2018-11-01 01:10:54,,,,,,,,,,,,
381,2018-11-01 01:10:55,2018-11-01 01:13:19,,,,,,,,,,,,
382,2018-11-01 01:13:20,2018-11-01 01:35:05,,,,,,,,00:02:07.2960000,00:01:57.7960000,00:02:04.1450000,00:01:45.1280000,
383,2018-11-01 01:35:07,2018-11-01 01:42:08,,,,,,,,,,,,
384,2018-11-01 01:42:09,2018-11-01 01:45:51,,,,,,,,,,,,
385,2018-11-01 01:45:52,2018-11-01 01:55:18,,,,,,,,,,,,
386,2018-11-01 01:55:19,2018-11-01 02:21:33,00:26:14.4240000,,,,,,,00:02:42.0690000,00:02:37.3260000,00:04:48.6630000,00:01:39.4350000,00:02:40.2120000
387,2018-11-03 03:06:03,2018-11-03 03:11:01,,,,,,,,,,,,
388,2018-11-03 03:12:45,2018-11-03 03:15:18,,,,,,,,,,,,
389,2018-11-03 03:15:19,2018-11-03 03:18:10,,,,,,,,,,,,
390,2018-11-03 03:18:12,2018-11-03 03:39:20,00:21:07.9290000,,,,,,,00:02:01.2900000,00:01:56.0330000,00:02:03.2870000,00:01:07.7050000,00:02:18.2000000
391,2018-11-04 01:42:04,2018-11-04 01:48:11,,,,,,,,,,,,
392,2018-11-04 01:48:12,2018-11-04 02:01:20,,,,,,,,,,,,
393,2018-11-04 02:01:30,2018-11-04 02:09:24,,,,,,,,,,,,
394,2018-11-04 02:09:25,2018-11-04 02:11:16,,,,,,,,,,,,
395,2018-11-04 02:11:17,2018-11-04 02:16:10,,,,,,,,,,,,
396,2018-11-04 02:16:12,2018-11-04 02:17:19,,,,,,,,,,,,
397,2018-11-04 02:17:20,2018-11-04 02:25:15,,,,,,,,,,,,
398,2018-11-04 02:25:16,2018-11-04 02:37:55,,,,,,,,,,,,
399,2018-11-08 02:12:40,2018-11-08 02:15:43,,,,,,,,,,,,
400,2018-11-08 02:28:53,2018-11-08 02:30:04,,,,,,,,,,,,
401,2018-11-08 02:30:06,2018-11-08 02:57:49,,,,,,,,00:02:06.3600000,00:02:34.8460000,00:03:13.9390000,00:01:53.9900000,
402,2018-11-09 01:18:10,2018-11-09 01:20:40,,,,,,,,,,,,
403,2018-11-09 01:20:42,2018-11-09 01:28:26,,,,,,,,,,,,
404,2018-11-09 01:28:27,2018-11-09 01:30:31,,,,,,,,,,,,
405,2018-11-09 01:30:32,2018-11-09 01:39:58,,,,,,,,,,,,
406,2018-11-09 01:39:59,2018-11-09 01:47:21,,,,,,,,,,,,
407,2018-11-09 01:48:14,2018-11-09 01:48:17,,,,,,,,,,,,
408,2018-11-09 01:49:02,2018-11-09 01:49:36,,,,,,,,,,,,
409,2018-11-09 01:49:48,2018-11-09 01:50:32,,,,,,,,,,,,
410,2018-11-09 01:50:35,2018-11-09 01:50:46,,,,,,,,,,,,
411,2018-11-09 01:51:15,2018-11-09 01:51:28,,,,,,,,,,,,
412,2018-11-09 01:52:01,2018-11-09 01:52:16,,,,,,,,,,,,
413,2018-11-09 01:52:46,2018-11-09 01:52:58,,,,,,,,,,,,
414,2018-11-09 01:57:57,2018-11-09 01:58:09,,,,,,,,,,,,
415,2018-11-09 01:58:37,2018-11-09 01:58:55,,,,,,,,,,,,
416,2018-11-09 01:59:27,2018-11-09 02:00:04,,,,,,,,,,,,
417,2018-11-09 02:01:03,2018-11-09 02:01:27,,,,,,,,,,,,
418,2018-11-09 02:02:35,2018-11-09 02:02:55,,,,,,,,,,,,
419,2018-11-09 02:03:47,2018-11-09 02:04:04,,,,,,,,,,,,
420,2018-11-09 02:04:11,2018-11-09 02:04:29,,,,,,,,,,,,
421,2018-11-09 02:04:34,2018-11-09 02:04:35,,,,,,,,,,,,
422,2018-11-09 02:04:38,2018-11-09 02:05:11,,,,,,,,,,,,
423,2018-11-09 02:05:13,2018-11-09 02:05:57,,,,,,,,,,,,
424,2018-11-09 02:06:10,2018-11-09 02:06:29,,,,,,,,,,,,
425,2018-11-09 02:07:00,2018-11-09 02:07:40,,,,,,,,,,,,
426,2018-11-09 02:08:13,2018-11-09 02:08:25,,,,,,,,,,,,
427,2018-11-09 02:08:31,2018-11-09 02:09:19,,,,,,,,,,,,
428,2018-11-09 02:10:32,2018-11-09 02:13:03,,,,,,,,,,,,
429,2018-11-09 02:14:08,2018-11-09 02:14:51,,,,,,,,,,,,
430,2018-11-09 02:14:52,2018-11-09 02:14:56,,,,,,,,,,,,
431,2018-11-09 02:15:13,2018-11-09 02:15:18,,,,,,,,,,,,
432,2018-11-09 02:16:13,2018-11-09 02:16:23,,,,,,,,,,,,
433,2018-11-09 02:16:43,2018-11-09 02:16:51,,,,,,,,,,,,
434,2018-11-09 02:16:54,2018-11-09 02:18:54,,,,,,,,,,,,
435,2018-11-09 02:18:55,2018-11-09 02:20:04,,,,,,,,,,,,
436,2018-11-09 02:20:06,2018-11-09 02:26:11,,,,,,,,,,,,
437,2018-11-09 02:26:14,2018-11-09 02:47:24,,,,,,,,00:02:25.4550000,00:02:10.8840000,00:02:31.9440000,00:01:15.0980000,
438,2018-11-09 02:47:26,2018-11-09 02:49:29,,,,,,,,,,,,
439,2018-11-09 02:49:30,2018-11-09 03:13:24,00:23:53.5900000,,,,,,,00:02:01.6930000,00:02:36.8210000,00:02:32.2400000,00:00:56.9560000,00:04:30.4560000
440,2018-11-09 03:13:30,2018-11-09 03:34:41,00:21:10.4510000,,,,,,,00:01:59.0910000,00:02:00.7900000,00:01:59.8400000,00:01:00.7660000,00:03:12.0630000
441,2018-11-12 23:07:24,2018-11-12 23:28:31,,,,,,,,00:02:05.3220000,00:02:26.3440000,00:02:05.9240000,00:01:09.0610000,
442,2018-11-12 23:30:02,2018-11-12 23:30:07,,,,,,,,,,,,
443,2018-11-12 23:33:53,2018-11-13 00:18:50,,,,,,,,,,,,
444,2018-11-13 00:26:54,2018-11-13 00:31:44,,,,,,,,,,,,
445,2018-11-13 00:31:45,2018-11-13 00:33:37,,,,,,,,,,,,
446,2018-11-13 00:33:38,2018-11-13 01:32:56,,,,,,,,,,,,
447,2018-11-13 01:32:58,2018-11-13 01:36:37,,,,,,,,,,,,
448,2018-11-13 01:36:38,2018-11-13 01:57:19,,,,,,,,00:02:14.0020000,00:02:36.9390000,00:02:04.8470000,00:01:48.6310000,
449,2018-11-13 01:57:21,2018-11-13 02:18:57,00:21:36.1290000,,,,,,,00:02:03.1100000,00:02:18.9080000,00:01:47.5620000,00:01:32.5390000,00:02:29.3260000
450,2018-11-14 01:19:27,2018-11-14 01:28:11,,,,,,,,,,,,
451,2018-11-14 01:28:15,2018-11-14 01:32:31,,,,,,,,,,,,
452,2018-11-14 01:32:32,2018-11-14 01:40:45,,,,,,,,,,,,
453,2018-11-14 01:40:46,2018-11-14 01:47:26,,,,,,,,,,,,
454,2018-11-14 01:47:27,2018-11-14 01:50:48,,,,,,,,,,,,
455,2018-11-14 01:50:49,2018-11-14 01:54:40,,,,,,,,,,,,
456,2018-11-14 01:54:45,2018-11-14 02:14:22,,,,,,,,00:02:06.5170000,00:01:53.1700000,00:02:29.8690000,00:01:02.4700000,
457,2018-11-14 02:14:24,2018-11-14 02:16:07,,,,,,,,,,,,
458,2018-11-14 02:16:08,2018-11-14 02:30:02,,,,,,,,00:02:06.0790000,,,,
459,2018-11-14 02:30:04,2018-11-14 02:30:17,,,,,,,,,,,,
460,2018-11-14 02:30:52,2018-11-14 02:34:48,,,,,,,,,,,,
461,2018-11-14 02:34:50,2018-11-14 02:39:15,,,,,,,,,,,,
462,2018-11-14 02:39:17,2018-11-14 02:41:18,,,,,,,,,,,,
463,2018-11-14 02:41:19,2018-11-14 02:46:06,,,,,,,,,,,,
464,2018-11-14 02:46:07,2018-11-14 02:53:53,,,,,,,,,,,,
465,2018-11-15 00:08:41,2018-11-15 00:33:23,,,,,,,,00:02:17.8330000,00:02:35.5950000,00:01:55.8620000,00:02:12.4520000,
466,2018-11-15 00:33:25,2018-11-15 00:46:11,,,,,,,,,,,,
467,2018-11-15 00:46:13,2018-11-15 00:49:35,,,,,,,,,,,,
468,2018-11-15 00:49:38,2018-11-15 01:10:45,00:21:06.6740000,,,,,,,00:02:03.9100000,00:02:04.8940000,00:02:29.1520000,00:01:01.2760000,00:02:22.4310000
469,2018-11-15 01:12:32,2018-11-15 01:15:37,,,,,,,,,,,,
470,2018-11-15 01:15:38,2018-11-17 01:48:22,,,,,,,,,,,,
471,2018-11-17 01:49:04,2018-11-17 01:49:06,,,,,,,,,,,,
472,2019-05-17 21:27:38,2019-05-17 21:27:59,,,,,,,,,,,,
473,2019-05-17 21:33:32,2019-05-17 21:40:04,,,,,,,,,,,,
474,2019-05-18 01:16:35,2019-05-18 01:25:50,,,,,,,,,,,,
475,2019-05-18 02:13:34,2019-05-18 02:16:14,,,,,,,,,,,,
476,2019-05-18 02:16:15,2019-05-18 02:18:06,,,,,,,,,,,,
477,2019-05-18 02:18:08,2019-05-18 02:20:53,,,,,,,,,,,,
478,2019-05-18 19:37:05,2019-05-18 19:49:52,,00:01:46.4080000,00:04:14.1410000,00:01:30.2150000,00:03:00,00:02:09.5730000,00:01:10,,,,,
479,2019-05-18 19:49:54,2019-05-18 20:08:36,,00:02:26.5990000,00:03:48.8700000,00:01:36.2970000,00:03:00,00:02:11.8510000,00:01:10,00:02:03.5360000,00:03:29.8840000,,,
480,2019-05-18 20:08:39,2019-05-18 20:12:23,,00:02:05.2670000,,,,,,,,,,
481,2019-05-18 20:12:25,2019-05-18 20:35:48,00:23:23.5390000,00:02:06,00:03:33.5470000,00:01:25.9010000,00:03:00,00:01:35.9700000,00:01:10,00:01:58.3430000,00:02:32.6120000,00:01:49.9660000,00:03:02.8440000,00:02:45.7860000
482,2019-05-18 20:36:00,2019-05-18 20:56:49,,00:02:05.5340000,00:04:03.3450000,00:01:32.5240000,00:03:00,00:01:30.1050000,00:01:10,00:02:30.9300000,00:02:25.3770000,00:02:02.9220000,00:01:03.9660000,
483,2019-05-18 21:14:54,2019-05-18 21:23:41,,00:01:41.8310000,00:04:08.4840000,00:01:32.6320000,,,,,,,,
484,2019-05-18 21:23:43,2019-05-18 21:45:28,,00:02:04.2870000,00:03:36.7920000,00:01:29.1070000,00:03:00,00:02:07.2000000,00:01:10,00:02:10.1360000,00:01:55.3590000,00:01:46.3020000,00:01:51.0680000,
485,2019-05-18 21:45:31,2019-05-18 21:47:43,,,,,,,,,,,,
486,2019-05-18 21:47:44,2019-05-18 22:09:07,00:21:22.5860000,00:02:16.1410000,00:04:22.9720000,00:01:31.3010000,00:03:00,00:01:30.8790000,00:01:10,00:02:00.6700000,00:01:51.5370000,00:01:56.0170000,00:01:29.1070000,00:02:03.5820000
487,2019-05-18 22:13:16,2019-05-18 22:13:56,,,,,,,,,,,,
488,2019-05-18 22:14:34,2019-05-18 22:18:10,,,,,,,,,,,,
489,2019-05-19 00:17:01,2019-05-19 00:37:13,,00:01:43.0520000,00:04:03.7910000,00:01:46.8010000,00:03:00,00:01:49.9450000,00:01:10,00:01:58.7820000,00:02:08.3500000,00:02:14.0390000,00:01:15.6130000,
490,2019-05-19 00:37:17,2019-05-19 00:41:05,,00:01:42.6960000,,,,,,,,,,
491,2019-05-19 18:39:54,2019-05-19 19:00:20,,00:01:43.2410000,00:03:43.7820000,00:01:27.9380000,00:03:00,00:01:37.3930000,00:01:10,00:02:30.9450000,00:01:46.3150000,00:03:22.9090000,00:01:44.2710000,
492,2019-05-19 19:00:24,2019-05-19 19:15:03,,00:01:45.4130000,00:03:38.6970000,00:01:29.7630000,00:03:00,00:01:27.9060000,00:01:10,00:02:08.9340000,,,,
493,2019-05-19 19:15:05,2019-05-19 19:19:39,,00:02:15.4670000,,,,,,,,,,
494,2019-05-19 19:19:40,2019-05-19 19:21:35,,,,,,,,,,,,
495,2019-05-19 19:21:36,2019-05-19 19:26:45,,00:01:44.8440000,,,,,,,,,,
496,2019-05-19 19:26:46,2019-05-19 19:37:45,,00:02:02.6360000,00:03:41.4740000,00:01:46.1740000,00:03:00,,,,,,,
497,2019-05-19 19:37:47,2019-05-19 19:38:55,,,,,,,,,,,,
498,2019-05-19 19:38:56,2019-05-19 19:42:19,,00:01:52.2910000,,,,,,,,,,
499,2019-05-19 19:42:20,2019-05-19 20:03:24,00:21:03.2640000,00:02:07.6600000,00:03:43.2300000,00:01:24.4030000,00:03:00,00:01:30.4240000,00:01:10,00:02:11.3260000,00:01:58.0290000,00:01:57.6560000,00:00:56.8800000,00:02:50.5830000
500,2019-05-19 20:04:09,2019-05-19 20:04:36,,,,,,,,,,,,
501,2019-05-19 21:28:44,2019-05-19 21:33:39,,00:01:50.5730000,,,,,,,,,,
502,2019-05-19 21:33:46,2019-05-19 21:35:30,,,,,,,,,,,,
503,2019-05-19 21:35:39,2019-05-19 21:40:42,,00:01:48.3830000,,,,,,,,,,
504,2019-05-19 21:40:43,2019-05-19 21:59:50,,00:01:52.7330000,00:03:50.8570000,00:01:32.5550000,00:03:00,00:01:32.6180000,00:01:10,00:02:23.6560000,00:01:52.9670000,00:02:01.9040000,,
505,2019-05-19 21:59:52,2019-05-19 22:19:51,,00:02:07.0470000,00:03:34.9300000,00:01:24.9030000,00:03:00,00:01:28.4750000,00:01:10,00:02:09.9010000,00:02:02.7410000,00:01:57.1560000,00:01:06.4100000,
506,2019-05-19 22:19:58,2019-05-19 22:24:00,,00:01:53.3380000,,,,,,,,,,
507,2019-05-19 22:24:01,2019-05-19 22:43:14,,00:01:53.3530000,00:03:53.0650000,00:01:25.0820000,00:03:00,00:01:28.7820000,00:01:10,00:02:03.6230000,00:01:48.1150000,00:01:45.9090000,00:00:58.8120000,
508,2019-05-20 01:34:03,2019-05-20 01:42:04,,00:01:50.7600000,00:03:42.1280000,00:01:25.0410000,,,,,,,,
509,2019-05-20 01:42:05,2019-05-20 01:48:23,,00:02:01.5050000,,,,,,,,,,
510,2019-05-20 01:48:25,2019-05-20 02:10:18,,00:01:53.9590000,00:03:45.0930000,00:01:27.6720000,00:03:00,00:01:28.4680000,00:01:10,00:02:44.3310000,00:01:52.0550000,00:02:02.8180000,00:02:22.8500000,
511,2019-05-20 02:10:21,2019-05-20 02:12:33,,,,,,,,,,,,
512,2019-05-20 02:12:34,2019-05-20 02:31:30,,00:01:59.5410000,00:03:37.4640000,00:01:32.2690000,00:03:00,00:01:28.3280000,00:01:10,00:02:04.2530000,00:02:03.0060000,00:01:48.6190000,00:01:14.1350000,
513,2019-05-20 02:31:33,2019-05-20 02:34:30,,00:01:43.0070000,,,,,,,,,,
514,2019-05-20 02:34:32,2019-05-20 02:55:18,00:20:46.3910000,00:01:55.5910000,00:03:28.9940000,00:01:26.7410000,00:03:00,00:01:33.5040000,00:01:10,00:02:04.8940000,00:01:57.2340000,00:01:46.9070000,00:01:05.5360000,00:03:13.9400000
515,2019-05-20 02:55:49,2019-05-20 02:56:08,,,,,,,,,,,,
516,2019-05-20 02:56:16,2019-05-20 03:08:58,,00:01:51.8720000,00:03:52.3620000,00:01:26.1900000,00:03:00,00:01:29.7310000,00:01:10,,,,,
517,2019-05-22 19:51:13,2019-05-22 19:51:31,,,,,,,,,,,,
518,2019-05-22 19:51:36,2019-05-22 19:58:03,,00:01:59.5240000,00:03:56.6840000,,,,,,,,,
519,2019-05-22 19:58:04,2019-05-22 20:02:24,,00:01:54.0820000,,,,,,,,,,
520,2019-05-22 20:02:26,2019-05-22 20:04:19,,,,,,,,,,,,
521,2019-05-22 20:04:20,2019-05-22 20:20:53,,00:02:08.2780000,00:03:21.5520000,00:01:27.2350000,00:03:00,00:01:29.9590000,00:01:10,00:02:03.1940000,00:02:06.8200000,,,
522,2019-05-22 20:20:54,2019-05-22 20:23:36,,00:01:55.4490000,,,,,,,,,,
523,2019-05-22 20:23:37,2019-05-22 20:25:17,,,,,,,,,,,,
524,2019-05-22 20:25:19,2019-05-22 20:27:17,,,,,,,,,,,,
525,2019-05-22 20:27:18,2019-05-22 20:29:18,,,,,,,,,,,,
526,2019-05-22 20:29:23,2019-05-22 20:33:42,,00:02:02.7400000,,,,,,,,,,
527,2019-05-22 20:33:43,2019-05-22 20:37:40,,00:02:03.2040000,,,,,,,,,,
528,2019-05-22 20:37:44,2019-05-22 20:57:18,,00:01:43.8010000,00:03:26.8420000,00:01:25.1280000,00:03:00,00:02:11.4220000,00:01:10,00:02:01.5320000,00:02:11.5780000,00:01:58.7320000,00:00:57.2250000,
529,2019-05-22 20:57:20,2019-05-22 20:59:11,,,,,,,,,,,,
530,2019-05-22 20:59:12,2019-05-22 20:59:24,,,,,,,,,,,,
531,2019-05-22 20:59:26,2019-05-22 21:04:05,,00:01:51.5900000,,,,,,,,,,
532,2019-05-22 21:04:06,2019-05-22 21:07:34,,00:01:44.1010000,,,,,,,,,,
533,2019-05-22 21:07:35,2019-05-22 21:10:29,,00:01:52.7520000,,,,,,,,,,
534,2019-05-22 21:49:06,2019-05-22 21:49:45,,,,,,,,,,,,
535,2019-06-02 23:25:17,2019-06-02 23:28:02,,00:01:51.6550000,,,,,,,,,,
536,2019-06-02 23:28:04,2019-06-02 23:35:27,,00:02:05.8510000,00:03:52.4240000,,,,,,,,,
537,2019-06-02 23:35:29,2019-06-02 23:37:33,,,,,,,,,,,,
538,2019-06-02 23:37:35,2019-06-02 23:51:53,,00:01:52.8180000,00:03:38.9740000,00:01:24.1530000,00:03:00,00:01:38.3580000,00:01:10,00:02:37.4200000,,,,
539,2019-06-02 23:52:01,2019-06-02 23:53:14,,,,,,,,,,,,
540,2019-06-03 23:16:25,2019-06-03 23:18:21,,,,,,,,,,,,
541,2019-06-03 23:18:22,2019-06-03 23:20:03,,,,,,,,,,,,
542,2019-06-03 23:20:05,2019-06-03 23:21:15,,,,,,,,,,,,
543,2019-06-03 23:21:16,2019-06-03 23:26:40,,00:02:02.0140000,00:03:19.5850000,,,,,,,,,
544,2019-06-03 23:26:42,2019-06-03 23:28:35,,,,,,,,,,,,
545,2019-06-03 23:28:37,2019-06-03 23:29:53,,,,,,,,,,,,
546,2019-06-03 23:29:55,2019-06-03 23:33:06,,00:01:43.7180000,,,,,,,,,,
547,2019-06-03 23:33:08,2019-06-03 23:45:45,,00:01:41.2390000,00:03:54.6240000,00:01:28.4840000,00:03:00,00:01:32.6950000,00:01:10,,,,,
548,2019-06-03 23:45:47,2019-06-03 23:58:53,,00:01:42.3450000,00:03:42.9550000,00:01:27.3760000,00:03:00,00:01:26.1590000,00:01:10,00:02:14.6120000,,,,
549,2019-06-03 23:58:55,2019-06-04 00:00:36,,,,,,,,,,,,
550,2019-06-04 00:00:38,2019-06-04 00:02:17,,,,,,,,,,,,
551,2019-06-04 00:02:19,2019-06-04 00:03:41,,,,,,,,,,,,
552,2019-06-04 00:03:43,2019-06-04 00:05:06,,,,,,,,,,,,
553,2019-06-04 00:05:07,2019-06-04 00:06:58,,,,,,,,,,,,
554,2019-06-04 00:06:59,2019-06-04 00:08:24,,,,,,,,,,,,
555,2019-06-04 00:08:25,2019-06-04 00:11:45,,,,,,,,,,,,
556,2019-06-04 01:31:25,2019-06-04 01:36:42,,00:01:49.9590000,,,,,,,,,,
557,2019-06-04 01:36:43,2019-06-04 01:40:17,,00:01:54.6490000,,,,,,,,,,
558,2019-06-04 01:40:20,2019-06-04 01:43:11,,00:02:02.5510000,,,,,,,,,,
559,2019-06-04 01:43:12,2019-06-04 01:45:05,,,,,,,,,,,,
560,2019-06-04 01:45:07,2019-06-04 01:46:58,,,,,,,,,,,,
561,2019-06-04 01:47:02,2019-06-04 01:52:08,,00:01:46.2620000,,,,,,,,,,
562,2019-06-04 01:52:09,2019-06-04 01:54:11,,,,,,,,,,,,
563,2019-06-04 01:54:13,2019-06-04 01:55:56,,,,,,,,,,,,
564,2019-06-04 01:56:00,2019-06-04 02:04:14,,00:01:51.1480000,00:03:47.6670000,00:01:29.2960000,,,,,,,,
565,2019-06-04 02:04:15,2019-06-04 02:31:57,,00:01:42.4960000,00:03:51.4260000,00:01:26.0030000,00:03:00,00:01:26.7840000,00:01:10,,,,,
566,2019-06-05 00:37:24,2019-06-05 00:37:32,,,,,,,,,,,,
567,2019-06-05 00:37:34,2019-06-05 00:39:33,,,,,,,,,,,,
568,2019-06-05 00:41:44,2019-06-05 00:41:53,,,,,,,,,,,,
569,2019-06-05 00:41:54,2019-06-05 00:42:00,,,,,,,,,,,,
570,2019-06-05 00:42:01,2019-06-05 00:42:02,,,,,,,,,,,,
571,2019-06-05 00:42:23,2019-06-05 00:43:35,,,,,,,,,,,,
572,2019-06-05 00:43:38,2019-06-05 00:45:29,,,,,,,,,,,,
573,2019-06-05 00:45:32,2019-06-05 00:47:29,,,,,,,,,,,,
574,2019-06-05 00:47:32,2019-06-05 00:49:27,,,,,,,,,,,,
575,2019-06-05 00:54:01,2019-06-05 00:57:30,,00:02:02.3350000,,,,,,,,,,
576,2019-06-05 00:57:31,2019-06-05 00:57:35,,,,,,,,,,,,
577,2019-06-05 00:57:55,2019-06-05 00:57:56,,,,,,,,,,,,
578,2019-06-05 00:58:16,2019-06-05 01:00:07,,,,,,,,,,,,
579,2019-06-05 01:00:08,2019-06-05 01:00:09,,,,,,,,,,,,
580,2019-06-05 01:00:12,2019-06-05 01:21:04,,00:01:42.9510000,00:03:24.6560000,00:01:28.6870000,00:03:00,00:01:31.1350000,00:01:10,00:02:14.6440000,00:01:47.0310000,00:01:46.0340000,00:01:40.0740000,
581,2019-06-05 01:21:23,2019-06-05 01:21:24,,,,,,,,,,,,
582,2019-06-05 01:21:27,2019-06-05 01:23:14,,,,,,,,,,,,
583,2019-06-05 01:23:15,2019-06-05 01:23:25,,,,,,,,,,,,
584,2019-06-05 01:23:40,2019-06-05 01:31:35,,00:01:41.0510000,00:04:05.2790000,00:01:25.6160000,,,,,,,,
