id,started,ended,realTime,bob,wf,ccm,dw,ssl,lll,hmc,ddd,fs,bljs,bits
68,2018-07-22 03:05:45,2018-07-22 03:07:45,,,,,,,,,,,,
69,2018-07-22 03:07:46,2018-07-22 03:09:49,,,,,,,,,,,,
70,2018-07-22 03:09:51,2018-07-22 03:11:50,,,,,,,,,,,,
71,2018-07-22 03:11:52,2018-07-22 03:13:44,,,,,,,,,,,,
72,2018-07-22 03:13:47,2018-07-22 03:15:35,,,,,,,,,,,,
73,2018-07-22 03:15:36,2018-07-22 03:17:45,,,,,,,,,,,,
74,2018-07-22 03:17:46,2018-07-22 03:18:55,,,,,,,,,,,,
75,2018-07-22 03:18:57,2018-07-22 03:26:07,,,,,,,,,,,,
76,2018-07-22 03:26:09,2018-07-22 03:28:19,,,,,,,,,,,,
77,2018-07-22 03:28:20,2018-07-22 03:30:28,,,,,,,,,,,,
78,2018-07-22 03:30:30,2018-07-22 03:32:31,,,,,,,,,,,,
79,2018-07-22 03:32:32,2018-07-22 03:35:01,,,,,,,,,,,,
80,2018-07-22 03:35:03,2018-07-22 03:43:06,,,,,,,,,,,,
81,2018-07-22 03:43:07,2018-07-22 03:44:14,,,,,,,,,,,,
82,2018-07-22 03:44:19,2018-07-22 03:46:18,,,,,,,,,,,,
83,2018-07-22 03:46:19,2018-07-22 03:48:21,,,,,,,,,,,,
84,2018-07-22 03:48:22,2018-07-22 03:53:24,,,,,,,,,,,,
85,2018-07-22 03:53:26,2018-07-22 04:08:01,,,,,,,,,,,,
86,2018-07-22 04:08:03,2018-07-22 04:08:21,,,,,,,,,,,,
87,2018-07-22 04:08:39,2018-07-22 04:40:05,00:31:25.3490000,,,,,,,00:02:48.1440000,00:03:21.1510000,00:04:24.0520000,00:01:21.8320000,00:06:29.4990000
88,2018-07-22 19:24:26,2018-07-22 19:28:21,,,,,,,,,,,,
89,2018-07-22 19:28:23,2018-07-22 19:30:31,,,,,,,,,,,,
90,2018-07-22 19:30:33,2018-07-22 19:31:11,,,,,,,,,,,,
91,2018-07-23 02:28:14,2018-07-23 02:30:33,,,,,,,,,,,,
92,2018-07-23 02:30:34,2018-07-23 02:33:37,,,,,,,,,,,,
93,2018-07-23 02:33:39,2018-07-23 03:03:54,00:30:14.8000000,,,,,,,00:02:27.3730000,00:03:03.1840000,00:03:15.2180000,00:03:52.6380000,00:04:07.7170000
94,2018-07-23 03:04:23,2018-07-23 03:06:25,,,,,,,,,,,,
95,2018-07-23 03:06:27,2018-07-23 03:08:29,,,,,,,,,,,,
96,2018-07-23 03:08:30,2018-07-23 03:33:48,00:25:17.6600000,,,,,,,00:02:14.4720000,00:02:24.2290000,00:02:26.2100000,00:01:20.1410000,00:03:32.2450000
97,2018-07-23 19:03:37,2018-07-23 19:05:43,,,,,,,,,,,,
98,2018-07-23 19:05:45,2018-07-23 19:07:48,,,,,,,,,,,,
99,2018-07-23 19:07:49,2018-07-23 19:11:54,,,,,,,,,,,,
100,2018-07-23 19:11:56,2018-07-23 19:14:07,,,,,,,,,,,,
101,2018-07-23 20:40:33,2018-07-23 20:50:39,,,,,,,,,,,,
102,2018-07-23 20:50:41,2018-07-23 21:01:07,,,,,,,,,,,,
103,2018-07-23 21:01:08,2018-07-23 21:07:57,,,,,,,,,,,,
104,2018-07-23 21:07:59,2018-07-23 21:10:02,,,,,,,,,,,,
105,2018-07-23 21:10:03,2018-07-23 21:13:51,,,,,,,,,,,,
106,2018-07-23 21:13:52,2018-07-23 21:15:57,,,,,,,,,,,,
107,2018-07-23 21:15:58,2018-07-23 21:23:29,,,,,,,,,,,,
108,2018-07-23 21:23:35,2018-07-23 21:42:34,,,,,,,,00:02:12.1310000,00:04:04.5040000,,,
109,2018-07-23 21:42:40,2018-07-23 21:51:55,,,,,,,,,,,,
110,2018-07-23 21:51:57,2018-07-23 21:52:13,,,,,,,,,,,,
111,2018-07-23 22:08:32,2018-07-23 22:08:32,,,,,,,,,,,,
112,2018-07-23 22:08:33,2018-07-23 22:11:39,,,,,,,,,,,,
113,2018-07-23 22:11:40,2018-07-23 22:28:33,,,,,,,,00:03:13.9020000,,,,
114,2018-07-23 22:28:34,2018-07-23 22:31:27,,,,,,,,,,,,
115,2018-07-23 22:31:28,2018-07-23 22:32:36,,,,,,,,,,,,
116,2018-07-23 22:32:36,2018-07-23 22:32:49,,,,,,,,,,,,
117,2018-07-23 22:32:52,2018-07-23 22:34:42,,,,,,,,,,,,
118,2018-07-23 22:34:42,2018-07-23 22:36:25,,,,,,,,,,,,
119,2018-07-23 22:36:26,2018-07-23 22:39:31,,,,,,,,,,,,
120,2018-07-23 22:39:34,2018-07-23 22:41:35,,,,,,,,,,,,
121,2018-07-23 22:41:36,2018-07-23 22:44:47,,,,,,,,,,,,
122,2018-07-23 22:44:49,2018-07-23 22:47:43,,,,,,,,,,,,
123,2018-07-23 22:47:45,2018-07-23 22:49:36,,,,,,,,,,,,
124,2018-07-23 22:49:37,2018-07-23 22:51:38,,,,,,,,,,,,
125,2018-07-23 22:51:39,2018-07-23 23:23:02,,,,,,,,00:02:18.4250000,00:02:56.3340000,00:06:36.3470000,00:00:59.8600000,
126,2018-07-24 02:38:02,2018-07-24 02:39:58,,,,,,,,,,,,
127,2018-07-24 02:41:23,2018-07-24 02:44:14,,,,,,,,,,,,
128,2018-07-24 02:44:58,2018-07-24 02:46:43,,,,,,,,,,,,
129,2018-07-24 02:46:44,2018-07-24 02:48:27,,,,,,,,,,,,
130,2018-07-24 02:48:28,2018-07-24 03:14:12,,,,,,,,00:02:29.6250000,00:03:46.9530000,00:03:11.7000000,00:01:42.2300000,
131,2018-07-25 19:33:43,2018-07-25 19:35:49,,,,,,,,,,,,
132,2018-07-25 19:35:51,2018-07-25 19:39:20,,,,,,,,,,,,
133,2018-07-25 19:39:21,2018-07-25 19:43:07,,,,,,,,,,,,
134,2018-07-25 19:43:09,2018-07-25 19:44:17,,,,,,,,,,,,
135,2018-07-25 19:44:18,2018-07-25 19:46:38,,,,,,,,,,,,
136,2018-07-25 20:23:36,2018-07-25 20:49:10,00:25:34.4320000,,,,,,,00:02:12.6770000,00:02:21.4500000,00:02:09.1910000,00:02:36.6310000,00:03:52.0290000
137,2018-07-25 20:50:42,2018-07-25 20:52:45,,,,,,,,,,,,
138,2018-07-25 20:52:48,2018-07-25 20:52:58,,,,,,,,,,,,
139,2018-07-25 20:53:00,2018-07-25 20:54:57,,,,,,,,,,,,
140,2018-07-25 20:54:58,2018-07-25 20:59:02,,,,,,,,,,,,
141,2018-07-25 20:59:03,2018-07-25 21:19:25,,,,,,,,00:02:17.8220000,00:03:31.2000000,,,
142,2018-07-26 18:15:05,2018-07-26 18:15:06,,,,,,,,,,,,
143,2018-07-26 18:15:07,2018-07-26 18:17:18,,,,,,,,,,,,
144,2018-07-26 18:17:20,2018-07-26 18:19:14,,,,,,,,,,,,
145,2018-07-26 18:19:16,2018-07-26 18:35:56,,,,,,,,00:02:12.6310000,,,,
146,2018-07-26 18:36:00,2018-07-26 18:38:01,,,,,,,,,,,,
147,2018-07-26 18:38:02,2018-07-26 19:01:29,00:23:26.7430000,,,,,,,00:02:18.6120000,00:02:09.9460000,00:02:10.0960000,00:01:23.2030000,00:02:49.7250000
148,2018-07-27 20:24:07,2018-07-27 20:27:39,,,,,,,,,,,,
149,2018-07-27 20:27:40,2018-07-27 20:42:57,,,,,,,,,,,,
150,2018-07-27 20:43:00,2018-07-27 20:44:53,,,,,,,,,,,,
