id,started,ended,realTime,BOB (1),WF (6),CCM (8),BitDW (BOWSER),SSL (11),LLL (12),HMC (15),MIPS Clip,DDD (16),BitFS (BOWSER),BLJs,BitS
34,03/10/2025 06:18:11,03/10/2025 06:39:33,,00:01:38.9215596,00:03:42.9079160,00:01:29.1598160,00:04:00.9422013,00:01:28.6566384,00:00:39.4716492,00:01:28.8417997,00:00:41.1579596,00:00:47.8722985,00:02:09.9355661,00:01:31.3753943,
35,03/10/2025 06:39:33,03/10/2025 06:50:43,,00:01:39.0007104,00:03:20.4918958,00:01:25.4756462,00:02:47.7591721,,,,,,,,
36,03/10/2025 06:50:43,03/10/2025 06:52:36,,,,,,,,,,,,,
37,03/10/2025 06:52:36,03/10/2025 06:56:36,,00:01:51.1310931,,,,,,,,,,,
38,03/10/2025 06:56:36,03/10/2025 07:17:44,00:21:08.5761485,00:01:48.6804646,00:03:18.0789832,00:01:25.3827975,00:02:06.6555760,00:01:25.6622961,00:00:36.3253576,00:01:20.4647057,00:00:53.6029907,00:00:54.4247337,00:01:45.2837756,00:01:24.4996258,00:04:09.5148420
39,03/11/2025 03:31:59,03/11/2025 03:33:44,,,,,,,,,,,,,
40,03/11/2025 03:33:44,03/11/2025 03:52:34,,00:01:39.0813879,00:03:17.8278123,00:01:29.1753808,00:02:12.8117056,00:01:29.0452496,00:00:36.8104173,00:01:56.9204178,00:01:07.6144572,00:00:45.9461613,00:01:41.7994165,00:00:59.5777051,
41,03/11/2025 03:52:34,03/11/2025 04:01:07,,00:01:38.7664907,00:03:29.0403236,00:01:28.0846988,,,,,,,,,
42,03/11/2025 04:01:07,03/11/2025 04:09:18,,00:01:38.6762906,,,,,,,,,,,
43,03/11/2025 04:09:18,03/11/2025 04:17:47,,00:01:39.4086176,00:03:16.7493221,00:01:28.5131045,,,,,,,,,
44,03/11/2025 04:17:47,03/11/2025 04:27:06,,00:01:39.0337701,00:03:18.5855783,00:01:29.3279236,,,,,,,,,
45,03/11/2025 04:27:06,03/11/2025 04:46:46,,00:01:38.2264271,00:03:41.7185858,00:01:29.1571357,,,,,,,,,
46,03/11/2025 04:46:46,03/11/2025 04:51:41,,00:01:39.5269255,,,,,,,,,,,
47,03/11/2025 04:51:41,03/11/2025 04:58:16,,00:01:50.3619639,00:03:33.3121989,,,,,,,,,,
48,03/11/2025 05:02:31,03/11/2025 05:03:13,,,,,,,,,,,,,
49,03/11/2025 05:03:49,03/11/2025 05:06:49,,00:01:39.3129568,,,,,,,,,,,
50,03/11/2025 05:06:49,03/11/2025 05:10:48,,00:01:47.3189485,,,,,,,,,,,
51,03/11/2025 05:10:48,03/11/2025 05:23:57,,00:01:46.9943434,00:03:40.7803202,00:01:34.8210716,00:02:08.9403637,00:01:31.4265765,00:00:38.2048142,00:01:20.7330500,,,,,
52,03/11/2025 05:23:57,03/11/2025 05:26:03,,00:02:01.4563766,,,,,,,,,,,
53,03/11/2025 05:26:03,03/11/2025 05:37:51,,00:01:43.2955116,00:03:19.0488759,00:01:26.6883684,,,,,,,,,
54,03/11/2025 05:37:51,03/11/2025 05:39:43,,,,,,,,,,,,,
55,03/11/2025 05:39:43,03/11/2025 06:03:07,,00:01:46.5766156,00:03:22.6447114,00:01:37.3181640,00:02:04.7695305,00:01:34.8215389,00:00:36.0602581,00:01:22.7610936,00:00:48.3420600,00:00:46.9309899,00:01:39.7661736,00:01:36.6260362,
56,03/11/2025 06:03:07,03/11/2025 06:04:11,,,,,,,,,,,,,
57,03/11/2025 06:04:11,03/11/2025 06:23:33,00:19:23.6846078,00:01:39.4932745,00:03:17.1519048,00:01:25.4852433,00:02:11.0618443,00:01:25.9201745,00:00:34.3639884,00:01:19.9467114,00:00:45.2633280,00:00:48.3676663,00:01:43.9971632,00:01:00.3910717,00:03:12.2422374
58,03/11/2025 06:32:51,03/11/2025 06:36:14,,00:01:38.9278334,,,,,,,,,,,
59,03/11/2025 06:36:14,03/11/2025 06:39:17,,00:01:48.9854691,,,,,,,,,,,
60,03/11/2025 06:39:17,03/11/2025 06:48:27,,00:01:49.7011498,00:03:25.9311180,00:01:34.7457026,,,,,,,,,
61,03/11/2025 06:48:27,03/11/2025 07:06:57,,00:01:37.9820345,00:03:21.1554490,00:01:26.4925064,00:02:03.6582687,00:01:34.0950924,00:00:34.4381100,00:01:29.9667905,00:01:02.0967926,00:00:48.2344051,00:01:37.0723852,00:01:17.2517836,
62,03/11/2025 07:06:57,03/11/2025 07:18:13,,00:01:46.8101372,00:03:16.5840434,00:01:25.7602739,00:02:13.9677102,00:02:04.7137313,,,,,,,
63,03/11/2025 07:18:13,03/11/2025 07:36:07,,00:01:39.0840022,00:03:24.0700671,00:01:25.3178302,00:02:12.0531111,00:01:36.6116712,00:00:34.5500425,00:01:21.1787736,00:00:44.2845363,00:00:48.5573785,00:01:40.6393491,00:01:10.4422589,
64,03/11/2025 07:36:07,03/11/2025 07:41:25,,00:01:50.0631869,,,,,,,,,,,
65,03/11/2025 07:41:25,03/11/2025 07:59:53,,00:01:39.4744458,00:03:22.0809735,00:01:24.7995809,00:02:03.7262637,00:01:26.0075686,00:00:34.2908372,00:01:20.5871453,00:00:53.5844049,00:00:47.4090833,00:01:35.9016909,00:01:58.4085565,
66,03/11/2025 07:59:53,03/11/2025 08:03:35,,,,,,,,,,,,,
67,03/11/2025 08:03:35,03/11/2025 08:07:39,,00:01:39.2230246,,,,,,,,,,,
68,03/11/2025 08:07:39,03/11/2025 08:15:48,,00:01:38.5767153,00:03:15.5498485,00:01:25.2993763,,,,,,,,,
69,03/11/2025 08:15:48,03/11/2025 08:33:52,,00:01:38.5087042,00:03:14.7737851,00:01:30.1340682,00:02:04.7394210,00:01:26.3780633,00:00:33.7221277,00:01:21.2269002,00:00:52.4791881,00:00:47.8552139,00:01:39.1210300,00:01:04.7703175,
70,03/11/2025 21:21:04,03/11/2025 21:22:42,,,,,,,,,,,,,
71,03/11/2025 21:22:42,03/11/2025 21:31:38,,00:01:38.6637393,00:03:17.8845324,00:01:38.5120226,,,,,,,,,
72,03/11/2025 21:31:38,03/11/2025 21:50:38,00:19:01.1320405,00:01:39.0292685,00:03:16.5202329,00:01:26.1058899,00:02:15.7284410,00:01:26.3083324,00:00:33.8357315,00:01:20.5653125,00:00:49.2479891,00:00:46.0265352,00:01:54.1940455,00:01:05.7462117,00:02:27.8240503
73,03/11/2025 21:51:33,03/11/2025 21:54:38,,00:01:50.5462149,,,,,,,,,,,
74,03/11/2025 21:54:38,03/11/2025 22:15:54,,00:01:39.1665713,00:03:22.6983774,00:01:27.1535273,00:02:07.4365537,00:01:27.1124112,00:00:34.1035755,00:01:22.9550606,00:01:09.6453920,00:00:58.4620266,,,
75,03/12/2025 21:36:03,03/12/2025 21:36:35,,,,,,,,,,,,,
76,03/12/2025 21:36:35,03/12/2025 21:58:40,00:22:06.2617676,00:01:51.2024832,00:03:50.5958259,00:01:29.6372243,00:02:08.9165597,00:01:27.7562098,00:00:33.6872306,00:01:25.1386986,00:01:08.0314301,00:00:47.3195215,00:03:30.2696827,00:01:05.4167110,00:02:48.2901902
77,03/12/2025 21:59:47,03/12/2025 22:22:15,00:22:29.3855296,00:01:48.9780892,00:03:31.4791125,00:01:29.1178269,00:02:31.7280041,00:01:26.9121779,00:00:35.4035494,00:01:21.2388483,00:00:53.6267065,00:00:51.6972966,00:03:11.3330415,00:00:56.7814815,00:03:51.0893952
78,03/12/2025 22:26:57,03/12/2025 22:46:53,,00:01:55.4901831,00:03:13.9183481,00:01:23.6268920,00:02:11.0291311,00:01:25.8584220,00:00:34.6214159,00:01:24.4147925,00:00:55.6317581,00:00:48.6542074,00:01:40.6516174,00:01:01.0466189,
79,03/12/2025 22:46:53,03/12/2025 22:48:49,,,,,,,,,,,,,
80,03/12/2025 22:48:49,03/12/2025 22:55:38,,00:01:38.7651480,,,,,,,,,,,
81,03/13/2025 01:22:50,03/13/2025 01:23:51,,,,,,,,,,,,,
82,03/13/2025 01:23:51,03/13/2025 01:43:42,,00:01:48.7358564,00:03:16.7546679,00:01:46.4410112,00:02:02.1282374,00:01:39.5338139,00:00:34.6307337,00:01:22.3304415,00:00:50.3132300,00:00:53.7187793,00:01:59.8007841,00:01:11.7869062,
83,03/13/2025 01:43:42,03/13/2025 02:22:51,,00:01:38.3591237,00:03:12.4791195,00:01:26.8702868,00:03:11.3331548,00:01:24.7032860,00:00:37.5935419,00:01:21.2056876,00:00:44.1971076,00:00:46.4972813,00:01:40.3550226,00:01:01.9354196,
